	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190005I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.01	12.1	13.12
1190007I07Rik	1.2	1.16	14.16	94.69	0.0	0.81	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	7.13	0.0	0.91	43.06	38.61	0.0	40.28	0.0	0.0	199.72	50.5	0.46	42.1	38.84	168.23	36.14	0.0	82.98	0.0	0.0	0.9	0.0	0.0	0.0	13.38	16.82	17.74
1700001J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.08	0.32
1700003M07Rik	0.74	1.11	1.5	1.53	1.34	0.27	0.45	1.38	0.85	0.98	0.6	0.41	2.05	4.54	1.21	1.59	7.03	0.77	1.43	0.65	1.65	3.58	0.43	54.45	0.98	0.83	0.23	0.61	0.92	0.43	1.81	2.22	3.57	0.43	1.12	1.66	1.44	1.56	16.32	15.13	17.66
2410131K14Rik	16.55	26.97	24.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.72	14.19	0.0	0.0	4.85	0.0	0.0	11.52	44.6	21.85	0.0	0.0	0.0	0.0	16.43	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.45	16.65	17.4
2610018G03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.19	0.0	0.0	0.0	0.0	0.0	0.0	28.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.01	7.18	6.85
2810055G20Rik	0.0	4.33	11.66	0.0	0.0	1.98	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	2.7	0.0	0.39	0.0	0.34	53.06	35.87	6.24	0.0	0.0	0.0	3.68	0.0	5.24	22.13	4.73	0.0	0.0	2.8	3.88	0.5	0.24	0.52
4930455C13Rik	6.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.65	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.84	0.5	1.14
4930528A17Rik	0.0	0.0	31.06	0.0	0.0	0.07	0.0	0.12	0.0	0.0	0.14	0.0	0.0	0.14	0.0	0.11	0.0	0.0	0.0	0.13	0.0	0.0	0.0	39.92	25.33	0.0	0.0	0.0	0.0	0.07	0.0	0.26	0.57	0.0	0.2	0.0	0.0	0.0	0.53	0.42	0.78
4930563E22Rik	16.61	0.0	19.34	0.0	0.65	0.04	0.0	0.0	0.0	0.0	0.0	0.0	36.15	0.0	0.0	0.0	0.0	0.0	4.75	17.01	0.0	0.0	0.0	72.15	3.64	0.0	0.0	0.0	0.0	26.96	0.0	0.0	0.0	0.0	0.0	0.0	19.37	0.13	2.38	1.6	2.61
4933403G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.22	0.0	0.0	0.0	0.0	9.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.05	0.0	2.55	2.38	3.12
4933427I22Rik	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.21	0.73
5031410I06Rik	0.0	0.0	0.0	0.0	77.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.71	1.06
A530013C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.05
AU023871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05
Acvr1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.67	2.55	0.0	0.0	0.0	10.57	0.0	0.0	0.0	23.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	9.04	6.92	8.12
Ak3	0.0	0.0	0.0	15.11	0.15	42.65	0.0	15.33	0.0	0.36	0.0	38.3	3.42	0.0	0.0	1.09	23.75	12.83	0.0	0.0	0.0	0.0	0.0	80.58	0.0	0.08	0.94	0.0	0.0	0.87	54.71	5.05	0.39	0.0	0.0	0.0	0.68	0.0	76.83	70.38	72.65
Atp13a2	11.48	6.33	1.45	23.7	0.34	0.0	38.14	2.12	0.0	0.0	0.04	0.0	0.07	0.22	0.56	12.52	7.77	20.09	20.65	0.57	11.92	20.26	1.73	72.94	34.76	6.69	3.1	15.41	6.31	0.94	8.53	1.49	0.89	4.49	0.0	0.64	21.96	0.11	91.7	99.84	96.26
BC026590	0.0	0.69	0.01	0.09	0.22	0.1	14.28	0.05	0.28	0.68	0.05	5.43	9.03	0.07	10.42	0.13	8.46	0.0	12.48	0.07	0.0	0.23	0.0	28.87	0.0	0.97	0.0	0.1	3.8	0.0	0.07	2.6	0.0	0.2	0.12	0.36	0.07	0.0	16.14	15.63	16.36
