	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_24	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTpositive_cell_20
2210016F16Rik	0.19	25.24	0.0	0.0	0.0	0.0	0.0	2.0	2.46	0.46	8.17	3.35	4.02	0.0	0.0	0.0	0.0	0.46	1.0	5.47	0.0	0.09
Arnt2	0.09	163.58	0.34	0.0	0.0	6.41	0.77	4.23	0.0	18.61	3.81	2.53	0.74	31.54	0.05	0.13	0.39	0.0	0.22	28.34	0.07	53.91
Atp1a3	0.0	307.83	0.0	0.0	0.0	23.16	556.2	327.62	288.4	185.4	218.58	263.09	276.16	164.17	0.16	0.75	0.0	0.0	0.0	153.08	0.32	195.33
Ccl27b	0.0	95.61	0.0	0.0	0.0	10.7	54.72	30.68	0.23	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	49.16
Cdr1	0.0	68.8	0.0	0.0	0.0	68.03	175.5	137.63	113.0	65.17	97.91	89.77	159.33	49.6	0.0	0.32	0.0	0.0	0.0	131.14	0.36	57.37
Dicer1	0.0	48.97	0.0	0.0	0.0	41.06	0.0	4.56	16.12	2.72	0.08	0.0	0.06	0.0	0.0	0.15	0.55	0.0	0.0	0.0	0.42	2.65
Dlst	0.0	167.88	0.0	0.0	0.0	0.47	103.58	79.75	52.23	12.72	1.17	0.0	13.8	11.74	0.0	0.0	0.0	0.0	0.0	65.87	0.0	0.0
Dnajc6	0.0	140.39	0.0	0.0	0.0	4.42	75.29	19.39	27.99	35.16	102.94	70.74	48.2	33.01	0.0	0.0	0.15	0.0	0.0	77.0	0.16	36.01
Dpf1	0.0	104.84	0.0	0.0	0.0	21.7	4.76	20.12	26.29	24.66	25.38	16.89	32.52	26.55	0.14	2.9	0.0	0.0	0.0	42.82	0.18	38.05
Efna5	0.45	317.4	0.0	0.0	0.0	2.97	89.81	71.33	157.13	136.65	11.96	45.07	120.08	50.51	0.08	0.0	0.0	0.0	0.45	99.86	1.14	63.65
Epha7	0.0	201.27	0.0	0.0	0.0	35.16	40.73	86.73	36.45	34.24	11.3	6.24	27.08	146.98	0.1	0.0	0.0	0.0	0.0	46.19	0.06	76.06
Gm13306	0.0	95.61	0.0	0.0	0.0	10.7	54.72	30.68	0.23	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	49.16
Gm2506	0.0	95.61	0.0	0.0	0.0	10.7	54.72	30.68	0.23	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	49.16
