	Nos1_tdTpositive_cell_26	Rbp4_tdTpositive_cell_179	Rbp4_tdTpositive_cell_182	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1810026B05Rik	43.13	42.36	24.26	104.27	29.09	0.0	0.24	0.03	0.03	16.32
1810035L17Rik	888.87	884.07	209.68	365.37	475.87	0.0	282.88	131.61	28.26	123.08
5033414D02Rik	425.88	187.03	222.57	0.34	0.0	0.0	0.0	0.0	131.36	63.01
A630055G03Rik	60.59	64.8	28.65	88.17	103.88	8.41	3.98	13.18	10.38	9.71
Atxn3	243.22	208.78	0.14	1.5	15.49	0.0	0.0	24.19	0.08	0.03
Aven	59.11	86.66	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Birc6	71.05	116.1	30.27	11.26	10.3	0.37	0.0	4.68	8.39	10.47
Cdc37l1	87.22	152.05	37.63	0.54	0.0	0.0	0.0	18.18	0.0	49.34
Ctnnd2	147.46	291.41	65.32	34.11	21.25	0.0	0.62	28.05	38.59	7.54
Dnajb4	217.92	263.74	216.28	0.0	0.0	0.0	0.0	89.83	132.86	0.07
Gde1	205.27	302.57	79.77	107.67	112.72	0.0	0.0	62.22	32.82	54.16
Gemin6	335.47	367.96	0.7	0.51	0.0	0.0	0.0	0.0	0.13	0.0
Gm16039	231.31	180.92	116.8	0.88	0.0	0.0	0.0	0.06	195.29	9.24
Herpud2	46.93	96.47	27.11	0.1	1.29	0.0	0.0	16.33	0.0	16.39
Hnrnpa0	156.08	152.05	103.28	4.16	17.18	0.0	0.0	1.81	50.59	23.82
Kcnv1	118.93	180.76	79.66	47.9	9.35	0.0	0.0	30.11	0.12	28.09
Lonrf1	59.35	48.52	11.87	34.11	10.83	6.2	3.14	2.39	0.63	4.49
Lrrc4b	24.12	36.87	19.27	23.19	7.88	0.0	0.0	3.38	5.95	3.65
Mfsd2b	20.34	9.63	7.92	15.92	24.56	0.74	2.42	2.05	1.18	2.4
Mrpl51	454.62	370.98	93.09	53.3	58.77	4.33	15.16	23.8	51.98	58.2
Ndfip2	242.19	436.35	141.11	193.1	249.0	0.0	0.0	46.97	0.06	94.01
Nipal2	0.54	0.51	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Osbpl8	23.38	104.01	51.89	15.14	13.46	0.95	0.7	1.15	3.93	0.77
Pacrg	193.55	165.43	0.0	151.08	0.0	0.0	0.0	31.41	15.93	30.04
Pilra	7.05	51.62	11.35	6.89	23.42	0.69	2.0	2.42	1.07	3.13
Prdx1	855.82	1518.04	385.53	2.15	34.26	0.55	0.0	226.85	250.56	481.4
Psmg2	520.08	247.03	406.11	96.53	0.0	0.0	0.0	65.99	20.76	62.93
Rnaseh2b	151.32	183.6	48.77	26.5	8.64	0.0	0.0	0.0	0.48	22.53
Sik1	13.96	26.86	3.64	0.89	5.05	0.0	0.0	1.0	1.73	0.0
Slc8a1	67.49	43.44	30.32	15.88	22.74	0.0	0.0	6.8	9.93	11.08
Sprr2a1	0.32	0.74	0.73	0.16	0.23	0.1	0.0	0.01	0.16	0.0
Sprr2a2	0.32	0.74	0.73	0.16	0.23	0.1	0.0	0.01	0.16	0.0
St8sia1	17.64	19.75	19.33	5.95	3.71	0.08	0.0	0.3	1.58	0.16
Tm2d1	339.86	322.28	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.75
Tyr	160.04	155.98	152.91	220.58	240.04	73.95	89.96	19.82	14.32	18.66
Ube2n	447.5	335.32	394.39	318.3	130.22	0.0	0.0	174.03	109.86	145.68
Ugcg	121.43	161.9	106.68	34.39	8.04	0.0	0.0	4.72	13.06	0.38
Vmn2r-ps129	91.07	62.18	73.54	42.67	44.95	19.51	6.9	14.68	12.83	11.04
Zfp119b	306.55	388.37	57.07	0.0	19.45	11.25	0.0	1.37	0.15	2.3
Zfp385b	100.12	151.43	0.66	12.56	0.0	0.0	0.0	0.77	14.31	34.07
Zfp605	111.19	75.16	14.0	21.26	26.36	2.21	0.93	4.44	1.41	6.31
c10_tRNA-Ala-GCY_	159.17	164.26	121.6	150.12	103.4	0.0	0.0	2.82	63.77	21.39
c17_SSU-rRNA_Hsa	5735.38	2454.01	15042.54	62935.79	39573.42	639.62	8226.66	28697.02	28103.63	31264.04
c3_tRNA-His-CAY_	20.05	31.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
