	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_13	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003F12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	4.35	5.2
2210404J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	25.95	4.0	11.67	12.85	11.82	12.04	10.93	12.26
2610017I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	585.83	136.21	189.11	243.78	100.69	107.58	110.7	78.4	79.08	77.97
4632434I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.19	0.62
4933407C03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	2.84	0.04	36.26	2.8	62.2	58.4	35.3	49.59	41.88	170.94	165.8	181.82
Abcb7	0.0	0.0	0.0	0.0	0.0	2.92	0.38	0.0	0.0	0.48	0.0	2.04	0.13	3.28	0.0	0.0	0.16	0.0	0.16	8.75	0.37	7.51	7.6	12.62	8.46	12.07	21.61	19.14	20.22
Abcd2	0.56	0.49	0.0	0.0	0.16	0.0	0.0	0.08	1.11	0.11	0.11	0.41	0.0	0.23	0.12	0.0	0.13	1.26	0.14	4.59	0.77	7.4	10.57	14.23	14.3	12.03	25.68	22.57	27.0
Ablim3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	2.56	0.0	0.0	2.14	1.4	3.32	3.68	16.42	18.67	15.08
Adcy8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.07	0.09	1.82	4.97	1.17	0.47	1.91	17.69	19.45	16.65
Alcam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.89	0.47	3.84	0.39	3.16	2.13	1.32	100.71	94.97	94.18
Arhgap36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37	0.0	0.0	0.0	0.11	1.85	2.5	2.01
Armcx2	0.0	0.0	0.0	0.0	0.0	194.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.03	105.65	0.0	11.69	0.0	15.2	18.87	17.19	18.76	21.24	67.76	69.2	65.1
