	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	2.63	0.31	8.99	13.41	14.19	17.56	16.4	17.92
1700054N08Rik	0.0	0.0	0.0	20.66	24.09	56.5	60.27	59.05
Abr	0.0	0.09	0.0	16.7	18.54	272.97	271.82	286.04
Adam11	0.18	0.1	0.16	4.8	6.01	100.2	105.1	100.46
Adap1	0.0	0.0	0.0	14.97	18.42	195.41	208.11	199.98
Adcy1	163.6	0.0	0.0	51.82	49.75	224.96	212.91	233.52
Adrb1	0.0	0.0	0.0	2.64	1.38	30.68	33.63	27.06
Akirin1	0.0	0.0	0.0	10.74	6.99	70.97	75.53	68.13
Amigo1	0.0	0.0	0.0	12.59	10.51	58.86	60.1	60.6
Ankrd13d	0.0	19.56	0.0	6.03	6.47	58.38	59.24	61.04
Ankrd34a	0.0	0.0	0.0	3.93	5.6	57.01	57.85	56.25
Apba1	0.0	0.0	0.0	5.06	3.84	76.46	78.19	83.66
Apc2	0.0	0.0	0.0	0.55	0.64	49.75	52.05	53.73
Arfgef1	1.62	0.0	0.0	22.22	13.02	51.81	44.82	48.91
Arhgap21	0.0	0.0	0.0	5.62	4.06	77.97	75.97	80.34
Arhgdig	0.0	0.0	0.0	15.6	17.98	88.82	95.75	99.37
Arhgef17	0.0	0.0	0.0	3.67	2.48	53.82	58.08	58.26
Asb5	0.0	0.0	0.0	0.19	0.0	0.57	0.71	0.85
Atp8b3	0.0	0.0	0.0	0.74	0.0	0.04	0.04	0.09
Atrn	0.28	0.0	0.04	12.82	12.61	85.45	83.79	91.7
Atxn2	0.0	0.0	0.0	14.55	11.68	46.73	47.49	48.73
Atxn7l3b	32.5	0.0	0.0	64.14	38.62	164.51	159.91	161.8
B4galnt1	0.0	0.0	0.0	6.04	14.58	125.68	137.59	125.52
BC005537	0.0	0.0	0.0	20.38	22.56	152.76	160.06	152.41
BC018242	0.0	0.0	0.0	4.24	9.25	148.85	160.32	156.13
Bag1	0.0	0.0	114.05	19.91	19.3	146.96	156.33	154.32
Bap1	0.0	0.0	0.0	32.79	35.72	103.47	103.07	104.21
Baz2a	0.0	0.0	0.04	4.11	4.09	27.57	27.42	26.18
Bcl2l2	0.0	0.0	0.0	15.27	9.01	106.04	105.91	103.99
Bdp1	3.28	0.0	0.0	5.36	1.67	12.83	10.44	12.97
Boc	0.0	0.0	0.0	0.0	0.0	12.25	13.07	13.82
C130074G19Rik	0.0	0.0	0.0	0.17	0.27	49.03	50.81	49.79
C2cd2l	0.0	0.0	0.0	2.06	2.13	101.81	111.13	100.46
C8b	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cab39	0.0	0.0	0.0	32.85	31.86	153.97	150.03	150.81
Car11	0.0	0.0	0.0	8.46	15.84	214.47	236.01	224.75
Cdk16	0.0	0.0	0.11	14.87	24.81	206.47	218.5	219.97
Cdk17	0.0	0.0	0.19	56.85	52.05	160.95	161.18	153.81
Celsr2	0.0	0.0	0.0	14.23	14.01	73.45	73.3	82.99
Coro2b	0.0	0.0	0.0	12.66	16.69	118.73	124.35	130.21
Cul4a	0.0	0.0	0.0	18.49	13.33	57.84	56.16	56.17
Cyth1	0.0	0.0	0.0	2.0	2.53	67.03	75.5	69.5
Cyth2	0.0	0.0	0.0	10.53	16.78	68.24	74.9	71.28
Darc	0.0	0.0	0.0	14.34	22.04	64.58	73.04	73.14
Dcaf6	0.0	0.0	1.46	19.87	18.05	80.08	75.12	71.58
Dpf1	0.0	0.0	0.0	19.86	14.26	47.74	50.08	44.62
Dync1h1	14.95	0.0	0.0	18.71	19.73	143.44	143.12	153.5
Edf1	0.0	0.0	0.0	53.61	84.85	216.08	240.69	221.66
Eid1	0.0	0.0	0.0	29.61	27.59	219.68	227.68	212.38
Ephb6	0.0	0.0	0.0	31.0	33.58	93.01	90.46	96.16
Fam160a2	0.0	0.0	0.0	5.33	5.03	24.28	25.16	25.64
Fam177a	2.63	0.31	8.99	13.41	14.19	17.56	16.4	17.92
Fam5b	0.0	0.0	0.0	5.13	7.33	67.67	69.72	71.26
Fancg	0.0	0.0	0.0	0.0	4.42	10.15	10.8	12.89
Foxi1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Get4	0.0	0.0	0.0	4.56	7.62	55.98	62.01	56.66
Gfod1	0.0	0.07	0.0	3.89	8.07	50.26	46.46	49.88
Gm14430	0.0	0.0	0.25	4.14	5.97	7.67	5.07	7.49
Gm14434	0.0	0.0	0.25	4.14	5.97	7.67	5.07	7.49
Gm1673	0.0	0.0	0.0	2.37	9.07	53.39	62.92	63.57
Gm4724	0.0	0.0	0.25	4.14	5.97	7.67	5.07	7.49
Gnl1	0.0	0.0	0.0	4.82	5.02	139.48	150.8	141.26
Golga4	0.0	0.0	0.0	6.84	6.27	48.3	40.88	49.25
Grin1	0.0	0.0	0.0	5.86	7.57	389.58	403.6	404.44
Grm4	0.0	0.0	0.0	1.0	0.46	17.66	17.01	18.6
Hdac2	0.0	0.0	0.0	43.07	30.46	97.43	91.4	94.39
Hhla1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Htr5b	0.0	0.0	0.0	1.95	0.0	1.53	2.28	1.89
Itgal	0.0	0.0	0.0	0.0	0.0	0.56	0.64	0.54
Kcnj9	0.0	0.0	0.0	8.36	12.37	121.29	116.59	115.73
Kcnn1	0.08	0.61	0.62	0.75	2.33	9.26	11.18	10.81
Kera	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif16b	0.0	0.0	0.0	4.12	1.38	8.55	8.36	8.31
LOC626049	0.0	0.0	0.0	0.76	0.0	1.35	0.54	0.59
Lpcat4	2.91	0.0	0.0	23.76	28.31	125.99	137.81	128.9
