	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_12	Ntsr1_tdTnegative_cell_22	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_41	Scnn1a.Tg3_tdTnegative_cell_23
Abhd13	1.8	10.38	0.0	43.47	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.22	4.03	3.36	34.9	0.0	0.0	0.05	36.34	0.0	0.0	8.52	0.0
Agtpbp1	10.24	1.35	3.55	65.8	0.0	0.0	0.0	0.0	5.1	0.0	33.04	59.77	0.21	27.61	21.36	52.56	24.11	18.36	30.78	20.24	2.75	7.14	0.0
Amy2a2	0.0	0.08	0.01	0.03	0.0	0.0	0.0	0.04	0.09	0.0	0.25	0.15	0.11	0.98	0.24	0.33	0.34	0.12	0.12	0.18	0.19	0.11	0.05
Amy2a3	0.0	0.08	0.01	0.03	0.0	0.0	0.0	0.04	0.09	0.0	0.25	0.15	0.11	0.98	0.24	0.33	0.34	0.12	0.12	0.18	0.19	0.11	0.05
Amy2a4	0.0	0.08	0.01	0.03	0.0	0.0	0.0	0.04	0.09	0.0	0.25	0.15	0.11	0.98	0.24	0.33	0.34	0.12	0.12	0.18	0.19	0.11	0.05
Dlgap2	5.87	45.47	0.0	27.74	0.0	0.0	0.0	0.0	18.57	0.11	1.09	41.07	10.37	24.01	5.95	89.94	63.23	48.95	43.2	12.99	80.55	72.37	0.0
Ehbp1	43.08	0.37	0.0	9.83	0.0	0.0	0.0	0.0	0.0	0.0	11.96	1.25	0.36	0.0	0.42	0.0	9.3	0.0	0.42	0.07	0.36	20.28	0.0
Elovl4	54.06	51.71	2.67	58.88	0.0	0.0	0.0	0.0	57.73	0.0	310.27	275.05	163.24	83.19	172.51	113.73	160.52	147.35	103.64	37.54	128.0	106.13	0.0
Entpd7	15.66	39.69	0.17	49.5	0.0	0.0	0.0	0.0	29.71	0.0	41.58	45.84	11.73	37.13	38.71	36.83	34.42	36.29	14.88	8.77	16.62	22.73	0.0
Gfm1	0.0	52.11	0.0	35.81	0.0	0.0	0.0	0.0	5.25	0.0	0.0	17.87	4.91	0.0	77.48	0.0	31.81	81.91	30.15	5.27	4.42	6.45	0.0
Gm11127	171.02	22.48	3.03	42.41	0.0	0.0	1.1	0.0	40.78	10.01	105.73	66.14	15.56	24.71	46.71	79.71	117.49	24.68	66.22	31.67	17.38	93.74	0.0
Gm12709	8.91	30.6	3.79	4.24	0.0	0.0	0.0	0.0	18.86	0.0	53.93	22.45	25.63	27.09	32.26	37.65	35.4	24.34	33.62	16.96	30.01	18.45	0.0
Gm4262	66.96	5.22	4.37	26.34	0.85	0.13	10.57	0.59	13.37	12.49	39.58	22.31	8.43	21.95	17.78	28.98	37.44	15.59	35.42	13.09	22.46	32.55	0.81
Itpr1	0.13	27.93	2.73	52.25	0.0	0.0	0.0	0.0	1.03	0.05	50.25	36.55	0.06	0.81	17.9	15.23	0.1	2.79	32.53	14.86	25.54	24.55	0.0
Lsm11	71.07	14.75	2.63	36.76	10.21	0.99	0.87	1.24	3.33	3.14	5.36	1.72	3.75	10.28	23.66	3.04	14.94	13.38	7.79	1.4	73.34	5.37	1.39
Mia3	8.66	14.05	10.84	29.67	0.5	0.47	3.44	0.52	30.39	0.26	21.44	13.42	0.59	12.15	22.66	20.36	37.44	33.34	33.45	10.03	21.04	17.17	0.49
Pacsin2	0.0	151.89	0.0	74.76	0.0	0.0	0.0	0.0	0.0	0.0	126.33	48.55	90.22	117.7	161.8	75.27	163.76	56.35	39.4	149.37	94.74	132.49	0.0
Prkaca	33.95	36.54	2.12	34.29	0.0	0.2	0.0	0.0	48.8	0.0	67.42	73.75	62.19	120.12	126.44	41.51	53.15	94.05	158.99	31.73	47.4	78.27	0.0
Sephs2	13.45	30.86	15.66	55.15	0.0	0.0	0.0	0.0	0.0	0.0	119.18	34.31	19.31	32.43	23.41	17.37	33.06	15.04	46.51	15.92	27.76	29.41	11.45
Srrm2	13.24	16.04	1.87	51.81	0.0	0.51	0.06	0.81	2.53	5.26	12.32	19.81	6.47	11.46	21.61	9.07	21.89	9.91	17.02	1.96	18.07	18.53	5.24
Tac1	6532.88	7648.19	0.0	5471.23	0.0	0.0	0.0	0.0	3159.38	0.0	6618.42	5550.42	5725.34	5716.55	8114.55	11032.51	6960.91	5289.34	7084.35	5991.55	5369.1	4526.97	0.0
Tm9sf4	0.2	63.04	34.15	62.09	0.0	0.0	0.0	0.0	19.67	0.0	12.6	97.54	40.56	28.09	41.0	50.49	57.35	17.3	76.0	31.22	43.35	153.66	0.0
Ttbk2	8.38	12.96	6.07	10.36	0.11	0.16	0.0	0.12	14.19	0.7	27.6	1.28	7.05	3.09	30.0	14.81	56.54	32.55	57.42	9.57	55.62	22.58	0.3
mt_AK136262	0.08	0.07	0.0	0.12	0.0	0.0	0.0	0.0	0.14	0.0	0.24	2.77	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	2.78	1.54	0.0
mt_AK142003	0.08	0.07	0.0	0.12	0.0	0.0	0.0	0.0	0.14	0.0	0.24	2.77	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	2.78	1.54	0.0
mt_AK166798	0.08	0.07	0.0	0.12	0.0	0.0	0.0	0.0	0.14	0.0	0.24	2.77	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	2.78	1.54	0.0
mt_AK166978	0.08	0.07	0.0	0.12	0.0	0.0	0.0	0.0	0.14	0.0	0.24	2.77	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	2.78	1.54	0.0
