	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_84	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_15	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
1190002H23Rik	0.0	0.0	0.0	0.0	0.39	0.0	89.09	0.0	29.8	68.1	0.0	77.01	23.79	122.06	0.0	19.63	97.62	12.41	0.0	0.0	79.91	14.1	186.45	103.74	17.0	43.73	10.65	296.02	94.11	4.69	0.0	40.06	27.02	38.74	52.58	52.25	24.57	1.85	139.96	5.14	43.95	38.17	0.0
2610507B11Rik	0.06	0.0	0.0	1.22	0.0	0.0	50.85	0.0	25.85	12.63	39.27	3.1	32.5	29.68	3.75	54.33	18.53	22.93	11.76	11.37	0.16	63.61	41.8	13.74	63.18	6.44	41.0	23.17	47.93	6.39	4.38	21.13	7.99	43.54	23.4	10.97	10.75	30.96	22.34	27.03	65.06	58.9	0.0
9630033F20Rik	0.0	0.03	0.0	0.0	0.0	0.0	29.35	0.0	16.14	23.28	4.54	7.94	21.28	6.97	28.52	13.33	3.01	5.76	13.94	0.52	1.14	5.66	27.25	2.37	20.94	0.52	4.77	26.5	30.22	0.09	1.17	21.22	36.68	4.45	11.88	1.9	13.23	28.64	3.32	4.08	10.37	11.32	0.0
Arnt2	7.27	0.04	0.16	0.34	0.34	1.0	44.27	0.05	26.31	3.12	32.66	29.97	50.8	39.43	25.38	76.62	25.68	25.15	8.31	18.7	34.22	3.0	54.87	66.56	107.99	2.94	80.34	98.52	78.74	1.13	6.89	36.84	48.45	24.74	60.93	27.62	27.47	38.01	21.72	32.01	37.0	35.29	0.11
Bdp1	0.0	0.0	0.07	0.0	0.0	0.0	12.4	0.0	5.12	0.0	0.0	9.82	3.56	0.38	0.66	1.01	10.58	0.54	0.25	0.0	2.95	0.77	25.34	0.32	27.95	2.72	0.92	30.57	0.03	0.0	0.04	13.48	1.76	11.47	3.47	5.88	3.48	8.89	11.3	5.98	8.12	11.65	0.0
Cacna1a	0.0	0.28	0.0	0.05	0.0	0.0	4.66	0.0	3.01	0.44	0.16	0.97	4.72	0.83	1.9	1.29	0.6	1.31	2.38	1.82	0.08	5.43	2.61	1.45	26.48	0.91	2.88	4.84	2.26	4.16	0.54	0.82	3.13	4.71	5.14	1.05	1.31	2.75	1.14	2.49	2.15	11.05	0.0
Camk2g	0.52	0.0	80.72	0.23	0.0	0.0	41.16	0.0	52.79	54.8	30.12	79.67	88.81	50.22	54.41	47.97	70.73	69.54	90.36	49.23	86.92	84.39	123.15	36.33	194.25	63.6	71.47	174.99	124.55	33.71	0.0	84.46	131.66	49.34	77.63	90.28	36.42	56.52	162.43	48.01	58.94	111.28	0.0
Ceacam19	0.42	0.15	0.0	0.35	0.0	0.0	0.38	0.4	1.4	0.0	0.07	0.42	0.85	0.64	1.38	1.32	0.47	0.88	0.68	1.16	0.0	0.22	1.86	1.39	0.99	0.45	2.84	1.96	2.0	0.99	0.68	1.91	0.17	1.07	0.87	1.72	2.12	1.34	0.65	1.17	0.45	0.88	0.92
Csnk1g1	0.0	0.0	0.0	0.29	0.0	0.0	24.57	0.0	28.99	3.47	0.0	14.25	15.71	0.37	0.0	46.62	24.85	0.82	0.0	11.61	13.55	17.57	25.5	0.13	31.43	0.68	4.15	34.82	14.16	16.37	0.0	9.23	2.0	9.65	28.17	3.17	30.52	0.0	14.28	0.0	77.64	13.37	0.0
Dixdc1	0.08	0.0	0.0	0.22	0.0	0.0	23.62	0.0	2.31	0.0	0.0	26.8	0.1	0.0	0.29	0.44	0.0	10.95	5.26	0.0	0.0	0.43	57.16	0.18	100.5	3.8	20.07	79.69	0.03	0.08	0.09	0.0	6.31	1.48	0.0	8.68	7.02	0.56	0.31	0.04	0.18	22.15	0.37
Dnaja3	0.0	0.0	0.29	23.29	0.0	0.0	22.6	0.11	61.75	7.5	30.47	25.93	58.0	12.51	10.21	0.0	7.46	59.53	49.39	0.0	102.42	33.69	55.01	27.79	0.0	5.41	36.51	207.15	99.32	20.85	0.0	33.7	33.78	10.68	19.06	16.73	79.67	22.0	111.04	29.41	2.69	8.55	0.0
Dnm1	0.0	23.13	0.0	12.71	0.0	0.0	46.47	0.0	49.98	54.5	24.08	22.6	42.23	39.79	44.67	56.43	20.34	98.62	59.25	13.46	51.02	72.66	144.34	86.27	124.27	20.34	10.67	66.55	54.75	10.96	56.68	65.43	91.12	59.24	51.62	25.46	93.66	55.97	74.07	71.52	57.54	73.5	0.0
Elavl3	0.0	25.46	0.41	7.87	0.0	0.0	3.0	18.42	42.64	38.05	34.6	47.89	18.22	37.53	27.52	57.39	20.38	25.54	20.5	1.14	19.05	41.96	87.57	22.73	44.64	34.38	13.37	78.12	33.64	25.87	4.24	37.75	37.76	15.48	30.25	28.22	50.35	33.47	19.87	11.33	14.67	38.14	0.0
Etnk1	0.0	0.19	0.08	63.6	0.0	7.76	70.97	0.0	85.36	21.3	0.84	22.97	58.43	80.23	45.19	105.94	44.63	40.39	33.77	29.88	76.06	62.31	47.58	78.37	108.71	31.34	39.95	125.28	91.77	57.1	52.13	43.25	78.69	73.88	37.46	88.52	88.64	93.91	84.31	58.03	78.31	85.94	0.0
Gm14431	0.26	1.5	0.0	0.57	0.0	0.0	1.03	3.78	1.71	0.62	0.74	0.0	7.8	0.8	0.18	3.35	3.96	2.26	5.03	3.25	2.76	5.1	0.29	0.76	1.99	0.26	1.79	7.94	1.31	19.53	0.0	1.04	2.52	4.65	5.83	1.51	1.48	1.58	0.36	1.93	4.83	1.92	0.0
Gm8898	0.26	1.5	0.0	0.57	0.0	0.0	1.03	3.78	1.71	0.62	0.74	0.0	7.8	0.8	0.18	3.35	3.96	2.26	5.03	3.25	2.76	5.1	0.29	0.76	1.99	0.26	1.79	7.94	1.31	19.53	0.0	1.04	2.52	4.65	5.83	1.51	1.48	1.58	0.36	1.93	4.83	1.92	0.0
Grin1	0.0	0.63	0.0	7.42	0.0	0.0	3.74	0.0	30.5	9.67	22.15	14.49	14.67	3.21	10.31	11.39	15.92	8.39	0.53	0.79	17.82	34.43	40.43	8.94	6.21	0.79	0.39	48.51	8.85	1.58	0.28	9.68	14.64	18.19	12.16	5.35	12.65	0.42	1.05	9.79	16.51	7.44	0.0
Habp4	0.0	0.28	0.19	0.0	0.13	0.55	2.3	0.0	12.49	48.78	1.85	56.97	64.58	19.13	23.03	30.75	70.27	40.64	37.38	0.25	29.69	38.5	68.37	0.18	9.78	6.51	55.46	108.96	53.83	43.64	0.0	26.5	123.26	24.72	57.85	19.4	18.02	68.59	110.15	36.47	32.23	48.49	0.0
Hdlbp	0.0	2.91	0.0	2.11	2.34	0.0	50.52	0.0	38.2	35.86	10.21	13.1	34.49	4.14	11.06	28.08	36.78	19.16	41.91	20.28	45.28	23.55	61.0	1.38	34.05	29.75	59.99	104.53	92.64	3.09	0.0	10.19	49.11	22.65	30.49	55.87	43.96	15.24	28.19	30.25	52.91	44.13	4.21
