	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_79	Gad2_tdTpositive_cell_80	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_50	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_92	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ntsr1_tdTnegative_cell_55	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_21	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_19
1810027O10Rik	199.22	180.85	287.68	0.0	419.51	398.82	234.5	369.82	519.84	0.0	0.0	560.77	157.87	360.49	0.0	37.57	291.32	0.0	132.51	369.83	144.35	0.0	382.6	427.57	413.69	420.73	72.59	465.24	114.38	150.86	366.66	210.82	327.6	0.0	0.0	379.11	0.0	0.0	0.0	440.94	590.38
2900011O08Rik	139.07	119.01	689.06	263.27	483.52	145.05	185.58	906.61	416.77	0.0	0.0	218.57	163.69	572.1	5.16	1.8	612.44	287.12	210.45	0.0	0.0	294.13	72.85	234.43	3.57	325.57	641.89	135.25	369.11	205.15	123.89	192.06	687.08	0.0	0.0	470.02	0.0	0.39	0.0	300.55	469.66
Bbip1	24.08	66.79	48.61	66.02	17.29	131.91	259.46	187.86	109.66	1.78	1.36	1.56	348.78	303.0	4.12	145.49	5.03	10.71	80.82	2.99	2.12	1.92	42.28	52.0	10.15	167.23	61.55	5.46	1.88	0.79	68.83	98.89	252.47	0.76	4.78	49.92	1.63	25.47	0.21	306.82	208.37
Esd	86.42	428.46	247.98	0.0	0.0	188.93	255.42	360.89	212.95	1.59	0.0	141.05	423.99	376.84	50.83	0.0	18.09	173.48	134.25	136.25	136.68	219.53	248.57	98.91	175.6	0.26	107.3	175.33	0.24	0.73	1.1	145.47	271.29	0.0	0.0	103.47	0.22	0.29	0.0	428.34	262.66
Fxyd6	571.21	3668.26	1743.65	1994.02	3184.6	3350.75	1850.3	3571.07	1866.29	16.26	0.0	1943.24	919.42	2087.68	181.48	428.37	1945.74	632.53	2236.42	1537.6	549.26	1498.76	2841.61	2902.05	2212.27	3425.19	919.31	276.31	1196.76	986.79	823.98	2129.15	3068.33	0.0	0.0	2631.97	0.2	0.0	0.0	4803.45	1585.78
Gap43	0.96	313.7	334.36	38.15	16.45	263.66	180.25	447.79	584.73	0.0	0.0	162.69	4.52	694.92	57.89	349.77	1144.1	0.0	706.5	0.0	0.0	173.18	755.3	209.85	125.88	450.38	0.0	0.0	0.3	0.0	0.0	1495.15	454.77	0.0	0.0	592.34	0.55	0.0	0.0	865.62	642.84
Lgr4	38.79	87.0	29.14	49.09	48.89	33.02	63.88	89.0	0.12	0.0	0.0	80.24	97.67	64.81	0.0	0.0	147.98	0.0	74.89	13.03	32.2	54.55	21.55	29.58	0.08	96.29	0.0	51.14	0.0	53.78	36.11	73.08	28.09	0.0	0.0	47.77	0.0	0.0	0.0	71.23	77.39
Lmbrd1	206.75	176.36	5.14	65.67	107.07	90.56	417.38	109.96	114.09	0.1	0.31	277.93	71.55	69.72	0.66	16.29	142.14	0.19	6.84	155.49	24.29	37.61	59.88	226.14	213.62	97.67	27.86	163.95	6.9	414.52	0.75	16.95	74.0	2.32	0.54	66.82	1.27	3.83	1.37	376.53	84.23
Med10	0.0	343.73	337.6	0.0	217.05	298.63	211.59	179.74	270.93	0.0	0.0	228.43	6.99	461.05	0.0	81.74	122.32	16.42	208.57	0.0	0.0	185.22	125.77	138.56	0.0	490.86	0.0	258.34	0.0	0.0	0.0	247.84	0.0	0.0	0.0	283.51	0.43	0.0	0.0	649.76	643.34
Ndn	278.94	69.71	381.86	128.76	0.0	11.2	348.48	599.04	1426.81	0.0	0.0	99.95	250.81	71.33	0.0	0.0	828.84	0.24	0.0	445.1	0.24	235.28	1186.61	348.92	150.9	237.33	148.47	272.29	149.38	0.0	0.0	111.39	580.6	0.0	0.0	1044.12	0.0	0.0	0.0	1286.14	597.94
Ndufb4	461.74	819.57	514.78	194.92	635.15	211.95	912.9	694.37	500.21	0.0	0.0	168.65	568.07	434.2	0.0	54.46	346.68	380.71	413.52	345.42	367.42	806.02	220.68	510.19	702.95	876.09	311.99	330.87	527.69	155.56	381.02	424.47	308.16	0.0	0.0	354.89	0.86	0.0	0.0	917.55	491.3
Pfn2	513.64	865.93	445.03	737.88	499.94	209.33	1510.02	734.65	436.65	0.0	0.0	835.7	567.16	929.07	248.7	171.74	963.98	277.66	508.09	296.32	267.7	708.49	560.47	506.56	307.63	1006.91	355.55	470.07	326.41	172.6	556.41	888.85	745.61	0.0	0.0	801.16	1.93	0.0	0.0	702.38	607.95
Pgam1	805.61	1298.74	983.67	500.07	274.51	396.86	644.18	134.07	663.11	0.0	0.0	241.15	916.36	712.79	165.84	659.91	302.3	141.29	458.88	54.07	208.27	482.02	681.01	741.64	544.53	988.93	328.53	649.98	323.52	316.27	343.96	482.74	649.93	0.0	0.0	359.67	0.39	0.0	0.0	1074.98	223.82
Pmvk	327.4	0.0	159.81	0.0	34.39	280.31	403.32	548.68	545.82	0.0	0.37	401.04	38.78	226.83	0.0	0.98	104.42	0.0	303.96	191.54	0.0	303.67	187.97	546.12	421.91	0.75	143.66	171.56	0.0	0.0	0.0	428.64	0.0	0.0	0.0	150.0	0.61	0.0	0.0	413.16	198.91
Psmb2	277.02	540.62	572.33	971.64	20.96	615.69	640.62	1205.33	564.21	0.63	0.51	952.48	153.74	1275.59	124.11	123.14	164.64	324.54	479.55	256.97	217.38	684.86	472.75	386.79	254.64	338.87	402.7	712.79	318.23	254.75	164.79	1261.84	480.66	1073.39	0.0	576.55	0.43	13.18	20.66	1980.03	1206.27
Qpct	122.65	512.19	136.26	0.0	164.42	443.85	283.07	340.34	539.59	0.0	0.0	180.38	200.85	315.09	0.0	322.6	379.33	0.0	308.83	0.0	0.0	176.2	290.45	120.74	274.71	405.63	0.0	97.81	0.1	0.0	0.0	1049.75	1647.44	0.0	0.0	101.8	0.0	0.0	0.0	633.44	150.24
Rab3c	104.74	237.41	201.11	80.5	209.41	100.05	150.6	184.23	102.9	0.18	0.0	141.19	137.19	83.8	19.71	9.66	96.64	63.76	37.52	195.85	60.85	167.6	425.46	248.19	362.8	125.31	54.74	109.32	112.98	58.82	104.6	111.41	228.37	0.0	0.07	173.77	0.37	0.31	0.0	169.99	209.08
Rian	3.53	46.66	214.25	2.83	143.01	40.92	0.17	228.67	96.26	0.0	0.0	49.81	79.61	151.9	75.6	1.54	115.42	2.49	6.14	183.36	77.65	156.09	152.66	72.28	163.3	214.08	72.72	105.81	69.79	0.0	75.23	110.06	119.71	0.0	0.07	166.78	0.4	0.0	0.0	281.89	0.87
Rsl24d1	14.86	201.15	155.58	295.34	6.24	171.16	18.86	250.53	435.08	0.0	0.05	176.68	52.96	13.15	0.0	33.25	12.19	0.26	15.86	13.59	34.1	140.18	12.46	161.81	12.79	259.69	107.15	129.45	490.65	9.63	6.43	209.27	0.0	0.61	0.0	95.58	0.23	0.31	0.0	567.67	0.35
Snapc5	0.0	387.38	0.0	285.18	0.0	345.08	0.0	230.79	263.27	0.0	0.0	0.0	329.0	171.5	0.0	0.0	37.78	0.0	0.0	0.0	0.0	0.0	139.75	0.0	0.0	299.77	2.44	272.83	0.0	0.0	1.22	663.98	290.44	0.0	0.0	374.27	0.49	0.0	0.0	432.66	3.62
Snrpa1	0.0	0.0	123.78	138.22	147.5	87.3	187.92	167.62	146.32	0.0	0.0	0.0	0.0	56.71	0.0	0.0	0.0	0.0	0.0	43.19	0.0	236.27	66.57	0.0	148.42	616.87	93.65	0.0	182.52	46.0	155.77	0.0	136.18	0.0	0.0	0.0	0.0	0.0	0.0	506.38	167.11
St8sia3	40.1	180.11	48.58	91.41	0.07	197.96	206.22	162.99	162.12	0.09	0.06	125.89	155.65	121.89	0.0	10.26	77.65	54.95	1.68	79.32	96.28	155.28	105.26	89.24	216.93	0.0	0.17	112.86	97.49	121.97	39.5	108.53	0.59	0.0	0.0	86.27	0.06	0.62	0.02	215.96	273.81
Tcea1	127.02	272.01	40.44	17.02	150.29	0.24	346.54	171.3	67.23	34.06	0.0	459.0	5.55	153.37	108.39	3.81	237.66	33.28	0.16	220.94	45.98	575.97	61.11	134.45	192.17	6.84	124.46	281.14	24.65	27.13	85.23	23.03	2.58	1.08	0.1	13.77	3.87	1.85	1.55	492.22	281.41
Vip	20048.18	27223.39	32658.1	48402.26	19652.48	35690.76	21970.5	22508.45	26835.38	0.0	0.0	42738.55	19221.37	23972.72	13833.32	15292.85	18726.8	9726.67	39789.49	29215.94	34420.5	53179.5	32676.37	46837.05	23764.13	32241.62	12608.74	20217.1	23582.35	23865.54	19091.82	20201.33	25309.04	0.0	0.0	20285.51	0.0	0.0	0.0	6881.82	18390.47
Vstm2a	1224.5	414.0	652.55	347.27	686.5	399.54	470.33	926.67	675.28	0.0	0.0	271.44	1272.57	1161.91	71.55	97.47	1015.02	500.28	161.15	98.53	230.77	441.5	592.41	781.47	80.22	379.85	374.04	420.48	110.22	728.51	219.31	497.66	709.29	0.0	0.0	471.35	0.1	0.13	0.0	807.59	546.79
Zfp938	19.16	23.0	0.0	0.1	28.69	17.83	33.03	23.44	391.06	0.0	0.0	0.25	21.29	2.34	0.36	0.61	2.65	2.76	363.17	0.0	16.93	234.49	384.85	9.44	18.0	474.15	17.98	521.66	0.18	1.43	12.34	31.9	7.28	0.0	0.0	570.88	0.0	0.46	0.0	1128.44	0.58
