	Cux2_tdTnegative_cell_13	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTpositive_cell_100
Atp5g3	99.33	215.7	0.25	712.78	299.93	0.0	9.94	597.06	2835.13	1393.55	2179.34	2698.99	1643.28	1037.17	464.87
Atp5h	0.0	1781.74	1116.19	1088.51	893.32	874.61	9.97	1258.02	1326.36	1743.17	2995.77	2674.01	72.32	0.0	679.93
Atp6v1e1	0.0	709.29	53.63	654.85	199.19	0.0	16.16	864.37	1131.9	810.56	999.67	795.05	30.54	0.0	461.17
Cox6b1	0.0	1354.08	894.19	1194.84	522.2	0.0	27.63	1399.47	3237.49	1703.18	3574.3	2721.07	7.83	1.3	59.58
Cox7c	344.86	1179.09	688.62	1068.19	704.65	280.7	15.8	1374.83	2209.33	1818.18	3733.86	3336.01	429.39	0.0	581.99
Fyttd1	0.02	40.47	0.07	2.05	0.61	0.0	17.24	44.53	97.66	36.51	2.82	49.11	210.01	0.0	0.13
Hat1	0.0	159.29	0.2	85.68	0.0	0.0	1.36	105.36	254.67	110.31	0.86	202.42	41.49	0.0	0.87
Hcn1	0.0	0.67	0.43	89.13	0.65	0.0	0.3	12.13	21.28	53.79	28.52	66.84	4.75	0.0	0.24
Mif	1.34	986.89	438.72	1197.79	639.0	59.9	1429.79	916.69	1347.53	1420.76	1459.8	2188.16	7.05	0.0	147.3
Minos1	0.0	68.14	76.34	66.76	8.77	0.0	22.3	117.79	134.2	121.19	133.44	202.79	5.22	0.0	66.71
Naa20	0.0	334.69	0.14	802.82	0.0	0.0	3.8	396.36	828.17	282.17	1554.96	957.48	2.15	0.0	0.0
Ndufa1	0.0	976.6	429.48	530.57	479.05	0.0	11.83	694.14	1447.55	943.91	1252.56	1869.59	745.17	0.0	459.38
Ndufa13	400.78	507.16	357.8	632.94	271.74	282.37	231.5	424.99	412.04	415.56	971.85	554.76	98.88	0.0	353.58
Ndufa3	0.0	1576.28	1732.41	913.33	1412.3	1334.39	17.7	1497.27	4022.35	1725.15	3011.05	3181.53	352.26	1416.95	415.69
Ndufa5	0.0	1009.91	375.89	486.81	430.11	0.0	14.67	764.09	1495.55	909.32	1571.2	1384.23	163.87	0.0	701.73
Ndufb9	1.12	1669.78	662.18	494.33	1080.81	0.0	19.09	878.67	1687.58	1217.81	1864.23	1486.64	7.87	0.0	52.21
Psma1	0.0	1031.36	0.0	99.37	103.69	0.0	6.02	224.29	170.67	68.4	1116.8	376.58	227.07	0.0	6.64
Rps18	0.0	1424.54	2077.89	870.06	987.65	1.2	50.8	852.79	955.11	857.35	660.1	685.74	548.0	0.0	361.05
Uqcr11	1.76	465.01	1674.99	809.12	655.33	640.24	97.96	1024.41	2016.62	1497.98	2022.87	1168.39	582.92	0.0	508.68
Uqcrh	1.36	1779.27	535.72	997.36	652.42	0.0	21.09	1095.52	4071.11	1470.25	2762.07	1972.06	19.12	296.37	518.99
Usmg5	0.0	2535.65	0.54	1876.68	1021.14	375.59	36.39	1994.64	5257.44	2316.61	4416.27	5543.74	16.44	0.0	1123.0
mt_AF378830	13698.29	52908.5	39259.72	41474.39	55289.36	19204.33	38878.51	46877.17	51765.19	38697.02	38916.35	39549.63	30625.22	31935.37	33356.48
mt_AK131577	3168.76	11869.87	6129.44	6636.2	12410.34	2385.61	4761.71	9933.94	10889.61	6412.84	9572.18	7992.08	5861.73	4291.04	7229.73
mt_AK131579	26225.31	73067.83	55281.42	56311.06	94403.3	29552.38	50469.69	60705.47	56120.42	46620.23	59803.41	51796.42	50260.41	29300.66	33634.6
mt_AK131587	507.17	3019.3	1588.56	1637.67	2697.07	416.49	882.4	2155.32	2411.97	1401.06	1953.11	1363.31	1707.02	648.71	1066.71
mt_AK132015	3168.76	11869.87	6129.44	6636.2	12410.34	2385.61	4761.71	9933.94	10889.61	6412.84	9572.18	7992.08	5861.73	4291.04	7229.73
mt_AK132098	3168.76	11869.87	6129.44	6636.2	12410.34	2385.61	4761.71	9933.94	10889.61	6412.84	9572.18	7992.08	5861.73	4291.04	7229.73
mt_AK167037	3168.76	11869.87	6129.44	6636.2	12410.34	2385.61	4761.71	9933.94	10889.61	6412.84	9572.18	7992.08	5861.73	4291.04	7229.73
mt_GU332589	5819.61	22738.66	26493.16	13741.48	28909.02	3242.03	12431.83	31086.28	21460.06	20242.91	18187.79	19369.81	19212.31	7312.3	4488.08
mt_X57779	2434.42	9293.52	6673.74	5660.5	13394.37	2828.86	7451.99	9044.92	8949.42	7051.59	8900.68	5635.93	4799.34	2293.83	4317.94
mt_X57780	2434.42	9293.52	6673.74	5660.5	13394.37	2828.86	7451.99	9044.92	8949.42	7051.59	8900.68	5635.93	4799.34	2293.83	4317.94
