	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_87	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_61	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_13	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_21	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_19	Nos1_tdTpositive_cell_40	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_24
1700034H15Rik	1.01	4.11	1.06	3.58	5.06	3.75	15.14	3.47	0.18	4.02	3.9	0.57	4.2	4.3	3.0	0.7	1.28	1.03	1.1	2.62	2.57	7.55	1.65
1700047I17Rik2	0.52	17.46	0.17	26.59	49.44	27.33	31.83	61.73	0.45	14.23	10.18	0.1	30.72	7.62	28.51	0.0	2.42	5.45	26.18	3.18	14.55	16.3	1.34
5430427O19Rik	1.07	11.62	0.69	5.2	5.27	5.28	11.29	5.48	0.0	4.7	4.78	0.0	13.13	5.77	10.72	0.0	2.61	1.33	1.24	7.08	4.64	3.86	2.28
9830132P13	0.1	9.02	0.06	1.53	2.03	8.12	9.26	1.65	0.15	3.03	1.06	0.32	4.79	1.25	1.16	0.0	1.04	1.78	0.32	3.51	0.82	3.61	0.45
AA536875	0.0	2.34	0.3	1.33	1.53	3.75	3.06	0.72	0.16	1.29	2.42	0.11	1.5	1.93	2.34	0.0	0.0	0.05	0.18	1.5	2.06	2.13	0.54
Btbd16	2.82	22.96	0.0	15.14	23.67	23.54	29.99	11.28	1.36	12.48	16.94	5.69	17.65	17.02	10.27	0.0	8.32	6.08	2.34	15.44	8.31	10.82	5.03
C920009B18Rik	0.0	1.84	0.0	0.39	1.73	4.34	8.7	2.38	0.0	2.95	0.69	0.0	2.18	4.47	0.57	0.0	0.47	0.43	0.32	4.59	1.23	0.86	0.44
Cd200r2	0.0	8.89	0.02	6.25	4.13	11.7	9.41	7.04	0.69	5.15	6.12	0.0	23.73	9.81	6.45	0.0	2.71	2.52	0.71	6.78	8.58	9.28	6.4
Cer1	0.0	2.1	0.18	2.03	2.2	4.94	2.65	1.76	1.02	1.02	0.89	0.48	3.14	1.75	1.36	0.0	2.13	0.88	0.49	1.72	1.39	1.39	0.15
Csf2rb2	0.45	10.35	0.33	3.56	9.27	11.1	2.85	11.09	0.58	7.1	6.1	0.94	15.29	9.49	5.97	0.0	7.55	3.92	1.36	8.48	4.52	3.76	2.32
Cyp2j5	0.5	5.98	0.0	13.11	6.81	10.15	17.26	4.67	0.08	8.64	2.18	0.85	10.16	5.4	2.25	0.0	2.34	2.4	2.62	8.09	2.41	2.79	4.44
Dstyk	0.0	66.66	0.0	0.78	0.0	50.22	0.68	1.05	0.0	0.22	8.96	14.24	20.2	0.13	14.76	0.0	6.58	0.08	0.02	53.85	1.08	18.34	0.96
Fam177a	0.52	17.46	0.17	26.59	49.44	27.33	31.83	61.73	0.45	14.23	10.18	0.1	30.72	7.62	28.51	0.0	2.42	5.45	26.18	3.18	14.55	16.3	1.34
Fam83a	1.81	4.2	0.26	6.08	8.24	14.29	9.41	3.54	0.27	8.59	5.23	1.01	17.3	5.13	4.97	0.0	2.15	1.44	2.48	13.43	3.59	6.79	3.27
Gad2	1.33	1139.52	314.25	1445.41	1293.84	1540.86	1708.5	1747.26	739.19	1529.42	1076.3	1081.73	1743.59	1046.26	1774.79	0.0	1519.11	1336.03	949.52	1455.13	1302.16	943.81	939.28
Gimap8	0.0	9.67	0.0	0.0	19.28	17.12	11.43	3.56	0.0	3.33	6.31	0.0	16.18	4.96	6.57	0.0	4.64	0.54	6.57	7.72	0.99	1.45	4.14
