	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_10	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010300C02Rik	0.0	24.7	179.98	19.83	4.38	161.02	175.9	165.27
2610305D13Rik	0.0	0.0	0.45	0.0	0.0	0.69	0.55	0.78
4930455C13Rik	0.0	0.0	14.96	0.0	0.0	0.84	0.5	1.14
5730403I07Rik	0.0	0.0	2.98	0.0	0.0	0.28	0.41	0.76
Ankrd34c	0.0	0.0	342.71	0.0	0.14	6.15	6.24	7.99
Arl4c	0.0	0.0	75.41	0.0	0.09	36.08	39.32	37.31
Camk1d	0.0	0.0	134.75	1.5	13.9	73.79	63.25	73.79
Ccdc93	0.0	0.0	93.34	0.0	1.92	14.44	12.57	13.91
Cd83	0.0	0.0	189.69	0.0	2.1	15.75	15.31	13.54
Cdk2ap2	0.0	0.63	202.04	0.0	16.18	26.95	26.75	26.79
Cep135	0.0	0.0	4.51	0.0	1.41	6.14	5.7	5.9
Chd5	0.0	4.46	106.26	0.73	4.74	101.81	99.86	105.46
Cit	0.0	6.27	73.05	0.77	2.12	37.49	36.91	41.69
Cntnap4	0.0	0.0	25.54	0.0	3.59	17.78	18.36	15.84
Copa	11.55	65.76	314.18	18.83	74.59	131.89	134.61	133.73
Cpne3	0.0	0.65	42.35	0.29	2.19	7.82	7.78	8.94
Elovl5	0.0	0.0	258.19	0.0	11.26	62.56	62.52	64.7
Ephb1	0.0	0.0	64.26	0.1	15.57	26.22	26.79	26.3
Epm2aip1	0.31	2.14	94.32	0.85	14.58	81.29	75.74	76.95
Faf2	0.0	4.4	129.16	13.46	32.24	30.46	30.62	31.61
Fmo5	0.0	0.0	0.73	0.29	0.05	2.03	1.62	2.54
Gm3317	0.0	2.07	4.69	0.0	0.88	2.38	2.75	2.9
Gm3494	0.0	2.07	4.69	0.0	0.88	2.38	2.75	2.9
Gm5108	0.0	1.09	51.75	0.0	2.78	5.31	3.56	5.9
Golga5	20.36	0.0	269.93	0.0	7.34	25.49	30.03	28.82
Gpr123	0.0	0.0	76.54	0.16	72.33	36.08	38.01	37.63
Haus7	0.0	0.0	319.05	0.0	10.88	10.3	9.18	7.05
Hlcs	0.0	0.0	0.16	0.0	0.0	7.75	7.35	7.59
Ift57	0.0	4.1	143.4	0.0	18.73	40.44	36.93	39.25
Kbtbd11	0.0	15.78	50.13	0.91	10.45	53.75	58.79	54.92
Lig3	0.0	0.0	24.18	0.0	3.24	16.4	14.44	14.32
Mrps30	0.0	0.0	61.14	0.0	5.5	25.2	31.88	25.69
Nudt9	0.0	0.0	184.98	0.0	16.89	61.09	66.8	65.0
Pafah1b1	0.07	144.18	279.78	41.02	42.69	291.38	272.54	283.28
Pag1	0.0	0.0	3.9	0.28	0.91	12.55	11.49	12.95
Pqlc1	0.0	0.0	275.45	0.0	9.03	17.53	19.71	16.59
Sema4f	0.0	0.13	164.21	0.0	3.78	34.99	35.97	35.47
Shisa9	0.0	0.0	53.24	0.0	3.24	37.8	37.88	36.34
Taf5l	0.0	0.0	146.84	0.0	2.5	18.7	19.86	16.45
Ttc26	0.37	1.76	181.43	0.86	6.11	8.87	7.78	7.86
Txndc15	0.0	0.0	318.58	0.0	21.08	75.79	77.31	81.14
Uhrf2	0.0	0.0	50.6	0.0	10.65	35.57	35.25	33.15
mt_AK131586	6370.03	0.0	3.92	0.0	0.0	25813.35	24091.17	24561.45
