	Cux2_tdTpositive_cell_104	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Sst_tdTpositive_cell_106
2810006K23Rik	41.65	0.83	6.44	11.0	2.9	11.63	0.96	16.67	14.08	8.13	3.15	11.42	0.88	129.57	0.99
4930579G24Rik	6.7	0.0	4.03	0.65	0.28	1.78	0.0	10.93	0.66	0.0	0.71	2.56	0.0	1.56	0.0
Adarb1	16.38	0.0	0.16	4.92	0.0	1.72	0.0	2.72	1.96	0.37	0.46	2.29	0.0	1.16	0.15
Apol6	6.52	1.61	2.87	2.86	0.38	1.05	0.0	2.92	0.72	0.41	0.52	6.6	0.35	4.36	0.23
Cyp2j9	0.0	0.0	0.0	486.48	0.0	0.0	0.0	9.0	0.37	0.0	0.0	480.72	0.0	889.78	0.18
Dcaf10	36.26	3.21	12.02	24.38	13.22	12.27	0.57	25.68	14.37	8.55	21.17	110.33	25.07	141.08	3.76
Dnajc30	39.75	0.0	0.0	276.0	0.0	0.0	93.05	78.65	0.21	0.0	0.47	417.5	0.0	353.03	0.0
Gm10389	61.64	19.61	19.52	59.34	33.88	28.86	3.5	51.8	25.51	12.54	24.49	21.74	32.74	68.48	9.54
Gm11149	5.67	0.0	0.0	9.64	0.0	0.0	0.0	0.0	5.12	0.0	0.0	18.38	0.0	9.03	0.0
Gm17066	0.72	0.0	0.0	0.16	0.0	15.76	0.0	67.19	0.2	0.0	0.42	0.73	0.0	36.72	0.09
Il1rn	0.25	0.0	0.0	0.3	0.0	0.0	0.0	0.11	0.13	0.0	0.0	0.21	0.0	0.29	0.0
Jkamp	360.41	0.33	0.25	277.3	143.85	296.01	0.19	256.54	213.04	0.0	0.0	316.5	0.31	55.69	192.78
L3mbtl4	2.56	0.0	0.45	0.13	0.0	0.5	0.0	0.79	0.05	0.0	0.0	0.8	0.0	0.56	0.0
Lsm10	119.86	0.0	0.0	0.0	0.0	0.0	0.0	30.99	0.31	0.0	0.68	0.0	0.0	340.0	0.0
Onecut3	2.88	0.0	1.08	1.24	0.72	2.52	0.08	1.0	0.79	0.54	0.86	1.84	0.43	2.61	0.0
Padi4	2.48	0.25	0.0	0.91	0.0	0.58	0.0	2.97	0.94	0.17	0.94	1.5	0.87	1.78	0.26
Phkg2	214.41	0.0	0.0	336.62	0.0	0.0	0.0	53.22	0.0	0.0	0.0	432.7	0.0	445.92	0.0
Pigy	0.11	0.0	0.0	0.21	0.0	0.07	0.0	9.28	0.09	0.0	0.05	0.19	0.0	0.15	0.0
Ptgds	0.0	10358.29	48907.82	54843.26	26720.82	47452.67	0.0	0.0	60719.49	40932.13	47873.29	36019.29	40457.23	39774.1	0.0
Ptp4a3	8.91	3.36	2.66	4.88	0.0	8.22	0.16	16.72	7.94	0.33	4.47	8.45	1.14	4.8	1.87
Rpl41	1716.08	1067.93	1089.13	1613.01	990.04	1658.92	1567.17	2602.4	1856.58	1339.22	1957.0	1448.44	1128.21	2582.11	1030.15
Was	31.76	0.69	0.87	8.77	3.42	8.62	0.0	10.46	7.07	3.89	7.17	8.71	5.74	15.44	1.65
Zfp316	19.68	7.75	8.72	25.84	3.19	10.24	1.95	13.58	8.84	2.48	9.57	11.32	8.71	13.67	2.3
