	Calb2_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110034A24Rik	0.0	0.0	0.0	7.01	6.22	8.56
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2810432L12Rik	37.04	0.13	0.0	52.67	53.72	50.57
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
AU022754	4.8	0.06	0.33	3.34	3.02	3.41
AY512931	3.61	0.32	3.84	4.04	4.34	3.82
Abl2	3.46	2.21	2.83	24.45	24.4	24.39
Adck5	0.0	0.0	0.0	11.41	14.94	14.6
Adnp2	0.0	0.0	0.0	18.43	18.91	17.84
Ankfy1	7.5	10.29	18.18	21.61	21.47	21.31
Ap1s3	4.61	0.96	1.62	10.15	9.11	11.48
Arhgef12	89.19	0.0	0.07	81.47	74.79	84.17
Arl5b	0.42	0.0	0.0	13.21	11.43	10.15
Atl2	1.48	0.0	9.19	46.07	45.3	42.17
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC037032	0.0	0.0	0.0	0.59	0.46	0.67
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cdc42se1	0.21	0.0	0.0	58.74	55.44	53.16
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cp	0.15	0.0	0.0	8.35	6.22	8.48
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk2	0.0	0.0	0.0	30.83	29.09	26.61
Eef2	244.29	0.12	129.85	761.39	825.76	815.78
Eif5a	172.98	0.0	246.17	438.76	458.46	438.37
Fbxl3	4.62	0.0	3.5	57.07	55.37	56.55
Fip1l1	0.0	0.0	0.0	42.16	37.99	41.82
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxk2	33.35	0.0	77.69	56.9	56.88	57.47
Gimap3	0.27	0.0	0.0	0.28	0.23	0.31
Gm10640	0.0	0.0	0.0	0.63	0.34	0.35
Gm16497	0.0	0.0	0.0	0.03	0.12	0.07
Gm6329	0.0	0.0	0.0	0.05	0.0	0.0
Gucy2f	0.11	0.0	0.0	0.43	0.48	0.49
Hif1an	0.0	0.0	0.0	26.84	25.97	25.72
Hist1h2bq	0.0	0.0	0.03	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.03	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hras1	0.0	0.0	16.26	97.29	100.13	101.06
Hspa9	116.66	1.87	0.0	176.91	179.38	174.24
Ing4	0.0	0.0	0.0	47.79	49.06	44.91
Keap1	0.0	0.0	0.0	46.23	54.83	51.32
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klhl34	0.0	0.0	0.0	51.95	44.86	59.06
Klrg2	0.0	0.0	0.0	0.35	0.19	0.22
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Magee2	0.0	0.0	0.0	7.37	6.28	7.17
Med12l	0.0	0.0	0.0	16.99	14.98	16.68
Mgat2	0.0	0.0	0.0	30.08	32.67	29.91
Mms22l	0.0	0.0	0.0	0.86	1.04	1.11
Mocs1	0.0	0.0	0.47	7.35	7.24	7.88
Nav1	28.89	0.0	0.05	36.21	34.59	41.09
Ndfip1	7.54	0.0	102.19	891.63	937.06	917.68
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlgn2	0.0	0.0	0.0	132.5	135.21	131.05
Nt5c2	0.0	0.0	0.1	43.72	44.09	41.79
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pcmtd1	62.05	0.0	9.43	69.06	59.81	70.51
Pgm5	0.0	0.04	0.0	2.24	2.12	2.48
Pip4k2b	12.43	0.0	0.0	83.28	80.17	79.56
Pitrm1	0.0	0.0	0.0	27.61	26.93	25.99
Pot1a	0.0	0.0	0.0	13.12	14.24	15.9
Prkcsh	0.0	0.0	0.0	76.36	83.69	73.99
Rab24	83.36	0.0	0.0	60.01	70.01	60.32
Rabep2	0.0	0.0	0.0	9.77	11.34	10.72
Ranbp2	0.0	0.0	0.0	46.32	36.88	44.52
Rap1gds1	111.77	0.11	29.17	284.57	290.45	264.54
Rhbdf1	0.0	0.0	0.0	9.49	10.06	11.6
Rnf115	0.0	0.0	0.0	61.47	60.54	56.83
Rnf145	0.0	0.11	0.0	79.17	79.19	74.61
Rnft2	5.93	0.0	0.0	58.46	59.35	61.39
Secisbp2	1.78	0.0	0.0	13.44	14.92	15.37
Sh3yl1	0.0	0.0	0.0	10.54	11.28	11.53
Sik1	0.89	0.0	0.0	15.4	13.82	5.32
Slc6a9	0.0	32.29	0.0	29.53	33.76	29.32
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Tarsl2	0.0	0.0	0.0	38.79	39.36	35.69
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfcp2	0.0	0.0	27.73	16.65	17.53	18.51
Tmem67	0.0	0.0	0.0	9.22	8.56	9.58
Tmem70	8.34	2.04	1.27	54.91	50.55	49.21
Tnfrsf1b	0.22	0.0	0.0	2.41	2.38	2.69
Tnks2	0.0	0.0	0.0	72.37	67.98	67.4
Trim25	0.0	0.0	0.0	3.28	3.13	3.95
Trim56	0.0	0.0	3.25	3.55	3.52	4.14
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttpal	6.2	0.0	0.0	48.18	48.03	44.14
Unc5c	0.0	13.01	0.0	13.18	13.74	14.31
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr81	0.99	0.0	4.34	11.67	12.24	12.65
Zdhhc13	0.0	0.0	0.0	22.75	23.14	22.85
Zdhhc22	0.0	0.0	0.0	44.51	41.05	46.58
c3_tRNA-Ala-GCY_	37.29	0.0	0.0	23.05	42.35	38.13
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
