	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5
2210012G02Rik	0.16	0.0	0.59	8.73	11.19	3.55	50.91	16.85	0.71	15.34	12.28	3.25	15.96	9.99	16.35	0.0	0.03	26.71	10.46	54.65
2210420H20Rik	0.0	0.0	0.0	1.09	4.24	0.0	0.0	0.0	0.64	2.17	1.21	0.0	0.67	0.93	2.45	0.86	1.95	2.14	0.0	2.54
4933439F18Rik	2.7	0.0	0.11	93.19	30.43	17.76	49.65	23.13	112.36	89.97	28.53	3.84	46.62	98.4	65.59	18.62	61.99	110.91	24.31	69.94
5430440P10Rik	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.66	1.63	1.37	0.86	0.0	0.32	1.67	1.34	0.0	0.0	0.42	0.0	1.54
Amn1	0.0	0.0	0.0	147.85	125.71	117.74	102.52	123.88	98.99	131.76	110.1	134.39	0.0	17.96	66.16	0.0	0.0	0.0	61.96	250.25
Arhgef12	0.93	0.0	0.0	12.27	7.5	10.32	22.89	27.62	16.1	20.35	24.68	14.29	15.04	9.98	11.58	4.75	14.53	29.68	19.61	53.11
Arl5a	0.0	0.0	0.0	161.49	18.25	6.9	121.15	93.85	41.56	20.63	115.07	23.06	59.74	44.36	52.25	73.84	13.48	188.95	62.97	211.25
Bcl11b	0.04	0.0	0.0	19.32	0.0	4.53	1.18	2.43	0.0	12.91	20.82	0.04	0.0	1.31	0.06	1.38	8.62	37.73	0.0	31.49
C530028O21Rik	0.0	0.0	0.0	12.43	0.0	0.0	19.69	0.0	0.0	25.28	18.44	13.89	21.42	12.96	29.46	0.0	20.35	74.81	22.97	72.86
Cbfa2t2	0.09	0.0	0.19	43.08	30.41	22.44	35.35	65.88	63.7	97.52	24.35	51.34	87.96	79.7	47.04	15.42	50.99	51.75	51.79	116.06
Cog6	0.0	0.0	0.0	112.32	22.82	28.11	54.36	45.52	4.46	85.54	0.0	40.19	22.63	87.06	11.74	20.01	6.41	127.73	78.55	130.36
Cstf2t	0.0	0.0	0.0	100.81	71.51	57.49	3.16	25.12	65.29	54.26	31.61	20.1	42.76	16.15	24.78	31.61	43.65	158.25	42.53	100.34
Ehmt1	3.71	0.41	0.0	10.71	1.0	0.29	15.57	44.65	24.15	0.93	13.57	22.24	40.1	0.43	1.09	1.57	26.27	28.66	8.57	32.24
Galnt1	0.0	0.0	0.0	0.0	25.96	0.49	25.52	32.7	1.14	41.34	6.29	4.5	11.59	34.33	3.81	0.76	0.0	62.74	0.0	91.68
Gba2	0.0	0.0	0.0	13.14	32.45	4.64	88.58	12.05	0.0	0.09	0.0	0.16	45.12	0.15	0.0	0.0	10.93	22.62	32.05	95.02
Glrx3	0.0	0.0	0.0	128.03	53.24	45.32	301.95	229.45	111.19	127.66	165.74	98.15	137.48	110.58	125.08	83.24	110.9	258.22	269.16	255.79
Gm15441	0.09	0.0	0.0	1.25	0.0	0.29	0.32	0.79	0.0	0.76	0.63	0.17	0.24	0.78	0.21	0.4	0.56	1.05	1.4	1.81
Helz	0.0	0.0	0.0	4.53	0.0	29.62	2.07	0.31	8.12	0.0	0.05	3.71	20.64	1.37	0.22	0.0	0.07	27.43	8.87	47.7
Klhl4	0.0	0.0	0.0	212.41	0.0	0.0	0.5	0.0	78.37	0.0	14.91	10.0	11.47	0.0	0.0	0.0	0.0	102.6	0.0	93.73
Ldhb	7486.96	2593.67	5274.92	9309.63	10118.08	10894.4	9343.6	10165.1	11261.44	10004.69	8757.21	13571.31	12546.17	11010.48	10182.84	7739.08	9082.37	6628.6	11746.38	3979.21
Magi1	5.53	0.0	0.0	60.88	12.23	44.91	24.46	30.99	20.01	48.44	2.06	13.5	26.31	32.77	54.38	7.17	20.89	67.23	15.04	61.01
Map1lc3a	0.0	0.0	0.0	10.66	2.36	22.6	59.21	23.89	12.09	6.76	55.62	13.43	40.98	51.36	46.14	59.14	35.72	65.28	53.48	132.95
Mcl1	0.0	0.0	0.0	24.43	0.0	0.0	22.45	10.01	0.0	0.0	0.68	0.0	4.31	60.05	0.0	26.9	43.0	107.38	38.02	122.45
Mfap1b	0.0	0.0	0.0	107.29	90.7	3.99	94.79	44.37	321.87	41.8	67.56	38.13	0.0	100.27	55.7	5.17	8.75	105.05	66.92	274.1
Mrpl19	0.16	0.78	3.07	22.4	23.9	16.07	11.94	11.34	2.33	51.12	7.97	34.43	34.42	44.94	65.13	3.18	59.74	67.36	49.97	55.7
Mtmr4	0.0	0.0	0.0	20.38	1.9	39.52	34.78	13.54	42.36	4.8	27.02	44.21	0.35	21.75	7.54	0.32	24.89	38.74	7.55	39.95
Naa35	0.0	10.39	0.0	198.46	0.0	39.71	45.29	95.72	198.55	4.0	78.4	36.6	75.39	19.0	177.87	150.62	0.1	201.6	62.04	204.48
Pbrm1	12.07	0.0	0.0	0.69	0.0	54.93	22.14	10.33	32.62	28.65	27.86	33.61	6.3	31.39	36.05	0.0	18.44	53.93	11.94	79.26
Pde4d	0.0	0.0	0.0	83.81	15.55	9.03	49.37	45.1	73.29	83.43	40.59	28.32	62.57	16.69	40.9	39.51	21.49	125.72	31.93	110.86
Plcb1	0.0	0.0	0.0	61.08	24.04	37.88	18.52	2.2	14.04	23.14	35.25	19.64	14.35	31.64	2.99	5.21	13.6	74.46	46.15	113.69
Podn	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.4	0.0	0.34
Prss35	1.88	0.0	1.43	0.54	0.0	1.67	6.36	2.32	1.88	2.39	5.98	3.68	3.3	4.47	2.35	0.44	2.2	7.19	6.84	12.43
Rfesd	0.0	0.0	0.0	0.0	102.28	42.08	16.17	14.78	0.0	30.58	43.5	47.4	0.0	0.0	0.25	0.0	10.7	32.53	0.0	80.8
Rgl2	0.0	0.0	0.0	0.43	0.0	0.16	0.0	6.62	0.63	26.89	2.44	0.75	0.0	0.18	0.0	0.0	0.08	52.51	14.47	62.82
Rpa3	0.0	0.0	0.0	69.46	0.0	155.52	22.87	121.83	0.0	105.67	185.59	65.15	0.0	43.61	52.59	23.27	26.97	192.54	30.09	216.34
Sel1l3	0.0	0.0	0.0	55.46	1.2	14.6	0.24	28.4	0.0	0.0	35.16	0.0	5.84	21.34	24.92	0.0	0.0	44.41	26.29	68.57
