	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_44	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610009B14Rik	0.0	0.0	0.0	87.03	0.0	0.0	9.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
1700023F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	36.64	0.0	1.5	0.0	3.8	0.0	0.0	6.87	1.7	3.28	2.21
1700040I03Rik	0.0	0.0	3.37	0.0	16.0	5.11	83.64	0.0	0.0	0.0	0.0	74.0	1.1	0.0	24.68	26.67	26.12
2310015D24Rik	0.0	0.0	0.0	0.33	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.41	0.44
2310069B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0
2510039O18Rik	0.11	0.0	0.0	0.0	0.0	0.0	33.62	18.01	7.1	12.89	7.44	0.0	0.0	0.17	24.71	26.72	25.18
2610027L16Rik	0.0	0.4	0.0	0.0	0.0	0.15	36.99	0.09	0.0	4.56	0.11	0.0	0.09	0.06	8.48	9.03	7.62
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
6430527G18Rik	5.33	0.0	7.51	0.23	5.68	5.03	36.5	3.29	21.98	10.42	22.93	4.61	11.96	2.86	62.46	66.67	51.85
Ano8	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.01	50.03	48.35
Aoc2	1.56	2.62	2.89	0.83	2.3	2.72	72.49	0.97	2.45	3.04	5.13	2.38	12.26	6.3	6.34	6.29	6.25
Arrb1	13.42	0.0	0.03	0.07	13.54	9.37	66.89	12.38	1.93	1.04	4.62	0.61	44.52	0.25	124.64	121.51	131.79
