	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_1	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	15.31	0.18	0.34	0.0	20.03	5.38	43.99	0.01	0.0	94.37	0.19	27.11	0.14	0.7	0.29	0.1	0.0	0.52	0.5	2.2	4.29	0.2	0.21	0.0	0.48	0.0	44.76	12.16	0.0	12.32	72.38	13.38	37.38	23.95	0.2	1.91	0.58	0.49	9.77	0.6	0.0	2.22	32.99	13.43	10.33	5.83	30.76	5.74	19.64	11.05	16.68	9.05	12.04	22.39	18.34	25.87
2010320M18Rik	142.47	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	129.38	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.84	0.0	0.0	55.94	0.0	0.0	0.0	0.0	0.0	0.0	2.95	0.0	0.0	211.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	14.8	38.14	41.5	45.83	12.67	25.53	24.99	26.71	11.14	12.69	13.62
2610008E11Rik	0.0	93.33	0.0	5.6	0.0	0.0	0.0	0.0	0.0	352.92	0.14	0.0	0.08	0.0	0.0	113.07	0.0	0.12	0.0	0.0	105.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.55	0.0	14.95	26.78	40.14	20.27	33.72	13.73	14.21	12.36	13.93	15.25	12.51	15.08
2700078E11Rik	0.02	42.67	0.47	0.14	2.26	3.41	6.94	50.46	0.0	262.11	11.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.43	72.84	3.23	0.0	70.71	0.09	0.0	0.84	0.0	12.3	1.49	0.0	0.0	10.19	3.57	0.0	0.0	0.84	0.0	0.07	0.0	0.0	3.06	0.0	6.42	11.73	11.86	3.2	7.02	6.57	8.1	5.11	12.28	38.47	35.4	36.85
4921511C10Rik	0.0	0.0	0.0	81.9	0.0	0.0	0.0	45.88	0.0	232.9	0.0	0.0	0.0	83.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.76	0.0	0.0	115.99	0.0	28.34	0.0	0.0	87.61	3.95	0.0	0.0	0.0	0.0	97.22	0.0	0.0	0.0	0.0	0.0	12.47	25.65	20.64	24.88	18.59	31.13	6.65	6.95	4.6	0.0	0.0	0.14
6530418L21Rik	0.0	0.0	0.0	0.0	0.05	0.0	0.12	10.42	0.0	0.11	0.0	0.0	0.0	0.1	0.19	0.09	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.23	0.0	20.4	0.11	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.22	0.33	20.39	51.69	34.89	39.3	30.62	8.85	28.86	23.51	20.58	62.45	58.55	56.76
9030025P20Rik	0.0	0.22	0.26	0.0	4.76	0.0	3.44	5.59	0.0	165.66	0.0	0.0	0.0	12.38	0.0	0.0	0.0	2.43	0.0	4.16	1.16	0.0	3.94	0.0	0.0	0.23	0.6	0.95	0.0	3.43	2.25	0.0	22.67	0.0	7.81	0.88	12.9	0.0	0.0	2.15	0.0	0.0	0.0	0.0	13.63	5.05	1.46	7.68	3.14	13.43	2.72	2.16	4.79	15.83	13.52	16.88
Adrb1	52.28	0.0	2.67	0.0	0.0	32.83	2.14	0.0	0.0	51.4	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.17	0.0	14.88	56.62	0.0	0.0	33.63	0.0	0.0	0.0	0.0	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.36	3.46	5.39	2.54	1.57	9.93	2.48	2.64	1.38	3.77	30.68	33.63	27.06
Adsl	211.68	3.31	208.39	5.44	17.72	7.41	24.07	108.82	0.0	803.75	22.88	66.48	10.36	245.56	180.98	19.96	14.67	19.79	179.28	5.65	3.66	19.44	9.46	283.91	11.38	5.51	18.01	12.49	0.0	54.87	25.85	29.72	17.64	5.97	15.54	24.35	12.62	12.44	13.41	371.28	27.26	12.78	16.33	20.23	37.43	69.61	66.32	48.96	44.8	94.28	65.52	72.48	79.42	25.44	28.74	26.9
Brd7	0.0	0.0	0.23	58.12	40.21	0.0	116.17	0.0	0.0	478.83	17.03	19.53	0.0	0.0	0.0	0.0	2.67	26.52	89.61	244.29	0.0	0.0	23.0	224.06	0.0	0.0	0.0	0.0	0.0	22.8	0.0	3.44	4.45	0.0	0.0	0.0	1.85	0.19	310.1	0.0	3.48	0.0	0.0	2.49	66.53	51.43	23.49	36.07	21.38	34.7	43.2	33.65	40.28	37.84	41.31	36.86
