	Ctgf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_36	Tac2_tdTpositive_cell_5
1110037F02Rik	0.0	1.04	0.0	2.59	0.07	7.45	6.52	25.5
2610035D17Rik	0.0	0.0	0.0	0.12	0.0	24.08	0.0	142.78
3110056K07Rik	0.0	0.0	0.0	0.24	0.0	28.05	0.0	131.12
4921508A21Rik	0.19	0.0	0.73	13.94	17.92	19.17	17.97	21.77
5330434G04Rik	0.0	0.0	0.0	0.0	0.0	42.2	51.75	121.17
6330410L21Rik	0.0	0.0	0.89	0.06	0.0	0.54	0.21	2.61
9430016H08Rik	0.25	0.0	0.0	74.1	0.0	32.08	17.74	98.17
A330050F15Rik	0.0	0.0	0.0	0.0	0.0	11.75	2.51	122.4
A930024E05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.72
AI846148	0.0	0.0	0.0	0.0	0.0	0.56	0.51	34.85
Abcb8	0.0	0.0	0.38	14.37	8.09	10.92	0.0	82.85
Abcg4	0.0	0.0	0.0	0.0	0.13	4.15	1.01	71.92
Amy2a2	0.0	0.0	0.0	0.05	0.09	0.35	0.16	0.1
Amy2a3	0.0	0.0	0.0	0.05	0.09	0.35	0.16	0.1
Amy2a4	0.0	0.0	0.0	0.05	0.09	0.35	0.16	0.1
Ap1m1	0.0	0.0	0.0	1.54	134.59	91.81	0.63	461.42
Arid2	0.0	0.0	0.0	22.71	2.65	11.05	15.59	31.29
Atf7ip	0.0	0.0	0.0	11.76	5.12	4.92	18.16	51.43
BC032203	0.0	0.0	0.0	2.09	0.21	0.13	0.0	44.39
Casp3	0.0	0.0	0.0	22.52	2.0	5.54	0.0	121.55
Ccl25	0.0	0.0	0.0	5.33	20.91	32.72	75.88	209.63
Chchd7	0.0	0.0	0.0	62.06	0.0	41.94	51.7	265.17
Coq9	0.0	0.0	0.0	0.13	0.0	121.26	124.03	483.07
Cpeb3	0.0	0.0	0.0	0.0	0.65	5.86	2.17	50.33
Cplx4	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.32
Ddx19b	0.0	0.0	0.0	0.37	0.0	5.43	19.47	54.69
Dis3l2	0.0	0.0	0.0	1.54	0.0	3.51	0.0	105.69
Dixdc1	0.0	0.0	0.04	0.65	0.25	25.99	0.25	30.14
Dlst	0.0	0.0	0.0	106.59	83.19	60.15	29.66	225.67
E2f1	0.0	0.0	5.7	6.9	0.55	5.57	13.74	18.95
Eif2s3y	0.0	0.0	0.18	2.62	72.14	208.73	53.46	165.44
Epb4.1l3	0.0	0.0	0.04	3.1	9.83	62.17	96.34	214.53
Erlec1	0.1	0.0	1.12	0.98	3.79	23.79	38.86	57.92
Fam125b	0.0	0.0	0.03	0.09	0.0	0.0	11.31	19.88
G530011O06Rik	3.66	2.62	7.76	40.62	6.3	40.21	19.83	123.21
Glrx	0.0	0.0	0.0	134.06	83.38	131.76	185.39	493.78
Glt25d1	0.1	0.0	0.0	0.4	3.14	1.1	9.91	80.82
Gm10778	0.85	2.09	4.62	2.24	1.62	26.8	3.93	123.21
Gm12070	0.57	0.0	3.48	5.94	11.8	28.06	18.95	34.3
Gm13498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
Gm14431	0.76	0.0	0.71	2.99	0.44	2.05	5.21	2.31
Gm19619	0.72	0.0	0.61	0.81	1.24	9.35	2.64	14.2
Gm3604	0.0	0.0	0.0	0.0	0.49	3.18	1.48	65.59
Gm8898	0.76	0.0	0.71	2.99	0.44	2.05	5.21	2.31
Gm9962	0.0	0.0	0.0	0.13	0.0	10.2	1.0	129.81
Gpr110	0.0	0.0	0.0	0.0	0.0	0.12	0.12	0.15
Grik2	0.0	0.0	0.0	0.49	11.85	41.04	40.39	79.37
Hcn1	0.13	0.0	0.43	0.65	12.13	27.37	53.79	46.96
Hdac2	0.0	0.0	0.0	5.29	18.93	35.44	58.82	184.73
Hdhd3	0.0	7.15	0.0	0.0	43.19	14.29	0.0	232.99
