	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_87	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700007K13Rik	0.0	0.0	0.0	0.0	0.0	4.82	5.26	4.45
1700028I16Rik	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
1700051A21Rik	0.0	0.0	0.0	0.0	0.0	0.37	0.42	0.38
2810046L04Rik	0.0	0.43	0.0	10.23	0.0	18.15	16.7	18.41
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930414L22Rik	10.77	3.64	0.0	6.49	0.0	18.73	17.82	18.42
4932412D23Rik	0.0	0.09	0.0	0.0	0.0	0.02	0.07	0.1
5330413P13Rik	0.0	0.0	0.0	0.0	0.0	1.08	1.35	1.03
7420701I03Rik	0.0	0.0	0.15	0.0	0.0	0.42	0.14	0.0
Adamts17	0.3	0.46	0.24	0.37	0.06	3.0	2.7	2.35
B3gat3	12.58	6.24	66.95	41.63	5.51	138.52	165.08	159.06
Bcl2l12	0.0	0.0	0.0	0.0	0.0	2.66	2.69	2.57
Blk	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C1qbp	0.96	11.92	2.69	0.47	0.0	85.04	87.25	84.09
Car9	0.0	0.0	0.0	0.0	0.15	0.46	1.05	0.87
Ccl24	0.0	0.4	0.0	0.0	0.36	0.49	0.08	0.29
Ccnd3	0.0	0.0	0.0	0.0	0.0	20.42	20.14	18.2
Cdnf	1.09	1.98	0.89	0.5	1.07	2.35	2.4	3.1
Cebpg	7.58	40.15	1.85	0.16	0.22	22.95	21.24	21.34
Celsr3	0.74	0.0	0.0	0.0	0.19	42.74	41.54	46.86
Ces1a	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cmtm4	0.0	7.47	0.0	0.72	0.0	59.02	56.14	57.0
Cpt1a	0.0	0.0	0.0	0.0	0.0	16.18	17.93	18.07
Ctu2	0.0	10.6	0.0	0.0	0.0	10.64	13.79	12.49
Dapk3	0.0	0.0	0.0	0.0	0.0	40.51	47.94	44.81
Ddx58	0.37	0.45	0.66	0.08	0.0	3.58	2.86	3.2
Dennd2c	0.0	0.0	0.0	0.0	0.0	0.32	0.43	0.41
Dlec1	0.0	0.0	0.0	0.0	0.0	1.68	1.56	1.17
Dll4	0.0	0.0	0.0	0.0	0.0	2.51	2.38	2.22
Dok2	0.0	0.0	0.0	0.0	0.0	0.75	1.04	0.72
Fmo2	0.0	0.0	0.0	0.0	0.0	1.45	0.72	0.61
Foxf2	0.0	0.0	0.0	0.0	0.0	4.35	4.21	6.6
Gabre	0.0	0.0	0.0	0.0	0.0	0.64	0.9	1.14
Gapdhs	0.0	2.91	0.0	0.0	0.0	3.23	2.36	3.14
Gfod1	41.56	7.06	3.0	17.11	0.0	50.26	46.46	49.88
Gm10768	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
Gm12295	0.0	0.0	0.0	0.0	0.0	0.06	0.03	0.0
Gm14015	0.14	0.27	0.21	0.1	0.0	0.55	0.48	0.54
Gm3002	10.02	0.35	6.17	0.08	0.0	20.99	17.86	20.91
Gm6320	0.26	0.17	0.48	5.66	0.0	0.59	0.59	0.6
Gna15	0.0	0.0	0.0	0.0	0.0	2.21	2.01	2.74
Heatr6	3.72	0.0	0.2	4.63	2.37	11.07	10.73	12.44
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igf2	0.0	0.0	0.0	0.05	0.0	36.6	41.72	35.05
Irak4	0.0	0.0	0.0	0.0	0.0	1.76	1.5	1.61
Kera	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klraq1	0.0	2.02	0.0	0.0	22.28	63.06	66.0	59.09
Kras	36.77	22.4	0.0	10.18	14.75	62.01	59.49	61.92
Lao1	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lepre1	0.0	0.0	0.0	0.0	0.0	7.2	6.74	6.58
Maf1	0.33	0.23	0.0	0.0	22.14	78.73	85.15	82.14
Mcm2	0.0	0.0	0.0	0.0	0.0	3.36	3.63	3.77
Nfe2l1	38.47	33.88	39.57	31.19	41.52	227.17	223.7	221.14
Nkx1-2	0.0	0.0	0.0	0.0	0.0	0.1	0.15	0.0
Notch4	0.0	0.0	0.0	0.0	0.0	2.58	3.06	2.82
Nubp1	0.0	0.0	0.0	0.0	1.28	17.71	16.92	16.56
Ocel1	0.0	0.0	0.0	0.0	0.0	6.57	9.03	9.27
Otol1	0.0	0.0	0.0	0.0	0.0	0.09	0.04	0.22
