	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110019D14Rik	0.0	0.0	0.0	13.53	57.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.34	0.0	0.0	0.0	0.0	57.25	0.0	0.0	0.0	0.0	30.98	0.0	25.14	7.21	0.0	0.0	11.44	0.0	0.0	0.0	15.06	0.0	0.0	0.0	6.69	5.85	10.38	2.27	2.45	2.13
1300002E11Rik	0.0	93.66	0.0	134.13	134.77	0.0	0.0	0.0	0.0	0.0	0.17	158.02	62.53	0.07	0.0	0.09	0.46	0.0	0.0	0.0	15.25	0.0	0.07	0.0	0.0	51.86	0.0	37.41	27.59	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.9	0.0	21.27	17.57	19.43	9.78	8.35	8.4
1700030K09Rik	0.0	0.0	0.0	0.0	91.44	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.07	0.0	0.0	0.0	12.63	94.24	0.0	0.0	0.0	49.67	0.11	0.0	0.0	0.0	10.52	17.1	6.82	11.63	0.0	0.0	0.0	33.13	0.0	0.0	0.0	0.0	0.0	19.97	16.49	12.48	9.41	9.15	8.4
1700047I17Rik2	6.75	1.0	0.66	0.32	16.25	31.83	3.6	2.13	6.68	0.75	4.6	0.97	5.07	19.24	10.07	3.74	4.19	4.03	5.27	1.07	3.41	11.48	12.89	15.79	11.15	2.03	12.08	9.09	16.78	23.92	11.71	0.85	8.08	4.82	6.97	14.63	53.89	21.12	6.64	13.41	14.19	19.02	17.56	16.4	17.92
1810043H04Rik	0.0	0.0	55.12	20.5	246.49	28.15	0.0	90.95	0.0	4.19	33.49	40.3	0.0	54.53	0.0	0.0	0.0	3.94	0.0	0.0	0.0	0.0	0.0	82.91	0.0	34.11	6.65	36.54	52.17	0.0	0.0	50.68	29.5	0.0	0.0	84.04	0.0	0.0	49.83	18.12	39.36	63.11	28.33	33.91	32.76
2010300C02Rik	0.0	0.0	0.16	0.0	7.12	0.0	0.0	0.0	0.0	0.0	0.02	0.11	0.0	0.15	0.0	0.0	0.0	0.2	0.29	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.11	3.21	9.51	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	11.38	0.0	5.56	4.38	5.22	161.02	175.9	165.27
2700050L05Rik	5.34	0.0	0.0	0.0	14.45	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76	0.1	0.0	3.25	0.16	13.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	4.92	8.68	6.82	15.84	14.42	12.98
4921515J06Rik	0.0	0.0	0.0	0.0	19.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	1.18	1.0	1.63	1.66
4931414P19Rik	0.0	0.0	0.0	0.0	55.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.6	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	0.11	26.37	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	4.67	0.54	2.9	2.7	3.94
A830082N09Rik	17.86	0.94	0.46	0.15	38.66	1.27	2.78	0.3	0.6	0.35	0.26	21.95	0.25	0.4	8.26	1.26	6.14	0.36	0.46	0.34	0.18	0.3	0.5	0.27	4.98	0.53	11.3	3.08	2.88	0.6	0.35	0.12	0.12	0.91	1.09	0.63	3.7	0.86	0.59	3.14	3.23	3.5	9.03	8.49	9.21
Amigo1	0.0	0.0	9.36	9.99	62.68	0.12	7.82	42.14	0.04	0.0	0.02	0.05	0.0	0.29	0.73	0.0	13.0	14.43	50.39	21.68	3.48	0.0	41.62	11.99	0.0	0.06	1.32	10.04	3.9	4.98	0.0	29.75	0.76	4.98	0.11	0.0	0.0	0.0	9.93	12.59	10.51	8.12	58.86	60.1	60.6
Ank1	0.23	0.0	0.0	0.0	18.38	0.83	0.0	0.0	1.95	0.0	1.64	0.0	0.83	1.1	0.02	1.21	11.31	0.71	0.43	0.0	2.44	0.05	0.09	0.08	0.0	0.0	0.0	1.44	0.69	0.0	0.0	0.61	0.0	0.0	1.04	0.0	0.47	0.0	0.99	0.32	0.0	0.17	19.24	22.06	23.05
Apex2	0.0	0.23	77.71	0.0	102.53	0.0	0.0	0.0	7.21	25.42	0.13	0.0	4.99	0.07	21.1	39.89	20.38	14.26	0.0	0.0	0.0	0.0	83.0	0.22	57.76	0.16	54.34	14.39	5.55	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.42	27.68	9.26	3.04	8.66	11.72	4.58	4.22	4.46
Asb14	0.0	0.0	0.0	0.0	6.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.47	0.45	0.3
Aurkb	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.46	0.48	0.58
Ccl27b	0.0	0.0	0.0	0.0	11.32	0.0	0.0	21.49	31.22	1.46	0.03	0.0	1.74	0.0	0.0	0.0	0.0	2.47	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	4.31	29.61	40.26	4.89	46.94	0.0	1.61	0.0	0.0	0.0	38.65	4.36	7.83	61.27	76.52	71.98	30.63	28.29	22.96
Cep57	5.07	10.66	0.81	0.0	74.55	69.41	0.39	7.25	0.0	1.19	71.03	0.14	26.82	4.32	0.53	1.38	0.98	1.04	1.79	0.93	37.66	5.78	48.46	0.0	4.29	8.91	1.66	21.81	20.22	0.0	0.0	4.37	1.86	0.0	0.0	2.29	7.12	1.83	17.45	23.97	15.18	19.0	14.94	14.78	15.28
