	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_38	Rbp4_tdTnegative_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610100L16Rik	0.0	0.0	379.31	0.0	10.42	12.31	12.5
4931428L18Rik	0.98	0.0	9.96	0.21	2.89	3.09	2.32
4933407H18Rik	0.0	0.0	569.36	0.07	5.45	4.49	6.36
9230009I02Rik	0.0	0.0	2.91	0.0	0.75	0.16	0.45
Asxl3	0.0	0.0	154.76	0.0	3.54	3.53	4.61
Bfar	0.0	0.0	796.09	0.0	29.2	25.96	28.87
Ccdc58	0.0	0.0	647.55	0.0	13.02	10.85	10.76
Chrm1	3.37	0.0	133.61	3.26	75.01	77.79	71.99
Commd9	0.0	0.0	909.81	0.0	33.1	38.92	38.32
Dab2	0.0	5.91	825.2	0.0	6.62	5.81	6.74
Dcaf12l1	0.0	0.0	753.99	0.0	43.02	46.73	40.16
Dmwd	0.0	0.0	547.16	0.0	100.0	111.98	108.17
Erlin1	0.0	0.0	808.22	0.0	23.43	21.0	19.76
Fam48a	0.0	0.0	749.07	0.0	27.37	25.45	27.44
Gripap1	0.0	0.0	776.19	46.4	84.58	88.63	88.46
Hsf1	0.0	0.0	510.1	0.0	42.55	41.66	42.8
Ift46	5.0	2.24	365.72	0.76	22.54	24.07	22.31
Jmjd6	0.0	0.0	849.97	0.0	25.18	26.98	25.75
Klraq1	0.0	0.0	514.57	0.0	63.06	66.0	59.09
Large	0.0	32.56	675.29	0.0	105.4	101.96	102.01
Leng8	0.0	0.0	60.11	0.0	164.73	168.18	197.46
Med23	0.0	0.0	802.82	0.0	25.82	24.94	25.98
Mro	0.0	0.0	528.41	0.0	14.71	13.14	12.3
Nasp	0.0	0.0	1206.29	0.0	21.01	19.3	17.47
Nfic	0.0	2.45	153.65	14.98	48.31	45.12	48.02
Nt5c3l	0.0	0.0	913.28	0.0	45.26	52.14	47.71
Nxt2	0.0	0.0	960.65	0.19	31.8	29.44	30.7
Os9	0.0	0.0	566.54	0.0	80.2	89.94	81.87
Ppp2r5c	130.48	0.0	551.45	0.0	167.49	163.49	158.91
Prkrip1	0.0	0.0	377.47	0.0	21.72	22.68	21.0
Psmd13	0.0	0.0	944.96	0.0	100.52	102.87	98.96
Rcn3	0.0	0.0	1643.78	0.0	4.88	6.22	5.89
Reep5	0.0	0.0	864.92	0.0	346.59	359.18	339.17
Rhebl1	0.0	0.0	973.41	0.0	8.11	8.81	8.03
Scly	0.0	0.0	419.79	0.0	14.89	14.37	13.1
Sdc2	0.0	0.0	1410.02	0.0	34.61	33.45	33.98
Sepx1	0.0	0.0	229.25	0.0	26.14	27.44	30.65
Slc35e3	0.0	0.0	821.55	0.0	26.84	28.01	27.12
Sprr2a1	0.05	0.0	0.09	0.0	0.08	0.25	0.13
Sprr2a2	0.05	0.0	0.09	0.0	0.08	0.25	0.13
Stat1	0.36	0.0	433.01	0.53	12.88	12.88	13.42
Steap2	0.16	0.0	157.38	0.06	3.33	3.04	3.88
Tdp1	0.0	0.0	975.63	0.0	15.92	16.27	16.08
Tm9sf4	0.0	0.0	929.16	0.0	64.29	63.69	66.42
Tmem38b	0.0	0.0	457.47	0.0	9.24	10.06	7.83
Trim13	0.0	0.0	990.09	0.0	13.59	13.01	11.42
Trim35	0.0	0.0	691.01	0.0	118.1	120.37	119.12
Vps33b	1.94	2.12	1073.65	5.42	17.75	16.12	18.46
Zdhhc16	0.0	0.0	602.83	0.0	29.45	29.99	29.15
Zfyve20	0.91	0.0	432.85	0.86	30.16	30.19	28.7
mt_AK131586	4908.34	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	7.51	0.0	18796.57	17507.83	18655.33
