	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_18	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_159	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_24	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700030F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.26
2010003O02Rik	0.0	0.0	0.0	37.93	59.17	0.0	0.0	0.0	57.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	64.03	10.85	0.0	0.0	0.0	0.0	20.35	22.67	0.0	0.0	123.61	101.68	0.0	0.0	0.0	190.39	7.44	5.41	8.02
2610018G03Rik	44.01	0.0	0.0	2.78	11.68	0.0	0.0	32.18	70.42	14.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.41	0.0	0.0	4.82	0.0	0.5	1.21	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	9.01	7.18	6.85
2810021J22Rik	0.0	0.0	0.0	2.19	63.83	0.15	4.41	0.0	41.68	0.06	0.35	0.02	0.0	0.25	0.0	4.32	3.84	0.09	42.23	4.63	0.19	0.0	0.0	2.19	6.26	0.07	0.32	0.06	0.19	0.1	0.18	0.12	0.05	5.81	5.58	5.72
4632428N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.57	14.05	13.88
4930500J02Rik	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	59.69	0.0	0.0	0.41	0.0	0.0	1.38	0.0	0.77	0.0	0.69	0.0	0.0	0.32	0.0	0.22	1.22	0.56	1.22	0.33	0.28	0.0	0.0	0.0	0.0	2.3	1.97	3.37
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
5330437I02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	1.57	1.44
6820408C15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.75	57.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.65	0.0	18.65	0.0	0.0	0.0	0.0	0.24	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	2.79	2.87
A430084P05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.1
