	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5
2010106G01Rik	0.64	0.0	0.38	0.07	0.33	0.59	0.15	1.97	10.02	17.25	3.59	1.27	25.39	0.59	0.0	8.02	36.71	10.17	0.05	7.53	25.33	0.01	2.19	13.72	16.37	2.63	12.53	29.3	4.43	1.65	12.89	0.23	9.42	9.23	0.48
Ap2s1	0.0	17.44	9.89	0.0	0.0	0.0	124.22	0.0	105.75	120.15	95.39	0.75	135.42	57.15	121.3	24.02	52.73	81.2	0.0	59.58	102.5	0.0	49.66	0.0	1.43	38.04	97.22	1.97	165.3	73.02	45.22	58.3	44.99	124.18	0.98
Armcx1	0.0	55.21	0.0	0.0	0.22	0.0	103.51	0.0	273.64	95.99	121.3	171.69	250.12	142.59	298.8	192.51	72.74	466.47	152.59	206.57	256.49	0.54	287.18	16.56	166.67	257.41	292.08	307.15	250.42	471.82	141.79	264.98	328.73	197.33	0.51
Atxn7l3	0.0	0.0	0.0	0.0	0.0	0.0	6.56	0.0	3.68	0.24	0.52	4.66	0.0	0.69	11.98	0.18	3.72	1.24	0.0	0.0	1.22	0.0	0.89	13.84	16.69	0.49	4.41	46.87	0.0	0.2	0.84	11.18	16.69	14.86	0.0
Bcl11a	0.0	0.17	0.0	0.0	0.34	0.0	43.3	0.0	45.44	12.04	5.02	49.88	9.75	53.96	50.16	0.0	0.0	9.87	0.0	17.42	0.0	0.21	0.0	19.67	0.79	12.13	98.6	0.0	40.81	18.28	0.06	136.72	91.11	0.0	0.51
Btbd3	1.92	13.95	0.0	0.0	0.0	0.0	54.59	0.0	126.06	61.01	152.8	73.62	125.85	88.86	256.08	128.89	40.81	195.65	95.02	119.14	137.66	28.17	103.84	129.56	46.94	46.88	176.02	119.31	255.02	134.0	138.21	139.29	323.04	236.92	0.24
Disp2	0.0	141.3	0.0	0.0	0.0	0.0	88.84	0.13	51.57	70.73	32.71	68.37	48.8	45.83	37.77	82.8	33.65	50.02	24.89	71.0	26.78	21.46	42.66	28.55	36.02	98.26	51.36	96.95	58.44	94.48	100.12	70.48	96.63	80.29	0.93
Epm2aip1	0.18	0.19	0.0	0.21	0.38	0.0	16.15	0.45	30.11	17.42	0.27	12.02	15.58	47.82	15.72	41.15	1.09	31.79	37.55	34.66	22.67	8.22	17.15	21.94	20.47	18.82	41.05	51.64	91.32	95.52	40.92	68.04	65.31	5.98	1.09
Gabra4	0.0	51.35	0.0	0.0	0.0	0.11	114.52	0.21	166.22	131.51	124.4	79.43	199.93	156.76	361.8	72.86	0.54	83.13	5.33	75.24	204.16	0.0	80.56	225.66	11.17	137.4	236.7	157.34	82.34	210.86	66.06	279.09	170.27	62.92	0.36
Gcc2	0.0	58.64	0.0	0.0	0.0	0.0	53.25	16.9	76.79	91.43	64.46	22.0	27.6	43.89	49.85	32.21	68.79	62.38	47.28	32.86	25.92	32.43	27.39	68.77	14.32	20.9	112.06	28.44	80.43	100.79	31.24	61.88	74.67	28.66	0.34
