	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_6	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610019F03Rik	0.34	0.0	2.16	17.41	18.31	17.27
4921530D09Rik	0.0	0.0	0.0	0.75	0.81	1.19
4930453N24Rik	0.0	0.0	0.46	26.55	22.46	21.42
4930483K19Rik	0.0	0.0	0.0	1.83	1.28	1.56
4933425O20Rik	0.37	0.0	0.0	2.22	1.91	2.74
6430571L13Rik	0.0	0.0	0.0	4.14	4.74	4.95
9130017N09Rik	0.0	0.0	0.0	0.33	0.19	0.21
9930012K11Rik	0.0	0.0	0.0	1.85	1.18	1.6
A230056P14Rik	0.0	0.0	10.54	23.66	21.59	19.52
A730090N16Rik	0.0	0.0	0.0	0.43	0.0	0.3
A930003O13Rik	0.0	0.23	0.04	1.03	1.12	1.1
A930019D19Rik	0.0	0.0	0.0	0.32	0.0	0.44
Acvr2a	0.0	0.0	0.09	31.37	28.09	30.19
Adck5	0.0	0.0	0.0	11.41	14.94	14.6
Apobec4	0.0	0.0	0.0	0.0	0.0	0.07
Arhgap19	0.0	0.1	0.17	3.34	2.64	3.01
Ascc3	0.0	0.0	0.67	8.02	6.7	8.25
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Aven	0.0	0.0	0.0	9.74	10.05	9.97
BC018242	0.16	0.0	78.87	148.85	160.32	156.13
Bmper	0.0	0.0	0.0	7.15	7.15	7.41
Brdt	0.0	0.0	0.0	8.87	8.03	9.07
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calcoco2	0.0	0.0	0.0	0.26	0.24	0.8
Capn10	0.0	0.0	0.05	22.22	22.83	24.07
Cbx4	0.0	0.0	0.0	25.49	29.41	26.74
Ccdc127	0.25	1.42	56.27	47.29	46.73	45.61
Ccl27b	0.0	0.0	2.83	30.63	28.29	22.96
Cdk2	0.0	0.0	0.0	2.77	2.57	2.24
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chmp2b	0.0	0.0	6.41	68.57	73.19	69.24
Chtf18	0.0	0.0	0.36	0.99	1.3	1.12
Disc1	0.0	0.0	0.0	1.06	0.93	1.02
Fgf22	0.0	0.0	0.0	1.94	3.04	2.89
Fndc1	0.0	0.0	0.0	2.71	2.53	3.06
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Galr2	0.0	0.0	0.0	0.46	0.53	0.74
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm13306	0.0	0.0	2.83	30.63	28.29	22.96
Gm16119	0.0	0.0	0.0	4.65	3.21	3.69
Gm2506	0.0	0.0	2.83	30.63	28.29	22.96
Gramd2	0.0	0.0	1.48	8.7	8.68	7.4
Grem2	0.0	0.0	0.42	19.88	19.29	19.38
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hipk3	0.0	0.0	0.0	44.09	41.78	41.53
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Impa2	0.0	0.0	0.0	6.57	5.91	6.78
Ing4	0.0	0.0	0.04	47.79	49.06	44.91
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Iqch	0.0	0.0	0.0	0.2	0.14	0.18
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lor	0.0	0.0	1.54	8.94	15.74	9.17
Lrp1	0.0	31.79	34.2	105.31	103.13	117.97
Mir3473c	0.0	0.0	0.0	0.0	0.0	0.0
Mpp4	0.0	0.0	0.0	0.91	0.63	1.0
Mrps34	0.0	0.0	42.47	61.96	78.81	68.15
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Neto1	0.0	0.0	4.06	60.57	55.61	64.06
Nkain2	0.0	0.0	5.4	43.75	43.56	41.28
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Notum	0.0	0.0	0.0	3.14	3.19	3.4
