	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_57	Nkx2.1_tdTpositive_cell_10	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008J03Rik	0.0	19.68	0.0	75.72	30.8	18.84	98.05	70.74	49.69	188.63	88.95	23.8	60.12	54.01	15.73	103.16	23.25	20.23	28.3	71.31	80.38	20.61	22.3	19.98
1700007J10Rik	3.08	1.64	2.23	2.15	4.81	0.37	2.95	8.57	4.15	15.75	3.64	4.21	1.57	3.21	4.59	3.31	4.83	6.75	1.9	0.36	6.94	2.85	1.75	2.38
1700096J18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.24
2310030G06Rik	0.0	80.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.13	3.91	3.21	2.93
3110021N24Rik	110.94	11.67	0.0	0.16	0.0	0.0	0.0	4.73	0.0	25.1	1.76	7.68	0.58	0.0	7.18	1.71	5.24	7.22	21.19	26.22	10.74	10.84	9.7	11.31
3110070M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	2.05	2.59	2.08
4833412C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	1.67	1.14	1.69
4930539E08Rik	7.71	6.66	4.46	4.43	5.82	6.25	14.22	10.64	4.77	18.21	8.45	7.37	10.19	10.08	4.01	6.92	6.37	7.56	7.16	5.93	7.31	9.63	8.55	9.86
4933402D24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	1.81	1.93
4933421O10Rik	4.06	13.57	10.87	10.41	10.2	1.72	6.4	14.65	4.1	59.29	6.65	14.81	9.71	67.93	8.24	4.04	10.16	35.38	4.89	5.68	7.99	13.43	11.32	13.93
6230400D17Rik	0.0	0.0	0.0	0.28	0.0	0.46	0.0	0.0	0.0	39.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56	5.33	3.35
9030204H09Rik	0.0	1.01	0.5	0.95	0.0	0.0	0.0	23.0	0.0	44.4	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.16	0.32	0.32
A730008H23Rik	0.0	0.0	0.94	0.45	2.51	0.0	0.0	0.0	0.0	75.15	24.58	0.0	1.66	3.86	0.0	1.77	0.19	22.38	0.74	0.0	0.1	17.13	15.04	16.4
Acrbp	54.01	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	54.98	0.0	0.0	8.54	0.0	0.0	0.0	0.0	0.0	0.0	0.37	1.13	10.37	9.2	9.99
Adam8	0.0	0.0	0.0	3.07	0.0	0.0	0.0	0.0	0.0	29.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.32	0.16	0.0	0.0	2.05	2.6	3.49
Bop1	0.0	0.0	0.0	0.46	2.84	5.44	0.0	0.0	0.0	56.13	0.0	0.0	35.29	0.0	50.07	0.11	98.19	0.65	52.15	0.0	0.55	46.21	48.64	48.57
Bri3	0.0	33.01	0.0	0.0	0.0	17.91	0.59	0.0	0.0	56.73	20.59	0.0	1.94	27.73	3.55	0.0	17.72	6.45	13.71	0.0	23.59	41.39	53.52	47.46
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Calml4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.81	0.29
Cdh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.45	1.1
Cdk14	0.0	8.82	0.08	29.27	6.79	3.21	0.0	15.85	2.83	71.5	20.23	4.44	17.32	0.15	5.62	21.74	21.18	2.07	1.07	11.21	19.66	106.05	101.35	101.53
Cebpb	0.0	0.0	0.0	0.0	0.47	0.0	0.0	3.13	2.06	4.06	0.0	1.24	0.0	0.76	0.0	0.0	0.0	0.0	0.33	0.0	0.92	4.05	6.69	6.58
Celsr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	1.93	2.32	2.21
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ces1g	0.0	0.0	0.0	0.09	0.31	0.0	0.0	0.35	0.0	0.66	0.36	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.21	0.0	0.17	0.04	0.0	0.05
Cib2	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.32	1.14	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	37.18	43.03	40.25
Cmas	0.0	144.74	0.0	0.17	7.66	0.0	0.0	55.8	30.5	125.0	0.0	0.0	56.43	0.0	6.99	0.16	1.41	132.09	12.44	57.94	2.35	96.15	105.75	97.8
Cnot6l	0.0	0.0	0.0	7.37	0.0	0.0	1.14	0.0	2.92	82.91	0.0	0.0	0.0	0.0	15.41	5.59	0.0	0.0	0.0	4.55	0.0	22.26	18.54	21.05
Coq6	101.17	45.81	0.0	101.3	50.64	59.88	0.0	1.95	0.0	344.49	3.01	0.0	38.22	0.0	0.45	9.16	65.24	68.02	43.27	2.29	52.74	20.43	22.82	21.17
Cpeb2	0.0	0.0	0.35	4.22	4.51	0.0	6.22	3.15	2.32	35.26	0.23	14.07	4.42	0.87	1.15	3.53	0.0	0.71	1.76	3.76	14.07	42.5	41.51	39.76
Csk	0.0	0.0	0.0	0.0	0.0	0.33	7.17	0.0	7.26	101.88	0.0	7.49	0.0	0.0	2.21	24.76	0.54	1.43	0.0	0.0	11.33	24.96	27.6	23.74
Ctu1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.5	0.0	0.0	0.0	0.0	0.0	14.84	0.0	0.0	47.43	0.0	0.0	6.55	8.4	7.34
D19Wsu162e	0.0	2.25	1.77	12.4	6.83	0.0	0.15	8.31	22.08	79.31	28.15	1.53	1.75	0.51	0.0	13.31	1.09	0.0	38.88	6.7	30.0	23.74	24.64	23.55
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dbndd2	0.0	30.69	1.91	14.23	0.0	0.0	1.6	1.93	39.25	63.58	0.22	0.0	0.44	0.1	12.53	0.7	2.73	100.22	68.07	18.47	70.5	78.89	82.71	86.4
Dcst1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.21	8.46	0.0	0.0	0.0	0.0	4.04	0.0	0.0	0.0	0.0	0.0	0.0	1.67	1.66	2.31
Degs2	0.36	0.0	0.0	0.0	0.0	0.34	0.0	0.57	0.0	61.8	0.4	0.0	0.0	0.0	0.38	0.0	0.86	0.84	6.2	0.0	0.09	6.9	7.8	6.8
Dock8	0.06	0.13	0.08	0.18	0.44	0.0	0.0	0.1	0.08	0.37	0.0	0.23	0.13	0.0	0.18	0.18	0.0	0.14	0.03	0.0	0.0	2.6	1.85	2.05
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Eaf1	0.91	14.57	0.28	1.02	0.0	0.0	0.14	4.12	4.13	63.82	0.65	0.53	0.17	0.09	0.83	0.03	0.03	0.15	0.33	0.32	0.1	14.04	14.76	13.68
Ecel1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.95	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	11.49	15.92	16.13
Eef1a2	7.48	46.19	19.72	33.29	24.15	0.49	27.26	50.43	30.32	77.5	46.68	32.29	46.67	12.11	15.84	7.11	62.54	60.23	46.93	31.14	26.42	919.63	958.3	943.69
Epn2	31.68	0.0	0.0	1.63	0.0	0.0	0.0	0.0	0.0	71.18	2.79	0.0	0.0	0.0	0.51	0.33	0.0	0.38	0.11	1.71	0.0	84.72	82.38	86.14
Etnk1	0.08	70.97	3.23	103.57	21.3	0.84	22.97	55.36	36.11	124.83	44.63	78.37	69.71	39.95	43.25	78.69	73.88	93.91	135.68	84.31	85.94	204.06	192.99	197.61
Fam46a	0.0	23.14	104.41	9.55	12.09	25.86	25.77	64.55	0.0	297.76	55.74	0.0	3.41	0.0	0.0	8.17	33.15	0.0	34.39	0.0	0.0	2.91	3.18	2.5
Fndc3b	4.86	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	8.82	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.03	9.99	8.7	10.09
