	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
2210408I21Rik	0.0	0.0	0.0	0.0	0.0	0.0	4.73	33.76	3.95	67.66	36.09	0.0	0.0	0.17	14.19	8.07	50.9	0.0	19.94	56.08	16.33	22.88	47.95	12.44	39.24	21.65	0.0	0.0
2310022A10Rik	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	78.44	10.49	9.63	0.17	0.0	26.03	0.23	13.36	0.0	30.34	80.23	24.94	0.0	16.88	38.68	6.09	25.02	0.96	0.0
Adss	0.0	0.0	0.19	0.0	0.0	72.32	0.0	22.31	76.25	5.32	34.39	32.35	5.18	31.93	43.49	36.56	12.48	83.66	3.34	110.67	64.56	133.07	136.22	13.16	106.66	155.91	33.88	8.83
Anp32e	46.86	11.19	0.0	0.0	22.53	0.0	0.0	11.82	44.24	42.95	36.99	94.02	1.06	47.42	25.26	5.65	52.14	63.94	84.03	155.92	31.95	75.62	0.31	0.13	29.42	2.07	2.76	0.0
Apba2	0.0	0.84	0.0	0.0	0.0	1.7	12.63	2.3	9.72	27.19	36.05	0.45	10.5	36.05	33.59	17.12	27.36	12.2	57.1	200.8	18.71	38.71	51.73	10.86	41.58	62.03	17.16	0.0
Arap2	0.0	0.0	0.0	0.0	0.12	28.78	0.33	40.74	1.48	18.69	0.0	23.73	2.76	11.39	2.03	38.73	14.4	3.81	14.66	124.76	34.05	1.6	66.81	31.98	4.18	32.28	6.47	0.09
Bcl2l11	0.0	0.0	0.25	0.0	0.0	0.0	0.0	15.47	0.0	0.0	9.41	0.0	0.13	15.68	0.0	0.99	0.0	0.09	13.94	22.84	8.53	18.96	0.0	4.94	0.08	0.0	0.0	0.0
Cacna2d2	0.0	0.02	0.0	0.0	0.32	0.06	0.09	0.34	16.43	10.03	0.7	7.42	8.0	2.19	8.82	4.37	0.77	0.41	10.15	11.46	4.53	14.25	8.07	2.93	6.81	5.5	2.37	0.0
Cenpw	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.84	0.0	0.0	0.0	2.18	0.0	10.39	70.21	0.0	12.3	0.0	0.0	0.0	44.86	0.0	0.0
Chic1	0.47	4.11	0.1	0.14	0.68	1.39	7.61	11.59	50.52	9.96	47.77	40.16	74.64	17.8	31.58	23.81	10.52	9.63	56.99	66.09	22.0	17.34	43.55	48.03	34.47	43.24	44.65	1.75
Cmklr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.27	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
