	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_1	Rorb_tdTpositive_cell_10	Rorb_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_18
1700047I17Rik2	4.16	1.24	1.08	19.61	60.7	1.33	15.23
4921536K21Rik	0.0	0.0	0.07	0.22	0.27	0.0	0.0
9330159M07Rik	1.07	1.04	2.0	4.25	4.71	1.51	2.32
A730043L09	0.0	0.0	0.64	1.23	1.81	0.56	0.57
Abca6	0.7	0.65	0.91	2.03	2.5	1.41	0.0
Ankrd17	7.76	0.0	0.68	92.81	111.82	19.25	32.92
Avpr1b	0.0	0.0	0.03	0.13	0.34	0.07	0.0
B4galt6	29.05	1.07	88.14	52.37	52.79	28.64	16.48
BC018242	0.0	24.37	0.0	24.4	27.69	0.0	0.26
Brf2	0.0	0.0	0.0	45.19	78.81	0.0	67.42
Cenpv	0.0	0.0	0.0	50.62	24.08	0.0	0.0
Cml2	0.0	0.0	0.0	0.72	0.66	0.0	0.0
Cpn2	0.27	0.08	0.0	0.65	0.44	0.0	0.14
D17H6S53E	37.27	22.48	67.41	123.93	104.15	50.3	58.36
Ddr2	0.32	0.09	0.11	0.41	0.41	0.04	0.32
Dmd	0.84	0.13	22.33	50.48	28.25	2.41	6.36
Fam160a1	0.0	0.0	1.11	56.69	85.04	0.0	0.0
Fam177a	4.16	1.24	1.08	19.61	60.7	1.33	15.23
Glrp1	0.0	0.0	0.0	0.51	0.36	0.0	0.0
Hyou1	0.0	3.08	1.51	6.78	6.8	2.82	0.89
Klhdc9	0.0	2.47	51.26	174.43	99.21	22.97	81.83
Kpnb1	0.0	56.92	19.32	100.22	140.43	5.32	0.0
Lefty2	3.24	0.19	0.35	5.57	9.62	0.0	0.0
Lrrc24	0.0	0.0	0.0	64.89	41.22	0.0	0.0
Lrriq4	0.0	0.0	0.0	0.48	0.3	0.0	0.0
Midn	12.98	0.0	5.5	28.86	29.55	0.27	3.75
Mrps15	0.42	0.0	0.21	158.65	84.03	0.0	0.0
Naa16	0.03	0.0	0.18	56.75	70.72	0.09	0.0
Obox3	0.27	0.0	0.23	1.84	0.9	0.0	0.42
Ptgfrn	0.0	0.0	20.11	64.08	63.81	0.45	0.0
Rexo2	98.33	0.0	0.0	126.3	99.24	0.0	0.0
Rgs4	5481.44	5464.61	5873.8	1473.87	3751.61	6274.8	6781.39
Rps19bp1	0.0	0.0	0.0	25.59	9.84	2.94	2.53
Scube1	0.52	14.57	0.73	67.45	53.71	15.46	21.61
Setd8	0.0	9.65	0.96	93.74	71.48	0.24	0.0
Slc4a8	0.0	0.0	1.16	5.5	23.01	0.08	0.44
Tmed8	0.0	0.0	0.03	13.07	8.75	0.05	0.0
Tmem198b	0.19	0.49	0.34	0.8	0.92	0.0	0.0
Tmem33	5.99	8.48	25.24	110.76	44.01	26.3	36.99
Vmn1r65	0.77	5.74	5.62	19.69	24.57	0.6	0.73
Zfp663	0.34	0.34	0.03	0.36	0.64	0.0	0.2
c15_tRNA-Gly-GGG	0.0	0.0	0.0	54.28	61.59	15.11	29.21
