	Chrna2_tdTpositive_cell_68	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_23	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_31	Cux2_tdTpositive_cell_43	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_60	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_77	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_84	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_113	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTnegative_cell_8	Nos1_tdTpositive_cell_65	Nos1_tdTpositive_cell_72	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_15	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_46	Rbp4_tdTpositive_cell_83	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_181	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_29	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_22	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_30	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_82	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTpositive_cell_109	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_26	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810408M09Rik	0.57	0.5	0.29	1.64	0.18	0.6	0.36	0.23	0.0	0.63	0.0	1.26	0.0	2.86	0.0	0.93	1.04	0.37	0.19	0.11	0.43	0.63	0.35	0.0	0.76	191.16	0.75	22.34	23.41	0.74	1.16	3.26	0.3	2.49	1.01	0.0	0.18	0.81	0.42	3.46	0.94	1.34	1.53	0.84	0.19	0.17	0.53	0.88	0.52	0.0	2.95	2.55	0.0	8.78	2.69	1.99	0.95	0.26	0.34	0.96	0.0	17.92	1.16	1.39	48.72	20.07	24.51	22.35
Arpp21	540.95	2469.54	2208.5	1981.08	2279.86	1588.84	1735.14	2225.31	2647.59	4758.63	1905.87	1791.4	1856.63	2045.87	1872.42	1227.78	1954.67	2048.38	2831.29	1706.32	1888.36	1975.29	1884.23	1656.48	1541.61	946.93	1913.01	1538.53	1534.99	780.74	940.07	2216.49	1238.58	1042.03	1934.81	1727.67	1634.97	758.22	1244.12	2152.16	1805.85	1798.89	780.6	834.83	964.84	1139.91	968.52	691.64	1146.83	1784.77	1489.47	1719.66	1798.02	1543.55	1369.32	2339.29	1022.75	2768.66	3069.82	2273.95	2729.27	1525.19	2048.85	1365.49	2116.6	403.79	386.08	377.39
Astn2	0.0	0.15	2.88	0.32	5.15	0.0	0.85	3.64	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.12	0.08	0.15	0.05	0.12	0.0	0.11	0.07	0.09	0.0	8.9	0.25	63.47	23.08	0.0	0.0	0.53	0.74	4.63	0.78	0.0	0.18	13.32	1.71	1.2	2.26	0.07	0.0	0.14	0.13	0.0	0.21	0.08	0.1	0.57	0.6	3.38	0.26	5.18	0.23	0.0	0.0	0.0	0.0	0.0	0.32	0.15	0.16	0.0	0.0	24.18	24.75	22.11
Bai1	3.87	0.0	10.83	0.82	2.79	1.43	0.41	1.0	0.82	3.82	2.83	0.0	0.36	2.54	0.51	1.19	0.84	2.1	3.05	0.5	0.67	0.26	0.2	0.06	0.65	1.31	0.46	49.13	17.71	3.36	2.21	0.19	2.87	6.1	1.6	0.67	0.17	8.2	2.78	15.8	0.42	1.01	0.06	5.35	0.95	0.0	5.12	3.88	1.08	4.82	19.83	22.46	9.11	11.74	0.0	0.27	0.26	0.0	2.6	0.19	0.67	0.0	0.0	1.32	2.14	192.34	203.59	216.02
Camk2n2	0.0	0.17	1.72	20.44	76.27	0.0	4.8	1.34	6.7	47.64	0.0	34.6	56.6	3.02	0.0	0.0	0.09	5.93	0.52	8.58	8.99	0.0	0.0	41.49	30.15	108.27	11.46	179.02	109.88	0.0	0.0	0.0	72.45	104.41	0.0	0.56	2.36	81.52	21.14	365.15	7.25	0.0	0.91	63.82	0.0	0.0	29.38	19.16	0.39	33.72	107.53	307.54	77.38	3.99	326.25	0.67	0.0	0.0	2.02	0.0	27.36	124.16	0.0	1.42	6.55	102.8	123.63	121.54
Cand2	0.22	0.88	1.2	0.41	0.54	1.25	0.0	0.79	0.71	0.82	0.43	0.15	0.33	0.34	1.22	0.66	1.1	0.49	0.54	1.01	0.18	0.29	1.1	0.55	0.45	0.88	0.81	1.36	0.86	0.5	1.17	1.5	0.69	2.16	1.35	0.68	0.57	1.64	1.19	0.97	1.04	0.91	0.37	1.61	0.19	0.0	0.5	0.75	1.07	117.9	1.64	3.65	1.23	0.9	103.79	0.91	0.64	0.22	0.3	0.63	0.78	0.92	0.02	1.56	0.24	2.69	2.78	2.5
Cux2	0.0	0.0	1.77	0.0	0.26	0.11	1.29	8.35	0.0	0.67	0.0	0.0	23.06	0.0	0.0	0.33	3.33	0.0	15.18	0.0	0.01	0.0	0.0	0.0	0.0	33.62	3.34	105.54	0.16	0.0	0.0	0.0	0.49	5.69	7.21	1.51	0.67	6.94	0.52	3.96	0.0	0.12	23.11	44.53	0.0	0.0	23.44	92.18	1.03	1.61	87.12	79.71	0.41	68.04	0.0	0.0	0.0	0.0	0.0	18.01	0.14	0.0	0.0	2.18	12.36	36.41	37.48	43.23
Dhdh	0.54	0.39	1.01	0.44	0.42	120.02	1.29	0.96	0.46	0.43	1.36	0.0	0.28	0.0	0.52	0.48	1.39	1.43	0.96	0.28	0.09	0.41	0.66	0.62	0.54	0.28	1.76	2.25	2.15	0.41	1.06	3.03	1.06	1.93	2.23	0.96	0.52	1.47	0.97	4.01	2.66	0.92	0.18	1.25	0.97	0.09	2.0	1.52	2.3	0.72	8.48	2.25	3.01	1.52	1.92	0.75	0.91	0.2	0.72	0.98	0.0	0.06	0.56	0.94	0.43	8.62	9.3	9.67
Elovl7	0.26	0.73	1.16	1.0	0.88	0.82	0.66	0.44	1.9	21.98	0.34	0.51	0.19	0.0	5.78	0.69	0.93	0.42	0.53	0.56	0.27	0.78	0.46	1.22	0.51	1.57	0.4	1.19	0.96	0.6	1.37	1.82	1.14	1.28	0.28	0.98	0.37	1.18	0.71	1.64	1.03	0.33	0.23	1.13	0.42	0.06	0.86	0.98	0.6	0.73	1.62	2.76	1.03	1.21	0.97	0.94	0.0	0.0	0.36	0.33	52.95	0.54	1.12	0.95	0.31	9.12	9.28	9.34
Ephb2	0.42	0.75	0.6	0.66	1.3	1.54	0.4	0.69	0.46	2.2	0.64	1.05	1.11	0.56	1.19	1.02	1.78	1.07	0.92	0.84	5.58	1.08	0.43	0.43	0.46	1.23	0.93	7.26	3.26	0.23	1.02	2.35	1.45	4.18	0.66	0.84	0.51	11.97	2.3	3.11	3.73	1.42	0.25	0.39	0.57	0.47	1.52	1.45	1.02	1.05	3.84	8.74	23.29	10.82	1.65	0.69	1.05	0.1	0.35	1.09	1.17	15.06	0.39	0.77	0.77	10.98	10.79	12.45
