	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_73	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110059G10Rik	0.0	52.48	14.29	0.0	5.23	14.45	2.17	0.0	0.0	7.05	0.0	0.0	0.13	0.0	9.87	22.98	0.0	106.47	0.0	23.39	40.58	15.42	0.0	29.01	0.0	48.38	0.0	11.58	23.51	0.0	7.03	0.0	0.0	11.99	11.4	13.26	12.11	6.97	7.2	6.83
2400009B08Rik	0.0	71.4	1.28	0.0	0.0	0.0	51.2	56.47	0.0	0.0	0.0	0.0	0.0	0.0	110.33	0.0	0.0	172.98	0.0	23.0	119.85	0.0	0.0	63.07	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.0	64.11	55.43	56.82	86.06	5.53	7.81	7.61
2810021J22Rik	0.0	1.33	45.77	0.15	3.59	0.09	19.24	0.0	0.11	0.0	0.27	0.07	0.43	0.03	0.07	0.18	0.0	6.25	0.0	2.68	0.0	5.83	0.0	2.01	0.0	0.0	0.0	0.11	0.39	0.06	0.03	0.0	0.0	4.34	2.11	6.26	3.11	5.81	5.58	5.72
Aldh8a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.24	0.0	4.01	1.87	0.31	0.0	0.13	0.29	0.09
Ano6	0.0	40.32	14.72	0.0	7.59	130.22	13.17	0.0	0.0	4.51	33.17	0.0	0.0	0.05	0.0	1.32	0.0	95.27	34.72	10.06	0.19	39.5	0.0	10.84	0.0	0.11	0.0	0.09	0.0	0.81	0.0	0.0	0.0	7.02	17.5	8.38	7.84	14.32	13.97	14.67
Atp9b	0.0	0.0	0.0	0.79	0.07	0.0	15.89	0.93	0.0	0.0	29.57	0.51	0.0	0.0	0.0	0.0	0.0	84.14	0.0	0.0	0.0	0.0	0.0	18.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.17	7.5	6.46	6.32	36.48	36.02	38.24
Bcl10	0.0	0.0	0.0	0.0	0.0	0.0	92.44	31.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.1	0.0	1.22	41.49	29.0	0.0	9.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.53	14.42	10.69	18.77	14.74	16.44	13.35
Bcr	0.47	0.0	27.69	0.0	3.36	20.73	8.13	0.03	0.0	0.0	0.0	2.12	0.0	36.7	0.0	0.0	32.58	84.54	1.5	0.0	11.44	0.0	0.0	1.82	0.09	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35	2.39	6.5	3.67	72.62	70.21	69.03
C1qbp	63.57	0.0	2.98	102.66	22.68	165.86	2.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.1	0.0	140.93	0.0	16.63	34.25	32.3	0.0	26.4	15.04	0.0	0.0	0.23	0.0	5.52	0.0	0.0	0.0	4.43	13.79	10.04	8.02	85.04	87.25	84.09
C87436	0.0	0.0	1.05	0.0	0.45	60.49	31.9	27.55	0.0	119.36	0.27	0.14	0.0	0.0	87.19	20.6	3.02	186.44	0.11	0.12	75.53	0.26	0.0	15.06	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.31	8.2	24.36	22.12	15.01	15.88	16.1	16.38
Ccl27b	0.0	16.16	14.76	0.0	0.0	0.0	0.0	2.93	0.0	0.0	0.7	0.0	0.0	0.47	3.71	0.0	32.35	3.73	22.21	0.0	0.0	2.53	0.0	40.26	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	61.27	76.52	71.98	30.63	28.29	22.96
Clcn7	0.0	0.44	0.05	0.0	12.72	0.63	5.89	59.61	1.27	0.0	34.28	0.0	78.4	0.0	0.0	0.0	0.0	182.3	0.0	7.83	46.47	43.76	0.0	5.82	0.0	8.34	0.0	1.61	0.0	24.45	0.0	0.0	0.0	8.31	6.71	7.74	8.4	36.73	37.43	39.43
Cnr1	3376.11	10009.06	14271.7	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	3047.63	2040.5	6746.03	17862.67	19681.78	7913.61	1118.7	17646.7	12520.63	22064.64	33041.05	0.0	227.37	4931.9	12766.46	4501.41	14288.55	25768.68	16287.97	23267.78	1642.99	1764.01	81.66	123.32	54.8	65.45	80.79	75.85	84.42
Cox19	0.0	66.46	184.68	265.31	84.53	165.19	89.32	223.92	0.73	0.0	167.31	0.0	0.0	292.73	0.0	140.93	0.0	383.04	2.61	175.16	301.34	194.01	0.0	141.81	309.6	0.0	0.0	0.0	0.0	134.66	0.55	0.0	0.0	139.7	80.26	106.79	109.24	53.1	56.24	52.73
Ddx42	0.0	22.11	138.33	2.47	0.56	28.21	28.11	24.38	0.0	1.47	0.17	0.0	13.11	0.0	0.57	38.83	0.2	74.29	2.75	11.9	15.57	10.88	0.0	37.25	0.0	0.0	0.0	0.0	0.0	0.0	15.4	126.08	0.0	28.35	49.77	20.96	33.35	64.64	63.71	61.1
Eny2	0.0	54.5	130.91	9.44	61.91	6.95	41.69	18.61	0.0	4.5	23.76	8.18	0.0	0.13	305.07	0.0	28.47	95.39	65.6	62.12	61.7	52.67	0.0	79.45	13.91	0.0	0.0	0.0	44.77	66.89	45.5	0.0	0.0	74.17	67.56	74.5	55.21	55.17	51.61	53.75
Fam198b	0.6	0.83	1.05	0.2	0.71	1.01	0.62	0.47	0.72	0.92	0.71	1.72	1.45	1.47	9.85	0.37	1.31	2.74	0.97	0.5	0.44	0.27	0.0	1.56	0.7	0.52	1.58	0.76	1.26	0.32	1.8	1.64	1.41	2.04	9.81	7.16	7.82	4.49	3.5	4.54
Gcc1	0.0	0.0	0.0	0.0	0.27	40.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.3	0.0	0.0	0.0	20.55	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	3.01	1.24	2.92	16.28	15.96	15.34
Gga1	0.0	0.0	0.37	0.0	1.49	2.98	13.34	1.05	0.0	2.12	0.0	0.0	0.0	0.0	0.75	0.0	0.0	17.65	6.11	0.0	0.0	1.12	0.0	1.36	0.0	0.0	0.0	0.43	2.08	0.0	0.0	0.0	0.0	2.24	1.47	1.02	0.91	52.2	55.13	54.96
Gm10560	0.0	0.0	0.0	0.0	16.46	73.7	0.0	0.0	1.95	0.0	4.17	0.0	1.06	0.0	0.0	0.0	0.0	77.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.89	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1.29	2.6	10.39	11.72	9.23
Gm13306	0.0	16.16	14.76	0.0	0.0	0.0	0.0	2.93	0.0	0.0	0.7	0.0	0.0	0.47	3.71	0.0	32.35	3.73	22.21	0.0	0.0	2.53	0.0	40.26	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	61.27	76.52	71.98	30.63	28.29	22.96
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.13	0.0	0.0	1.5	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.21	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	0.0	16.16	14.76	0.0	0.0	0.0	0.0	2.93	0.0	0.0	0.7	0.0	0.0	0.47	3.71	0.0	32.35	3.73	22.21	0.0	0.0	2.53	0.0	40.26	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	61.27	76.52	71.98	30.63	28.29	22.96
Gm4925	0.21	0.0	0.0	1.06	0.76	0.83	0.17	0.0	0.0	0.0	0.21	0.0	0.7	0.05	0.0	0.26	0.33	1.2	0.0	0.1	0.0	0.63	0.0	0.34	0.76	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	3.04	0.58	2.49	0.58	0.73	0.81	0.94
Hbs1l	0.0	96.75	90.59	140.34	121.76	419.18	173.38	88.89	0.0	80.62	250.42	0.0	0.15	0.34	193.94	0.79	0.0	639.93	164.72	98.53	111.93	49.05	0.0	34.28	285.16	33.91	11.7	129.22	295.43	117.45	84.0	0.0	4.65	118.46	177.23	114.21	134.12	46.71	47.96	44.88
Heatr2	0.0	0.0	0.0	0.0	0.12	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.12	0.0	0.13	0.0	0.0	0.0	0.0	0.0	4.73	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.3	0.4	5.74	5.74	5.71
Hpcal4	34.39	0.0	1.0	0.0	0.96	161.92	0.0	2.81	0.0	64.41	85.93	151.81	11.01	219.96	0.0	16.57	145.82	279.97	0.0	65.2	15.15	9.02	0.0	46.3	55.0	16.79	0.97	10.8	46.04	0.0	0.0	0.11	0.0	100.67	152.55	113.48	132.8	617.1	589.7	600.85
Ifi27l1	0.0	0.0	0.52	0.0	0.52	582.77	216.39	0.0	0.0	220.07	355.24	0.48	0.0	0.0	0.0	0.0	0.57	553.33	134.1	0.42	0.0	246.44	0.0	74.11	0.0	0.0	0.0	0.0	113.8	0.0	0.0	0.0	0.0	112.62	72.28	85.71	81.4	39.73	39.71	40.59
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.13	0.0	0.0	1.5	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.21	1.27	4.28	1.89	1.73	1.86	1.4
Lage3	0.0	149.43	27.39	0.0	79.92	223.77	0.34	0.0	43.57	96.81	86.34	65.93	0.0	56.67	186.45	131.31	0.0	384.18	101.19	34.58	21.8	45.98	0.0	58.03	41.66	0.0	0.0	146.31	186.92	0.0	0.0	0.0	0.0	48.96	71.63	75.41	92.45	26.52	27.77	26.58
Mettl7a1	0.0	5.08	0.34	0.0	0.2	0.37	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.17	0.0	0.0	0.43	3.76	0.0	8.76	0.0	0.17	0.0	10.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	5.28	6.46	6.87	32.45	28.58	29.07
Nefl	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.72	0.0	0.0	22.92	0.0	0.0	52.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.71	149.01	205.76	221.46	385.15	425.16	402.43
Nup214	0.09	1.9	0.04	2.49	6.54	7.33	4.4	12.45	0.56	0.06	0.65	0.0	0.0	0.23	0.0	0.32	0.14	61.66	0.06	16.46	8.56	7.23	0.0	4.47	0.66	1.12	0.0	0.0	0.74	7.91	0.61	0.0	0.18	2.05	7.49	4.09	4.63	13.66	13.0	15.06
Pctp	0.22	0.66	0.99	0.18	0.0	0.66	0.36	0.0	0.0	0.01	0.48	0.41	0.29	0.16	0.0	0.0	0.0	0.69	0.14	0.15	0.09	0.0	0.0	0.07	0.0	0.0	0.0	0.16	0.28	0.0	0.22	0.17	0.0	0.0	0.2	0.0	0.0	1.93	1.26	1.92
Pdzd4	0.0	0.0	0.37	4.6	0.0	0.54	0.0	0.0	0.0	0.99	0.0	0.0	0.11	0.0	0.0	7.38	8.16	46.56	12.82	0.0	1.24	1.94	0.0	3.31	0.0	0.0	0.0	18.99	12.29	0.0	0.0	0.0	0.0	4.39	4.18	5.08	3.39	76.76	78.8	74.09
Pla2r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.04	0.0	0.12	0.04	0.41	0.31	0.45
Plekha3	0.0	24.38	67.71	0.0	1.38	51.42	3.75	0.0	0.0	4.28	0.0	0.0	0.0	0.0	0.11	0.0	0.0	175.66	0.0	0.0	9.2	3.75	0.0	10.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.87	12.58	11.3	12.1	28.19	27.11	26.71
Plxdc2	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.79	0.0	0.0	10.78	0.0	0.0	0.0	0.0	0.0	5.07	0.0	0.0	0.0	0.08	0.0	0.0	0.0	3.98	0.0	0.11	0.56	0.0	1.3	21.14	17.63	22.23
Pou3f2	2.14	0.25	0.87	0.37	0.38	0.21	0.12	0.6	0.0	0.08	0.34	0.0	0.18	1.7	0.38	1.65	0.15	6.19	0.14	0.28	0.08	0.05	0.0	37.44	0.0	2.41	0.0	0.57	0.08	0.58	0.35	0.0	1.24	2.62	10.23	4.1	2.0	13.26	11.79	12.91
Ppa2	0.0	120.45	202.85	0.0	1.6	126.01	45.07	88.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	155.54	0.0	32.6	0.0	31.83	0.0	80.39	138.19	0.0	0.0	0.0	0.0	239.91	0.0	0.0	0.0	58.37	70.7	44.39	66.32	55.46	57.1	53.48
Ppme1	0.0	132.7	183.03	50.53	53.53	108.58	2.61	0.48	0.0	38.34	44.81	1.49	0.0	37.02	115.58	186.87	9.21	297.88	57.05	69.53	210.11	90.12	0.0	93.56	5.73	0.0	18.79	1.01	8.06	7.53	26.87	0.0	8.91	98.75	209.86	225.82	183.89	202.91	195.24	212.01
Ppp1r8	0.22	77.17	25.22	0.0	25.32	76.9	19.48	50.28	0.0	85.63	0.0	0.0	0.0	0.0	0.0	1.3	0.0	194.04	0.0	0.0	116.09	0.0	0.0	26.71	0.0	72.25	0.0	0.0	0.0	0.0	16.77	0.0	1.53	34.28	14.73	18.51	14.57	34.14	36.42	31.18
Ptgfrn	0.0	0.0	17.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	0.0	0.0	0.0	0.0	202.82	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.87	21.65	22.36
