	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_42
5430411K18Rik	0.26	0.44	0.09	44.72	0.16	0.15	0.1	10.22	0.91	0.19	0.66	0.9	2.35	1.76	2.56	0.13	0.24	3.68	0.28	0.26	5.79	0.05	0.19
5730419I09Rik	36.12	11.39	0.0	79.45	6.35	0.0	1.19	34.32	22.48	4.03	16.86	12.41	31.11	13.61	32.58	50.2	0.0	6.98	44.54	1.2	6.76	0.0	8.3
Ap1m1	257.91	152.69	0.0	304.15	0.0	0.0	0.14	85.08	3.98	51.48	93.82	145.02	155.47	134.5	126.11	161.81	0.0	99.79	150.57	1.87	0.0	0.0	119.4
BC064078	0.0	3.2	6.56	12.11	0.41	0.0	0.0	2.62	12.98	4.32	0.69	0.0	0.45	1.83	1.32	0.94	0.0	2.29	0.55	0.0	0.0	0.0	0.56
Calm2	20249.89	20740.74	17688.69	14201.56	24749.41	13802.61	19971.06	18187.15	17343.84	19736.86	17700.79	17363.25	16198.04	15411.91	18004.95	22860.58	23322.9	18313.66	25106.81	19256.69	21777.08	23557.63	18621.16
Cdc7	44.91	1.75	0.0	263.46	0.0	0.0	57.91	40.26	81.44	126.74	6.55	24.83	18.01	11.05	42.26	82.77	2.96	0.0	0.0	0.0	0.0	0.0	9.11
Cgn	0.0	0.0	0.0	61.49	0.0	0.0	3.69	0.15	0.0	0.03	0.0	0.0	13.95	0.3	5.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cpt1c	39.49	226.68	0.0	100.39	0.0	0.12	5.28	50.11	92.17	69.91	46.44	59.24	105.92	87.97	69.16	0.2	10.62	12.3	0.47	0.44	45.61	0.0	190.8
D14Abb1e	16.53	10.64	0.65	57.73	0.54	0.05	2.19	42.71	134.6	51.69	0.34	16.35	19.12	15.96	26.89	3.24	3.79	15.86	15.92	0.83	0.34	0.12	11.54
Epha7	0.0	95.15	0.0	212.85	0.05	0.05	50.18	34.24	189.0	1.51	67.18	83.14	36.8	58.23	85.23	104.26	44.8	107.29	45.7	0.09	0.0	148.69	251.09
Gipc1	0.51	130.1	0.0	68.84	2.22	0.39	0.34	15.19	21.39	7.57	62.01	34.26	12.85	13.69	7.89	1.6	0.61	8.9	3.79	0.53	0.15	0.49	2.96
Gm14430	0.03	17.21	0.15	49.31	0.16	0.0	0.0	6.69	1.12	1.36	0.23	1.76	6.89	1.83	4.14	2.35	0.0	0.21	0.0	0.0	0.0	0.86	2.3
Gm14434	0.03	17.21	0.15	49.31	0.16	0.0	0.0	6.69	1.12	1.36	0.23	1.76	6.89	1.83	4.14	2.35	0.0	0.21	0.0	0.0	0.0	0.86	2.3
Gm19510	0.41	0.64	0.0	1.67	0.0	0.26	0.0	0.2	0.67	0.88	0.07	0.34	0.16	0.31	0.44	0.0	0.0	0.16	0.0	0.0	0.0	0.11	0.38
Gm4724	0.03	17.21	0.15	49.31	0.16	0.0	0.0	6.69	1.12	1.36	0.23	1.76	6.89	1.83	4.14	2.35	0.0	0.21	0.0	0.0	0.0	0.86	2.3
Iqgap1	21.08	12.75	0.0	39.17	12.3	0.0	0.25	8.43	11.58	0.84	3.72	12.25	6.79	13.63	14.11	22.56	17.85	34.38	0.12	0.0	0.0	0.0	0.06
Jhdm1d	2.26	47.02	3.78	78.49	4.31	0.73	0.35	12.63	26.75	35.49	19.62	10.49	12.82	0.48	8.81	0.14	0.53	24.3	1.96	0.25	0.21	0.24	2.49
LOC330599	3.2	13.85	0.26	26.88	3.63	0.0	1.35	10.21	8.47	2.15	2.4	3.05	7.75	5.77	11.83	0.61	0.1	2.83	1.14	0.1	1.2	0.13	16.65
Lrrc61	0.8	0.79	0.04	2.54	0.46	0.12	0.28	1.21	1.74	1.55	0.55	0.59	8.05	5.37	3.46	0.32	0.21	0.44	0.5	0.12	0.12	0.21	1.58
Lrrcc1	11.51	9.22	0.0	113.29	0.0	0.0	30.95	30.71	0.35	16.79	21.19	1.19	26.27	5.2	17.07	9.02	0.0	0.0	0.0	0.0	33.55	0.0	18.53
Mepce	0.0	0.0	0.0	71.97	0.0	0.0	56.53	3.67	0.0	0.0	3.53	8.6	1.79	0.0	7.23	53.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Naa16	0.0	0.0	0.0	115.22	0.08	0.0	0.0	9.67	0.11	3.04	3.58	9.81	1.69	4.89	4.83	1.24	67.28	0.08	0.0	0.0	0.0	0.0	0.03
Pisd-ps1	67.72	155.07	7.2	333.76	43.39	133.84	18.41	146.24	215.76	149.92	40.47	71.61	93.99	110.22	86.46	47.96	54.6	3.01	64.26	56.0	55.88	17.84	151.52
Pisd-ps2	0.0	21.27	12.43	117.0	0.0	0.0	0.59	36.8	71.46	46.41	3.62	19.42	34.3	30.73	34.46	22.41	0.19	1.55	4.17	24.23	30.89	0.34	42.01
Rabgap1l	46.17	25.98	0.0	376.76	0.0	0.0	0.0	65.21	56.59	45.76	3.61	13.94	29.35	18.88	44.54	44.9	44.19	46.67	0.07	0.0	16.17	231.74	0.0
Rbm7	36.53	0.24	0.0	418.51	303.73	0.19	0.0	16.98	90.28	65.07	13.11	32.36	31.56	34.53	78.16	207.5	0.16	0.0	0.0	0.0	0.0	0.0	0.0
Rimbp2	37.25	50.65	0.35	102.51	0.0	0.07	0.25	2.85	0.29	3.07	10.34	2.03	3.35	1.02	1.74	1.52	0.07	0.07	36.86	0.0	0.0	0.0	0.0
Rims2	103.49	105.93	10.9	89.59	0.4	0.0	0.0	38.37	12.27	42.39	33.52	59.58	40.75	44.57	23.45	50.64	66.88	16.38	65.15	0.08	16.5	0.0	0.06
Rnf185	27.78	145.33	0.0	103.43	0.0	0.0	32.25	12.72	99.29	4.38	46.35	24.95	40.34	34.97	37.63	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slain1	0.0	0.0	0.0	22.12	0.0	11.48	0.0	13.65	0.21	0.11	0.1	6.06	8.21	11.77	6.51	5.84	0.0	0.43	0.0	0.0	0.0	0.0	36.97
Taf3	0.0	55.26	0.0	76.87	0.0	0.0	0.0	5.02	11.42	0.15	0.05	13.81	9.4	9.26	6.27	0.0	0.06	6.29	0.09	0.0	0.0	0.0	0.0
Tmem214	6.16	160.84	0.0	84.77	0.0	0.0	0.0	3.75	0.69	51.43	3.21	6.04	12.81	7.1	13.47	0.0	69.9	0.0	17.12	0.0	0.0	0.0	0.08
Tom1	0.0	0.0	0.0	171.96	0.0	0.15	0.0	16.49	2.19	15.58	0.06	5.43	43.88	37.52	21.5	0.0	0.0	0.0	0.0	0.0	12.34	0.0	0.0
Traf7	107.05	80.89	0.31	272.53	0.0	0.13	0.0	20.18	102.49	0.57	0.21	2.33	9.62	32.8	16.49	0.0	0.25	1.37	95.55	10.57	0.09	0.0	0.19
Ubp1	19.5	93.66	0.0	195.16	0.09	0.0	12.47	76.23	167.28	59.19	2.21	29.01	23.33	12.85	51.54	114.48	2.1	0.47	0.0	0.08	2.36	0.0	0.0
