	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_34	Ndnf_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700047I17Rik2	6.33	0.17	1.41	0.15	2.42	17.56	16.4	17.92
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
4732416N19Rik	0.0	0.0	0.0	0.0	0.0	1.08	0.0	1.62
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Ace	0.0	0.0	0.0	0.0	0.0	8.14	9.12	8.0
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Ccl27b	0.0	6.53	6.68	0.0	0.0	30.63	28.29	22.96
Ccnk	3.95	0.0	0.0	0.0	0.0	22.91	23.23	19.85
Ccr3	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Cdc14b	0.51	0.31	0.59	0.0	5.58	7.3	6.68	6.87
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Chd2	7.98	0.0	0.0	0.0	37.57	18.62	17.08	20.11
Clec12b	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Crebl2	0.0	0.0	0.0	0.0	0.0	28.82	29.5	26.62
Cyb561	0.0	0.0	0.0	0.0	0.0	66.46	71.89	69.31
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
D030047H15Rik	0.0	0.0	0.0	0.0	0.05	13.26	12.29	12.24
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Dync1h1	1.42	0.24	1.6	0.0	3.63	143.44	143.12	153.5
Enox	1.54	0.0	0.82	0.0	1.55	5.72	4.12	4.5
Etf1	0.0	0.0	0.0	0.0	0.0	60.18	59.44	55.78
Fam177a	6.33	0.17	1.41	0.15	2.42	17.56	16.4	17.92
Fgf5	0.0	0.0	0.14	0.38	0.29	2.9	3.15	2.24
Fmo4	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Fut9	0.0	13.79	0.06	0.0	21.4	31.73	22.97	29.48
Gimap9	0.0	0.0	0.0	0.0	0.0	0.44	0.84	0.53
Gm12633	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm13306	0.0	6.53	6.68	0.0	0.0	30.63	28.29	22.96
Gm14431	1.19	0.05	1.78	0.0	0.97	8.87	7.17	8.34
Gm1647	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gm2506	0.0	6.53	6.68	0.0	0.0	30.63	28.29	22.96
Gm4745	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gm8898	1.19	0.05	1.78	0.0	0.97	8.87	7.17	8.34
Gtdc1	25.25	1.85	16.72	11.11	13.69	58.73	53.38	59.5
Gzma	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Hap1	1.53	2.52	18.53	0.0	0.0	112.51	131.43	121.78
Hemgn	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
