	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_22	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Htr3a_tdTpositive_cell_116	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_142	Slc17a6_tdTpositive_cell_24	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700011F14Rik	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.09	0.19
1700021C14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	33.66	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.85	40.5	0.0	4.15	0.0	5.98	6.41	3.46	6.36	5.62	0.0	0.0	0.0	32.33	38.44	0.0	0.0	0.0	0.0	2.63	2.27	3.8
2010001E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.4	0.0	5.75	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	1.06	1.62	1.09
2700081L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.4	0.0	0.0	0.0	0.0	0.0	0.0	2.57	0.59	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.78	0.68
6230409E13Rik	14.79	2.73	22.05	0.0	7.24	2.57	1.68	6.34	2.0	20.36	7.77	2.97	1.02	0.0	4.23	4.38	16.98	0.0	9.83	9.36	0.0	0.06	0.0	27.98	2.94	39.28	31.59	10.96	6.23	8.33	3.21	3.54	10.63	8.2	6.48	0.89	2.92	0.0	0.0	0.97	8.26	3.59	32.8	8.7	39.2	35.11	38.13
9230102K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.39	0.0	0.0	0.0	0.0	1.22	0.16	2.35	2.43	3.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.16
A4gnt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
A630072M18Rik	0.35	0.15	0.47	2.62	1.38	0.71	0.72	7.79	12.12	0.8	0.52	0.78	0.39	1.19	0.38	0.14	1.32	3.37	0.66	0.7	0.07	0.88	1.11	1.52	0.13	9.27	0.99	2.87	1.18	3.33	0.81	1.83	1.96	1.65	1.94	0.91	0.85	0.45	0.64	0.57	1.24	0.2	0.42	1.2	4.79	4.03	4.74
A730085K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.19
AA474331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.39	8.25	10.46
