	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500015O10Rik	0.0	0.0	40.54	0.0	0.0	2.4	2.8	1.77
1700034H14Rik	0.0	0.0	187.78	0.0	0.0	12.19	13.2	13.37
2210009G21Rik	0.0	0.0	24.21	0.0	0.0	8.74	7.61	6.82
3110021A11Rik	0.0	0.0	38.63	0.0	0.0	1.11	1.05	0.89
4932416K20Rik	0.0	0.0	0.59	0.0	0.0	0.17	0.24	0.15
6430548G04	0.43	0.0	8.21	0.08	0.0	1.25	1.15	1.98
AU019823	0.12	0.0	65.96	0.0	0.0	15.48	14.52	15.73
Aifm3	0.0	0.0	9.33	0.0	0.0	70.87	73.98	75.26
Ankrd17	5.5	0.0	79.54	0.05	0.0	46.12	41.64	48.11
Anks1b	0.0	0.0	28.29	0.0	0.0	136.15	132.0	139.16
Arhgap29	0.16	4.17	30.78	0.0	0.0	15.25	12.61	13.94
Atp2b4	0.0	0.0	3.52	0.0	0.0	114.5	105.28	114.98
Atp8b5	0.0	0.0	8.74	0.0	0.0	0.09	0.12	0.16
BC061237	0.0	0.0	14.98	0.0	0.0	0.11	0.25	0.12
Bbx	0.18	0.0	30.63	0.0	0.0	10.14	8.8	11.16
Bub1b	0.0	0.0	35.8	0.0	0.0	1.66	2.15	2.27
Cabp1	0.0	0.0	4.4	0.0	0.0	158.2	157.48	164.46
Cacna2d2	0.0	0.0	2.39	0.0	0.0	25.53	24.2	26.92
Ccdc102a	0.0	0.0	17.98	0.0	0.0	1.37	1.74	1.6
Ccdc148	0.26	0.19	35.0	0.52	0.0	9.13	8.85	9.16
Cib1	0.0	0.0	65.07	0.0	0.0	19.59	20.52	20.1
Cltb	0.0	0.0	150.78	0.0	0.0	166.94	177.81	165.99
Cplx3	0.0	0.51	8.83	0.0	0.0	14.7	15.99	15.13
Dcbld1	0.0	0.0	0.0	0.0	0.0	8.99	9.39	8.51
Dnajc1	0.07	0.0	30.88	0.0	0.0	13.85	12.41	14.78
Dtx2	0.0	0.0	7.84	0.0	0.0	5.69	7.12	5.84
E130310I04Rik	0.0	0.0	0.39	0.0	0.0	0.06	0.1	0.09
