	Calb2_tdTpositive_cell_32	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_109	Gad2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_42	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_38	Scnn1a.Tg3_tdTnegative_cell_1	Slc17a6_tdTpositive_cell_18
1300001I01Rik	0.0	0.0	0.0	59.02	9.98	10.65	0.04	0.0	0.21	0.0	0.0	0.0	0.0	41.92	4.88	0.24	0.0	0.94	0.0	0.0
2700069I18Rik	0.0	5.48	1.82	3.67	2.42	2.72	1.24	2.55	1.01	0.78	0.0	0.35	2.76	1.58	0.95	0.0	2.09	1.23	0.0	1.01
A430005L14Rik	0.0	161.62	0.49	288.62	0.0	0.6	117.44	0.0	103.08	162.95	0.0	0.12	110.43	109.87	29.53	114.82	138.34	367.15	25.39	0.0
Cnpy3	0.0	90.95	0.0	171.64	140.17	0.1	0.0	92.61	81.94	0.4	0.0	0.06	1.06	91.14	0.0	12.15	0.0	63.53	0.0	0.0
Csnk1g3	0.0	27.42	28.94	94.12	120.54	11.56	101.42	13.47	65.63	36.17	1.71	1.93	39.0	5.48	2.51	0.0	0.0	59.03	0.15	0.0
Dcaf6	3.49	34.23	11.74	31.37	7.49	12.47	9.29	12.16	18.05	11.48	30.0	8.63	27.94	35.75	9.87	1.1	6.26	13.86	0.0	119.32
Epb4.1l1	0.08	20.65	55.66	37.39	64.07	2.75	3.73	0.7	62.6	3.19	0.0	4.9	33.37	7.59	1.24	35.13	2.58	49.07	0.0	22.23
Fam20b	0.31	1.57	3.97	15.96	5.01	0.1	0.09	0.22	45.09	0.16	0.0	0.03	0.24	0.81	0.07	0.12	0.0	77.65	0.0	0.16
Gm14430	0.0	6.89	0.0	9.49	8.06	0.0	0.04	0.12	0.5	0.07	0.0	0.0	9.36	10.66	0.2	0.0	2.64	5.19	0.0	1.2
Gm14434	0.0	6.89	0.0	9.49	8.06	0.0	0.04	0.12	0.5	0.07	0.0	0.0	9.36	10.66	0.2	0.0	2.64	5.19	0.0	1.2
Gm2027	1.49	8.55	0.69	11.58	6.1	0.8	3.72	3.7	1.45	1.5	1.57	1.37	4.7	3.57	2.39	2.52	1.26	10.44	0.0	6.81
Gm4710	0.0	0.65	0.0	0.0	0.74	0.0	0.48	0.0	0.16	0.0	0.0	0.2	0.23	0.0	0.0	0.0	0.0	0.81	0.0	1.17
Gm4724	0.0	6.89	0.0	9.49	8.06	0.0	0.04	0.12	0.5	0.07	0.0	0.0	9.36	10.66	0.2	0.0	2.64	5.19	0.0	1.2
Hist1h2bq	0.0	0.09	0.0	0.28	0.22	0.0	0.06	0.0	0.59	0.0	0.0	0.03	0.04	0.0	0.0	0.08	0.0	0.11	0.0	0.0
Hist1h2br	0.0	0.09	0.0	0.28	0.22	0.0	0.06	0.0	0.59	0.0	0.0	0.03	0.04	0.0	0.0	0.08	0.0	0.11	0.0	0.0
LOC639910	0.0	6.91	1.23	5.66	2.83	2.96	6.14	0.99	4.83	0.21	0.0	0.22	5.85	4.11	0.0	0.65	1.68	3.37	0.58	0.0
Myh10	8.72	0.0	88.7	117.31	77.95	0.02	55.55	0.25	52.21	0.06	0.0	38.31	55.23	52.63	0.41	3.32	25.37	27.84	0.0	40.62
Nmt2	0.0	171.17	55.59	88.51	101.21	0.1	6.94	3.18	6.77	0.0	0.0	0.06	60.58	117.69	0.0	2.85	0.91	0.75	0.0	0.0
Pcsk1	33.77	212.39	137.67	407.61	223.72	16.92	4.37	205.12	381.23	0.0	0.0	91.31	207.39	259.29	281.4	78.53	14.29	176.21	0.0	80.13
Pex11b	0.0	368.13	78.27	270.1	0.0	103.65	144.98	146.46	0.85	169.44	1.19	165.71	123.13	252.96	0.0	0.0	0.0	241.23	0.0	183.25
