	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_41	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_1	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_50	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1810026J23Rik	62.59	135.64	0.0	0.29	12.14	8.39	0.0	7.37	0.0	3.99	0.0	59.72	0.0	0.0	0.0	38.1	2.13	21.14	0.0	0.0	0.0	37.9	51.54	0.17	0.0	0.0	0.0	0.13	1.28	60.8	0.0	48.11	51.84
2210010C04Rik	0.0	2.05	0.0	0.0	0.2	0.0	0.0	0.9	0.25	0.0	0.0	0.22	0.0	0.0	0.0	0.14	0.19	0.34	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.15	0.18	0.0	0.22	0.33
2510012J08Rik	0.0	27.24	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.34	28.62
4932438A13Rik	0.0	23.39	0.03	0.03	10.69	13.02	9.3	10.4	13.45	2.45	11.81	4.34	0.0	14.58	7.81	20.33	26.72	11.73	7.39	1.76	18.5	6.81	2.96	1.0	5.56	3.21	10.2	19.64	21.5	12.71	8.44	31.01	24.84
A130040M12Rik	0.15	41.0	6.62	0.0	16.96	7.8	0.16	9.35	20.36	1.46	12.71	0.77	0.45	0.0	5.39	2.76	2.76	11.02	0.27	0.76	5.11	1.32	2.38	0.17	7.25	0.0	12.46	0.38	0.3	9.09	0.0	35.33	34.07
Acly	0.0	352.37	0.0	0.0	65.37	36.64	43.0	10.24	43.81	29.87	45.12	16.04	6.27	74.93	25.62	221.61	132.84	80.97	187.39	3.88	80.73	107.39	51.94	52.69	6.32	4.52	66.04	14.18	115.99	43.46	79.05	111.13	110.2
Adamts4	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	15.98	17.45
Aff4	0.0	63.69	0.0	10.85	19.09	24.4	0.22	0.88	11.71	3.82	22.82	1.51	0.27	7.58	16.15	8.03	59.3	28.18	2.73	0.32	10.17	1.02	0.63	12.7	4.99	6.5	14.58	10.25	31.77	27.72	21.51	66.34	58.22
Amz2	0.0	113.08	0.0	0.17	1.64	96.4	4.68	0.0	31.58	19.97	0.23	8.79	2.63	0.0	88.46	30.5	81.98	18.02	73.16	2.51	0.0	20.6	19.63	29.67	0.0	1.73	0.0	50.28	0.0	0.0	0.35	40.25	39.59
Aph1b	144.97	124.24	0.0	0.0	26.14	0.0	0.0	1.55	23.34	13.52	4.2	25.23	0.0	24.69	0.23	0.0	12.04	9.29	27.19	0.0	0.0	0.44	7.77	11.02	26.52	0.0	0.0	0.0	0.0	54.54	42.6	20.66	19.39
Arhgef7	0.0	48.43	0.0	0.21	29.67	60.03	0.0	22.29	9.72	0.56	44.49	26.66	0.0	31.0	7.17	9.07	54.56	20.83	24.25	2.13	1.48	15.88	1.74	4.78	23.88	0.72	45.06	3.79	49.12	0.0	0.0	72.82	75.56
B020018J22Rik	0.0	0.32	0.0	0.0	0.0	0.18	0.0	0.14	0.0	0.0	0.19	0.0	0.0	0.12	0.0	0.0	0.11	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.05	0.23	0.43
