	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Adck3	0.0	0.0	0.0	0.71	0.14	0.0	1.9	0.0	0.0	0.0	49.85	0.0	0.0	0.0	0.0	0.0	0.02	0.13	0.06	0.03	0.07	0.0	0.08	0.28	0.0	6.69	27.49	112.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	3.64	0.0	8.68	0.27	0.0	0.06	0.0	21.8	0.0	0.02	0.0	0.46	30.06	5.69	19.22	19.06	21.53	21.18	22.18	21.66	25.15	20.67
Adrm1	90.93	4.99	4.88	47.86	0.0	0.0	0.0	75.26	1.86	7.37	73.74	8.45	64.01	74.02	0.29	52.28	52.32	49.05	4.41	0.0	71.21	9.54	25.43	42.99	0.35	125.22	23.18	228.29	0.0	41.71	31.68	0.0	18.62	15.79	0.0	15.93	31.14	82.81	10.94	55.85	39.54	102.09	31.84	0.0	0.0	85.04	200.4	0.0	104.75	0.0	160.27	69.47	54.02	52.35	76.43	61.5	6.18	40.78	46.37	88.38	96.89	89.94
Ajap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	0.0	1.07	0.0	0.0	0.33	0.0	2.4	10.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.25	0.0	63.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	14.66	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	31.03	6.35	11.65	1.03	0.0	5.54	1.07	1.46	1.69	35.82	40.06	38.04
Ap2a1	12.16	0.0	0.0	0.0	13.2	9.53	0.07	0.0	0.0	0.72	0.92	0.0	0.0	0.31	0.0	0.0	1.07	0.07	0.39	0.09	0.08	8.3	10.03	0.08	2.86	0.3	4.57	54.34	0.0	8.35	15.6	16.55	0.0	0.0	0.0	0.0	0.0	11.74	10.83	0.0	16.07	0.0	0.07	1.81	34.11	0.93	0.56	0.0	0.0	0.79	0.0	2.05	2.74	14.0	9.65	6.7	2.3	2.44	3.81	210.18	226.06	220.98
Aqp11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.98	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.2	0.0	136.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.39	0.0	0.0	0.0	23.24	0.0	0.0	36.38	0.0	0.0	0.0	0.0	106.16	0.0	0.0	9.35	2.07	10.69	6.89	0.19	0.0	4.0	6.72	21.74	22.41	22.88
Ccdc159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.51	0.05	0.08	0.0	0.07	29.11	0.0	0.0	0.37	0.0	0.0	0.0	113.47	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	0.19	0.19	13.54	15.75	2.97	3.2	1.38	15.65	17.8	15.3
Ccl27b	0.0	0.41	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	17.1	3.39	4.28	1.46	0.03	0.0	1.74	0.0	0.0	5.37	0.27	0.0	0.0	0.0	2.47	3.43	0.0	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	8.48	4.31	40.26	0.0	4.89	0.08	0.0	0.0	0.0	4.36	4.62	1.88	0.0	164.03	132.22	177.66	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Cdc42bpb	0.66	0.0	0.0	0.0	0.53	7.18	0.0	0.03	0.0	0.0	0.0	0.0	6.36	0.0	0.0	0.0	2.22	0.11	0.05	0.0	0.36	0.3	0.0	2.94	0.0	0.08	0.0	32.18	4.17	0.0	0.25	0.38	0.13	0.0	0.3	0.0	0.25	0.2	0.31	0.0	2.7	0.13	12.21	16.72	0.0	0.45	0.0	0.0	0.0	0.09	0.52	1.72	0.69	4.01	5.4	4.21	0.31	0.3	0.66	81.28	84.68	83.31
Cdo1	44.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.16	0.0	0.0	44.49	6.84	0.0	51.29	1.7	4.4	0.0	1.81	0.0	46.29	81.5	0.0	74.53	0.0	3.43	54.23	0.0	0.19	0.0	32.87	29.26	33.63	0.0	14.99	32.33	22.03	0.0	50.99	0.39	0.0	0.0	0.0	42.33	67.27	52.89	117.37	0.24	11.8	12.84	2.67	11.33	2.18	4.8	7.39	34.95	35.28	32.44
Csf2ra	0.0	0.0	0.0	0.0	0.0	0.15	10.56	0.0	0.0	0.0	7.99	0.0	0.55	0.0	4.97	1.58	0.0	0.53	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	1.12	63.47	5.12	0.0	0.0	0.12	0.0	10.29	0.0	0.0	0.0	0.0	0.0	0.4	5.52	0.0	0.0	0.06	0.0	13.9	0.0	20.41	0.24	2.07	0.0	3.11	0.91	3.61	2.98	3.91	0.82	2.26	4.55	27.45	27.1	31.23
