	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_33	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700001L19Rik	0.0	0.12	0.0	15.72	13.93	14.24
2510012J08Rik	0.0	0.08	0.0	24.34	28.62	27.12
3930402G23Rik	0.0	0.08	0.0	0.14	0.13	0.21
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
6330403A02Rik	0.0	1.07	0.0	129.61	129.26	131.62
A930005I04Rik	0.0	0.08	0.0	1.98	2.66	2.26
A930011G23Rik	0.0	0.51	0.0	0.82	1.08	0.82
Abcg3	0.0	0.14	0.0	0.49	0.28	0.13
Ace2	0.0	0.06	0.0	1.55	1.44	1.69
Acsf2	0.0	0.07	0.0	11.92	12.41	12.76
Acss1	0.0	0.06	0.0	21.61	22.22	21.72
Adam12	0.0	0.08	0.05	2.32	2.26	2.33
Adprhl2	0.0	2.72	0.0	25.62	29.26	27.27
Agbl2	0.0	0.06	0.0	1.34	0.88	1.14
Anks6	0.0	1.38	0.0	8.63	8.4	9.75
Ano8	0.0	0.06	0.0	44.01	50.03	48.35
Arhgap25	0.0	0.17	0.0	7.67	7.52	7.06
Aspa	0.0	1.0	0.0	26.59	24.74	27.32
BC037704	0.0	0.11	0.0	1.34	1.92	1.49
Bche	0.0	0.03	0.0	3.06	2.87	2.75
C130060C02Rik	0.0	0.38	0.0	0.61	0.33	1.44
C2cd4d	0.0	0.17	0.0	1.07	0.93	1.02
C3	0.0	0.04	0.07	0.1	0.23	0.28
Cacna1f	0.0	0.04	0.0	0.31	0.15	0.3
Ccnjl	0.0	0.08	0.0	3.36	3.34	3.62
Cd53	0.0	0.08	0.0	5.36	4.88	5.56
Cdh22	0.0	0.06	1.86	26.71	27.01	29.44
Cdh26	0.0	0.07	0.0	0.17	0.29	0.21
Chrm5	0.0	0.12	0.0	1.14	1.23	1.11
Ckap2	0.0	0.08	0.0	0.46	0.86	0.71
Clec5a	0.0	0.06	0.0	1.0	0.7	0.82
Col18a1	0.0	1.39	0.0	3.16	2.6	2.89
Col4a3	0.0	0.02	0.0	0.16	0.16	0.29
Col6a4	0.0	0.03	0.0	1.29	1.14	1.38
Col6a5	0.0	0.02	0.0	0.43	0.39	0.49
Cyp1b1	0.0	0.04	0.0	1.38	1.6	1.42
D930028M14Rik	0.0	0.25	0.0	0.56	0.21	0.73
Dlg4	0.0	1.03	0.12	535.98	535.3	542.17
Dnajb13	0.0	0.19	0.0	0.79	0.66	0.45
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
E130203B14Rik	0.0	0.08	0.0	2.41	3.08	3.23
E430016F16Rik	0.0	0.07	0.0	0.29	0.27	0.2
Edar	0.0	0.06	0.0	0.53	0.3	0.36
Eln	0.0	0.06	0.0	5.82	7.74	6.25
Emilin3	0.0	0.06	0.0	0.14	0.13	0.2
Emp1	0.0	0.08	0.0	2.21	3.11	1.61
Emx2	0.0	0.08	0.0	7.75	6.77	8.66
Epha1	0.0	0.07	0.0	0.21	0.43	0.31
Epx	0.0	0.08	0.0	0.26	0.28	0.15
Erbb2	0.0	0.04	0.0	1.92	1.57	1.46
Fam83f	0.0	0.07	0.0	0.23	0.38	0.56
Foxc2	0.0	0.08	0.0	1.01	1.47	0.71
Foxp4	0.0	0.11	0.0	18.34	21.45	18.34
Foxs1	0.0	0.17	0.0	0.76	0.5	0.95
Frem2	0.0	0.03	0.0	1.2	1.04	1.38
Galm	0.0	0.19	0.0	2.12	1.62	1.91
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gdpd2	0.0	0.08	0.0	5.75	5.95	6.87
Gen1	0.0	0.07	0.0	0.96	0.85	1.18
Gli3	0.0	0.03	0.0	3.04	3.58	3.93
Glis1	0.0	0.07	0.0	0.71	0.58	0.46
Glrp1	0.0	0.06	0.0	0.29	0.48	0.47
Gm12216	0.0	0.19	0.0	1.57	1.48	0.99
Gm14379	0.0	0.12	0.0	0.48	0.25	0.55
Gm15612	0.0	0.07	0.0	2.57	2.62	3.35
Gm20605	0.0	0.12	0.0	10.74	13.39	12.28
