	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610012H03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
1700001J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.08	0.32
1700001K19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04	4.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	3.18	3.22	3.51
1700019N12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.64	12.48	11.04
1700066B19Rik	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	5.16	0.0	0.0	0.18	0.0	0.18	0.0	0.0	0.0	0.11	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.26	0.13	0.22	0.13
2310044G17Rik	22.48	0.0	4.01	0.23	33.35	27.92	33.21	31.37	65.68	30.34	1.89	4.16	22.56	4.77	36.25	0.0	0.0	0.2	62.29	50.14	25.34	0.0	27.33	20.7	34.59	9.56	1.54	4.4	54.03	6.53	66.4	65.5	63.6
4930542H20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.31
4931402G19Rik	0.46	0.09	0.54	0.0	0.38	0.37	0.2	0.37	0.65	0.22	0.2	0.64	0.63	0.56	0.17	0.22	0.16	0.57	0.32	0.27	0.28	0.19	0.52	0.34	0.35	0.68	0.57	1.06	0.0	0.45	1.36	1.14	1.05
4933425O20Rik	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.28	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	1.91	2.74
6330549D23Rik	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	46.2	0.0	1.07	0.0	0.0	0.0	0.07	0.0	7.21	0.0	0.0	0.0	0.0	0.0	0.12	2.71	0.0	0.0	0.0	0.05	0.0	0.0	1.25	0.85	1.82
