	Gad2_tdTpositive_cell_57	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_56	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1520402A15Rik	0.0	0.0	0.0	20.66	20.51	19.73
1700029I01Rik	0.2	0.0	0.06	1.95	1.62	2.06
2610028E06Rik	0.11	0.0	0.0	0.76	0.63	0.24
2810011L19Rik	0.0	0.0	0.0	8.41	9.31	7.9
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
Aldh2	0.0	2.04	0.0	74.65	73.82	71.96
Ap2a1	0.0	0.0	1.61	210.18	226.06	220.98
Arhgap30	0.09	0.05	0.2	2.4	1.67	2.31
BC027072	0.0	0.0	0.0	0.25	0.17	0.16
Barhl2	0.18	0.0	0.0	0.39	0.85	0.6
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clec2d	0.0	0.0	0.24	4.7	3.97	5.04
Clec4a1	0.0	0.0	0.0	0.19	0.5	0.33
Cul1	0.0	38.84	51.13	97.08	96.03	97.26
D030047H15Rik	0.0	0.0	0.0	13.26	12.29	12.24
D6Ertd474e	0.0	0.0	0.0	0.39	0.54	0.73
Dbr1	0.0	6.31	0.0	13.85	14.25	13.47
Ears2	0.0	0.0	6.3	6.62	7.09	8.39
Ednra	0.0	0.26	0.0	2.85	3.15	3.32
Ehd4	0.0	0.0	0.25	10.78	11.61	10.71
Eln	0.0	0.0	0.0	5.82	7.74	6.25
Furin	0.0	1.66	4.52	18.09	20.87	17.74
Glyctk	0.0	0.0	0.0	3.95	4.7	4.28
Gm20571	0.0	0.92	0.0	5.06	4.94	0.94
Gng12	0.0	0.0	0.0	44.32	42.29	46.2
Grap	0.0	0.0	0.0	7.02	6.97	6.9
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Jup	0.0	0.0	1.99	21.71	21.05	21.91
Kcna4	0.0	0.0	0.0	16.2	14.71	15.3
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kpna6	33.55	0.0	10.65	51.29	52.26	49.38
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ltbp2	0.0	0.0	0.0	0.3	0.2	0.3
Lypla2	0.0	0.0	30.25	83.25	93.67	96.28
Map4k1	0.0	0.0	0.0	1.61	1.41	1.74
Mas1	0.0	0.0	0.0	22.32	20.14	20.56
Mex3a	0.02	0.0	0.0	2.15	2.48	2.14
Mob1a	0.0	0.0	0.0	23.68	17.56	20.43
Mycl1	0.0	0.0	0.0	11.76	12.95	13.2
Nr2f1	0.17	22.89	6.28	68.32	72.93	67.6
Nynrin	0.0	0.0	0.0	4.88	4.92	4.96
Olfr1033	0.0	0.13	0.53	0.71	0.79	0.58
Osr1	0.0	0.0	0.26	2.7	2.6	2.52
Otud5	0.0	0.0	0.0	59.8	60.16	60.64
Pcdh19	0.0	0.7	1.56	14.46	14.27	13.79
Pdap1	7.94	6.93	25.33	68.93	75.22	74.29
Rab22a	0.0	0.0	10.49	36.5	36.78	37.73
Rbm24	11.63	0.0	2.67	20.02	17.81	14.33
Rundc3b	0.0	0.0	0.0	29.92	30.02	29.47
Rusc2	0.0	2.57	0.05	69.0	79.5	70.54
Samd1	0.0	0.0	0.0	22.06	22.74	23.66
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Spn	0.0	0.0	0.0	0.09	0.19	0.03
Srd5a3	0.23	0.0	0.0	22.26	22.56	21.72
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubac1	0.08	19.98	0.08	28.98	31.01	28.95
Unc5a	0.0	0.0	0.0	66.21	71.14	67.84
Vangl2	0.0	0.0	0.0	7.88	9.03	8.63
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
