	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700066M21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1107.93	25.29	7.99	11.64	0.23	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	3.54	2.07	26.41	25.59	23.41
8430419L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	713.64	52.15	31.63	6.76	0.16	0.23	0.0	0.0	0.15	0.17	0.0	0.82	0.0	228.6	0.73	138.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.85	77.55	98.75	139.39	141.01	160.23
AI464131	0.0	0.0	0.0	0.11	0.0	0.06	0.0	438.42	2.74	0.13	0.14	0.37	1.54	0.1	0.41	0.0	0.08	0.14	0.04	0.5	197.0	0.11	0.11	0.0	0.37	0.27	0.0	0.0	0.0	0.0	0.3	0.0	0.16	0.0	20.92	21.63	21.98
Abcd4	0.0	1.33	0.4	2.07	0.25	0.74	1.09	1034.24	1.16	11.47	0.91	3.65	595.35	1.94	0.0	4.76	1.29	1.19	0.31	3.56	0.33	2.08	0.38	0.59	0.89	0.0	1.8	0.99	0.68	0.18	0.0	5.08	0.79	3.53	10.68	13.07	12.71
Ahcyl1	0.0	0.0	0.0	0.0	122.71	0.16	0.18	1900.07	135.13	98.56	72.51	0.35	0.17	0.0	0.0	0.17	0.18	0.0	0.0	0.0	0.4	0.57	56.37	184.24	54.64	0.0	0.0	0.0	0.0	0.0	270.32	62.27	51.33	46.95	271.11	260.93	276.26
Akr7a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.24	5.15	2.07	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	0.0	22.96	0.0	0.0	0.0	87.17	0.0	0.0	0.0	0.0	0.18	0.64	0.64	23.99	25.78	25.58
Ambra1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	408.36	1.13	3.12	0.38	0.0	27.79	368.6	0.0	0.0	7.3	0.0	145.1	0.0	0.05	0.07	12.67	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	3.24	5.37	3.15	37.27	36.0	38.75
Aqp9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	968.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	1.06	0.93
Arhgef9	0.1	0.09	0.0	0.0	0.0	0.0	0.0	38.3	30.11	17.81	34.99	0.42	0.0	0.0	0.24	0.12	0.0	0.0	0.04	0.0	0.35	0.29	29.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.19	52.31	40.75	220.51	209.27	213.67
Astn1	0.0	0.0	0.0	0.06	0.0	0.0	0.09	42.56	43.25	28.01	45.56	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.03	0.0	0.18	0.3	45.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9	17.55	27.08	113.91	111.86	116.89
