	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_68	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1110006O24Rik	0.0	0.0	1.33	2.47
1600015I10Rik	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700009P17Rik	0.0	0.0	0.98	1.61
1700024P03Rik	0.0	0.0	0.21	0.21
1700061J05Rik	0.0	0.0	0.11	0.11
2700097O09Rik	0.0	0.0	9.95	8.3
4921525B02Rik	0.0	0.0	1.3	1.69
4930455B14Rik	0.0	0.0	0.09	0.09
4930528F23Rik	0.0	0.0	0.06	0.06
4930529F24Rik	0.0	0.0	0.11	0.11
4930544D05Rik	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.07	0.07
9230104L09Rik	0.0	0.0	0.16	0.16
9930012K11Rik	0.0	0.0	1.85	1.6
AU022754	0.0	0.44	3.34	3.41
Abcf3	0.0	0.4	49.07	51.18
Adamdec1	0.0	0.0	0.04	0.04
Adar	0.0	0.0	104.36	101.08
Akr1c12	0.0	0.0	0.08	0.08
Apob	0.0	0.0	0.01	0.01
Arv1	0.0	0.0	10.29	10.15
B3galnt2	0.0	0.15	16.14	14.54
Bpifb4	0.0	0.0	0.05	0.05
Capn13	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.03	0.03
Ceacam15	0.0	0.0	0.07	0.07
Clec12b	0.0	0.0	0.07	0.07
Cnst	0.0	9.15	33.05	30.83
Cyp2c55	0.0	0.0	0.05	0.05
Cyp3a57	0.0	0.0	0.06	0.06
Dnajc5b	0.0	0.0	0.11	0.11
Dtwd2	0.0	0.16	3.71	3.98
Enox1	0.0	0.0	21.24	22.3
Epb4.2	0.0	0.35	0.94	0.95
Fam171b	0.0	0.0	165.86	169.74
Fmo2	0.0	0.0	1.45	0.61
Fmo4	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.02	0.02
Glipr1l1	0.0	0.0	0.23	0.23
Gm12633	0.0	0.0	0.06	0.06
Gm13152	0.0	0.0	3.48	2.94
Gm13154	0.0	0.0	0.11	0.13
Gm15417	1.52	3.52	4.59	3.66
Gm1647	0.0	0.0	0.14	0.14
Gm4745	0.0	0.0	0.08	0.08
Gmcl1	0.0	0.0	27.92	27.72
Gtf2e2	0.0	0.0	22.01	18.58
Gzma	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.04	0.04
Irf6	0.0	0.0	0.64	0.74
Kctd19	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.04	0.04
Lect2	0.0	0.0	0.12	0.12
Lpcat2b	0.0	0.0	0.19	0.19
Ltf	0.0	0.0	0.04	0.04
Marveld2	0.0	0.0	1.0	0.51
Mill2	0.0	0.0	2.25	3.19
Muc13	0.0	0.0	0.03	0.03
Muc4	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.07	0.07
Ncr1	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.06	0.06
Olfr15	0.0	0.0	0.11	0.11
Otx2os1	0.0	0.0	0.14	0.14
Pex5	0.0	0.28	45.3	43.77
Prelid2	0.0	0.0	0.43	0.29
Prps1l1	0.0	0.0	0.06	0.06
Psma8	0.0	0.0	0.29	0.55
Rab5c	0.0	0.0	172.31	176.72
Raet1d	0.0	0.0	0.16	0.16
Rnase13	0.0	0.0	0.17	0.17
Shf	0.0	0.0	35.84	36.49
Slc4a1	0.0	0.0	0.02	0.02
Slfnl1	0.0	0.0	0.06	0.06
Tac4	0.0	0.0	0.08	0.08
Taf1	0.04	12.0	30.66	31.02
Tas1r2	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.12	0.12
Usp26	0.0	0.0	0.02	0.02
Vil1	0.0	0.14	0.38	0.39
Vmn1r210	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.04	0.04
Vmn2r55	0.0	2.72	3.27	3.31
Vps26b	0.06	0.25	52.15	51.31
Zfp352	0.0	0.0	1.31	1.26
mt_AK131586	6370.03	11.77	25813.35	24561.45
