	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300001I01Rik	13.38	0.88	0.0	7.09	0.0	0.0	3.72	0.0	23.84	0.02	13.17	0.28	0.0	0.09	13.3	0.35	0.0	0.15	0.37	0.0	40.7	0.07	0.0	0.0	0.0	0.53	0.04	0.37	18.51	14.97	67.63	20.07	14.72	50.37	50.41	50.0
5730469M10Rik	101.39	20.4	130.96	81.92	54.27	0.0	164.42	25.35	153.74	63.3	97.11	93.76	133.02	53.34	54.37	134.15	95.34	112.18	2.91	135.99	95.38	0.0	0.27	0.0	0.0	88.73	69.06	71.72	182.32	88.71	314.73	48.21	75.91	140.69	144.5	135.64
A430005L14Rik	65.1	0.0	0.0	0.22	104.69	0.0	29.94	0.17	9.45	0.0	0.0	75.01	0.0	0.0	85.16	76.86	0.0	49.21	0.0	25.91	63.94	0.0	0.0	0.0	0.0	119.3	95.04	0.0	61.41	38.58	274.51	67.34	186.13	21.4	24.46	22.02
AU041133	0.88	51.23	0.0	0.82	0.47	0.0	16.2	35.06	1.43	0.27	0.25	0.37	0.68	0.6	0.0	0.08	0.0	37.4	0.12	0.16	0.0	0.0	0.13	0.0	0.0	0.0	0.21	0.34	2.02	21.83	219.4	32.48	33.54	3.87	2.13	3.25
Aco2	266.61	128.05	127.67	373.95	246.81	0.0	121.69	258.17	162.17	100.13	330.92	246.07	321.1	116.01	207.15	136.06	58.21	135.52	102.42	185.19	303.82	0.0	0.13	0.0	1.31	79.11	55.04	29.39	248.67	183.65	1338.14	344.59	342.02	409.16	435.87	422.79
Actn1	5.11	13.83	10.18	7.82	2.66	0.0	1.93	1.22	8.06	12.74	5.83	22.09	16.53	15.66	10.6	5.16	56.25	4.14	0.0	8.59	17.06	0.0	0.0	0.0	0.0	4.65	8.09	7.37	8.52	2.75	33.82	27.84	43.33	72.48	66.41	70.2
Asap1	8.43	11.28	9.14	3.32	3.65	0.0	20.32	19.72	31.76	16.02	9.23	33.87	22.76	9.84	0.0	4.57	93.11	21.53	0.0	43.86	0.0	0.0	0.0	0.0	0.0	0.43	7.03	0.0	0.0	13.6	134.25	39.93	30.77	88.98	80.34	86.8
Ccbl1	32.57	45.22	0.0	0.0	0.0	0.0	0.0	0.04	0.0	3.96	0.0	0.0	6.05	0.0	55.18	0.67	0.0	0.0	0.0	61.42	0.0	0.0	0.0	0.0	0.0	0.0	52.09	0.18	0.0	0.0	170.89	31.47	1.94	11.46	11.37	11.93
Ccdc86	0.0	0.0	0.0	11.87	8.94	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	0.0	1.4	0.0	80.31	14.98	1.22	7.35	6.58	6.66
Ccl27b	0.0	0.0	8.68	11.32	0.0	0.0	1.46	0.03	0.0	0.0	7.16	0.58	0.0	0.0	0.77	0.0	0.29	1.65	1.9	0.13	4.31	0.0	0.0	0.0	0.0	0.0	4.89	46.94	0.0	7.83	0.0	164.03	132.22	30.63	28.29	22.96
