	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_71	Gad2_tdTpositive_cell_77	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_38	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_49	Vip_tdTpositive_cell_2
2610044O15Rik	13.86	0.18	0.0	67.01	3.21	10.51	3.98	5.88	48.11	0.26	77.64	3.74	5.13	57.64	234.64
4933433P14Rik	0.0	0.0	371.61	0.06	24.31	217.7	96.04	0.0	50.58	0.14	59.22	167.38	149.45	248.31	102.26
Abcf2	64.93	490.92	0.21	169.77	286.41	0.0	163.81	0.0	314.23	0.0	360.19	487.51	262.71	37.58	345.52
Ap1s1	372.15	0.39	182.79	466.11	156.12	0.0	65.05	0.0	1.2	0.0	177.11	315.7	234.67	279.32	44.76
Arl6ip5	1325.24	230.44	0.0	428.36	95.12	112.15	173.33	0.0	333.87	0.0	205.9	783.46	809.03	376.02	222.6
Bbs5	0.0	0.0	204.84	77.0	112.62	0.0	0.35	0.0	14.38	0.0	71.46	52.84	96.65	155.93	1.18
C330024D21Rik	42.07	20.88	25.0	31.9	22.59	15.86	21.5	7.51	16.63	7.62	35.32	35.47	27.66	32.57	21.31
Ccl27b	0.0	7.56	0.0	3.5	0.0	0.0	0.0	0.0	30.44	0.0	409.92	276.37	18.96	0.5	23.47
Cops7a	267.01	224.31	328.8	165.27	220.18	0.0	188.19	0.0	189.3	0.0	21.28	149.86	162.96	365.28	0.0
Cpt1c	83.08	132.87	184.31	8.95	1.88	0.15	38.7	659.24	161.68	0.0	148.39	80.3	174.64	137.14	195.7
Cuedc2	254.05	153.93	116.6	89.96	157.95	75.22	426.21	0.36	81.67	0.0	730.15	176.32	196.99	253.46	133.34
D3Bwg0562e	15.84	25.62	6.81	136.04	49.81	0.57	202.84	2.35	51.38	0.67	162.45	108.68	148.2	63.76	42.88
Dcun1d1	154.09	120.95	135.28	91.26	32.37	0.0	141.23	0.0	33.46	0.0	96.27	0.0	117.93	65.46	88.28
Dcun1d4	1.39	5.17	4.09	52.59	10.1	1.35	1.24	0.0	8.52	0.0	116.0	14.87	5.47	12.97	3.92
Dennd5b	99.33	55.64	68.5	113.43	126.87	5.61	26.13	42.05	90.26	2.84	97.86	108.38	33.5	65.41	110.43
Dnm1l	224.2	119.26	64.19	229.38	147.52	21.72	178.81	0.0	140.05	0.0	102.75	130.77	241.32	341.98	70.46
