	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008J03Rik	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	306.22	2.07	0.0	24.33	18.64	20.61	22.3	19.98
1200011M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	386.73	0.0	0.0	2.98	1.61	13.6	12.88	12.91
2310009B15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.68	0.0	0.0	11.15	6.62	10.21	12.88	11.1
2410022L05Rik	0.6	0.0	0.0	15.79	0.0	0.0	11.62	0.0	0.0	0.0	504.79	0.0	0.41	15.39	31.97	47.46	49.34	46.76
2810429I04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	404.95	0.0	0.0	5.75	4.51	4.06	3.7	3.06
2900006K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.51	0.0	0.0	10.11	6.11	8.31	6.12	7.96
4933411K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	402.29	0.0	0.0	15.99	20.48	16.99	17.29	18.39
6230400D17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.23	0.0	0.0	3.6	0.99	5.56	5.33	3.35
6330439K17Rik	0.04	0.34	0.0	61.01	0.37	0.32	0.11	0.0	0.0	0.1	150.41	0.0	0.09	19.36	18.93	110.61	103.83	101.92
8030442B05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.53	0.0	0.0	0.0	0.0	1.86	2.67	3.81
A330050B17Rik	0.93	1.42	0.99	1.84	0.57	2.39	1.48	3.1	0.68	0.34	6.53	0.0	2.29	4.2	4.85	4.99	4.82	5.88
A530032D15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.1
AI314180	0.0	0.0	0.0	0.0	0.0	0.0	49.07	0.0	0.04	0.0	140.39	0.0	6.12	11.42	16.17	52.59	46.66	49.63
AV039307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.91	0.0	0.0	2.49	2.46	2.1	1.26	1.32
Aanat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	1.28	1.42	0.85
Abi3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	7.4	6.13	7.27
Acaca	88.16	0.44	0.0	0.0	0.0	0.44	0.04	0.0	0.0	0.0	201.19	0.04	0.0	1.54	1.33	30.97	27.93	30.45
Aldh16a1	0.0	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.41	4.84	6.3	5.31
Ampd2	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	188.19	0.0	0.09	42.86	41.26	43.08	46.45	44.94
Angptl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	11.39	0.0	0.0	0.0	0.1	2.63	3.5	2.48
Aph1b	0.0	0.0	0.0	0.0	0.0	0.13	81.11	0.0	0.0	0.0	497.03	0.0	0.0	3.9	10.34	20.66	19.39	19.13
Arap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	413.43	0.0	0.06	0.09	0.19	8.4	7.5	7.94
