	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110034B05Rik	2.73	0.0	0.0	91.53	0.0	0.0	0.0	53.96	0.0	0.0	12.94	33.3	39.19	0.0	52.77	2.0	57.21	0.0	0.0	35.01	0.34	0.0	0.0	0.0	29.11	0.0	0.0	0.0	58.52	53.17	55.76	0.0	75.47	277.77	43.86	30.02	29.93	40.58	13.32	14.33	15.7
1700028B04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.47	0.0	0.0	0.0	0.0	0.0	2.73	0.0	0.0	0.0	0.39
1700066M21Rik	100.38	0.0	0.0	74.54	10.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.64	0.0	0.0	0.0	35.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.99	131.94	0.0	0.0	19.0	0.0	3.37	3.54	2.07	26.41	25.59	23.41
2410004B18Rik	0.0	0.0	0.0	0.0	23.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	57.24	0.0	0.0	0.0	15.28	25.98	0.0	0.0	0.0	7.18	75.93	0.0	0.0	0.0	0.0	5.1	3.3	7.04	35.58	42.35	36.96
2700081L22Rik	0.0	0.0	0.0	6.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.95	0.0	2.57	0.59	3.59	1.16	0.78	0.68
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930412C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.71	0.0	0.0	0.0	20.37	0.0	0.52	0.34	0.43	0.89	1.4	0.89
4930431P03Rik	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.21	0.15	0.0	0.18	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.04	0.09
4930452B06Rik	0.13	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.27	0.0	66.98	0.0	0.0	0.0	0.0	0.0	0.0	8.43	0.0	0.0	3.19	0.0	0.0	0.0	0.0	0.28	6.1	0.0	0.0	458.27	392.25	0.11	0.13	0.25	10.36	11.15	10.85
4930455F23Rik	2.15	65.31	54.43	0.0	65.29	95.37	0.0	0.09	6.3	2.82	0.0	0.0	3.67	27.8	71.61	87.64	30.37	43.82	0.13	53.55	111.76	0.0	0.0	0.0	0.0	0.0	108.74	0.37	48.49	19.44	138.41	2.86	0.26	62.68	31.29	63.72	44.35	53.81	27.23	23.63	24.97
