	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_39	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110018G07Rik	6.61	11.24	40.82	39.42	0.47	0.0	0.0	26.47	0.0	6.36	0.71	61.06	81.89	80.63	78.69
2700046G09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.79	4.79	4.79	4.82
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Abcc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	1.39	1.51	1.46
Accn2	3.46	8.36	1.64	9.06	0.09	3.27	31.68	0.81	0.0	0.0	0.06	60.72	51.4	49.24	50.01
Adamts20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.87	7.12	7.49	8.6
Adcy5	17.42	3.5	0.73	14.15	0.0	11.53	9.84	0.27	23.56	8.77	28.97	30.87	139.88	145.98	149.99
Adra1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.23	33.16	35.83	37.26
Agbl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	1.34	0.88	1.14
Ankrd1	0.0	0.0	0.0	0.0	28.87	0.0	0.0	0.0	0.0	0.0	0.0	38.61	0.17	0.32	0.17
Arf3	138.42	21.0	76.38	26.24	139.57	54.94	110.42	160.05	7.32	169.96	82.15	239.37	822.27	797.92	835.04
Atmin	0.0	14.43	23.11	24.58	0.0	47.85	20.0	3.27	2.85	0.12	0.19	74.51	47.28	47.37	45.34
Axl	0.0	0.03	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.22	23.04	22.35	23.67
Bcl2l12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	2.66	2.69	2.57
Bend3	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	3.41	3.3	3.43	3.81
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C1galt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.77	11.52	10.26	12.39
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Crtc1	0.0	0.0	6.75	0.0	0.0	0.0	0.0	0.15	11.25	12.18	0.0	41.94	88.78	88.79	94.03
D17Wsu92e	18.24	0.11	0.0	22.15	1.97	34.97	75.19	0.08	59.8	36.31	33.08	179.27	187.3	186.34	191.37
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dnajb5	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.24	0.0	0.0	24.08	97.38	140.11	132.47	105.89
Dusp9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.44	0.62	1.02
