	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6
100043387	71.77	36.79	9.45	0.0	0.0	0.0	41.67	87.34	33.49	29.58	44.37	50.9	25.16	77.27	69.47	22.48	41.4	46.12	28.07	40.29	22.42	29.74	20.97	3.91	18.65	0.0	10.61	15.52	54.25	35.5	10.38	13.65	92.55	33.33	17.8	8.45	9.95	0.0	0.0	5.56
3230401D17Rik	1179.77	0.0	97.67	0.0	0.0	0.0	0.0	271.15	213.74	127.82	0.0	42.34	144.27	91.3	136.6	179.37	239.99	56.15	105.4	79.36	64.66	111.47	149.74	153.76	0.0	340.29	398.5	289.09	67.51	0.0	136.97	191.09	54.87	161.01	0.0	256.53	185.66	2583.48	43.21	0.0
5730460C07Rik	0.26	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.39	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.02	0.18	0.0	0.11	0.43	0.66	0.0	0.21	0.0	0.0	0.0	0.16	0.33	0.0	0.19	0.12	0.0	0.0	0.0
AY074887	1.74	14.17	12.91	1.44	2.37	1.04	2.66	8.04	12.08	12.55	8.26	5.57	8.99	8.03	8.45	13.18	9.08	7.6	7.06	10.81	6.76	10.6	7.32	3.6	6.24	16.9	14.52	11.96	6.21	5.09	2.37	8.74	9.08	12.95	11.59	14.14	18.68	0.0	0.6	0.0
Aak1	0.05	0.18	0.58	0.66	0.0	0.0	4.66	22.88	17.92	6.21	36.49	8.93	11.19	33.7	17.14	22.92	16.29	22.3	21.54	10.94	28.17	7.5	34.21	21.88	18.36	40.82	14.44	18.97	28.6	53.13	38.65	14.06	40.82	47.95	7.71	39.16	12.25	0.02	0.81	0.03
Afg3l1	0.0	0.03	0.15	0.98	0.0	0.15	0.0	0.0	2.48	3.83	0.34	0.17	0.16	0.24	0.2	0.18	0.13	0.05	0.11	12.17	13.57	0.18	42.95	8.87	0.06	1.81	10.11	13.06	0.35	18.38	13.51	0.73	18.34	0.28	0.59	0.29	2.3	0.26	0.09	0.13
Amotl1	0.0	0.0	0.11	0.01	0.0	0.0	0.0	0.0	0.56	0.11	0.0	1.89	0.05	0.06	0.0	0.07	0.24	3.2	0.0	0.0	9.52	0.06	5.27	0.0	0.0	16.81	15.98	0.28	7.96	0.0	18.08	5.71	0.01	0.0	0.0	0.1	0.04	0.69	0.14	0.06
Anapc16	1.2	0.25	16.68	320.37	0.0	1.29	37.0	0.0	32.84	0.0	0.0	76.55	7.87	46.66	45.27	51.84	59.78	75.26	0.0	29.29	90.97	45.7	1.05	0.19	29.32	122.83	25.35	53.74	32.61	93.61	98.44	23.51	52.98	22.58	14.01	62.99	16.71	1.35	0.51	0.49
Anxa6	117.77	103.94	137.77	0.0	0.0	0.0	25.74	119.32	64.94	246.38	139.1	71.91	73.44	0.0	22.12	258.85	120.67	235.85	79.49	52.23	51.82	0.13	102.44	10.86	20.02	148.86	0.0	0.15	54.5	114.7	227.01	184.14	135.71	195.31	61.7	273.0	234.25	0.0	585.75	0.0
Atg9a	0.0	0.0	40.72	0.0	0.0	0.0	2.96	15.53	14.41	18.71	20.59	18.32	28.54	7.17	30.64	58.96	0.0	17.78	13.02	14.29	18.26	0.09	11.87	34.87	18.55	72.75	22.57	56.36	29.45	50.7	31.04	30.77	39.75	49.2	7.54	18.91	44.34	0.0	0.19	0.0
Bhlha15	0.0	0.0	0.18	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.04	0.12	0.23	0.1	0.0	0.0	0.26	0.15	0.0	0.0	0.0	0.0	0.21	0.0	0.11	0.18	0.12	0.0	0.0	0.12	0.1	0.0	0.1	0.18	0.0	0.0	0.0
Bmpr2	4.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.01	0.0	0.0	0.41	2.61	2.74	3.01	2.34	63.98	0.0	0.87	0.0	4.29	2.95	0.0	0.0	0.78	62.39	61.64	0.0	0.0	1.27	1.28	0.0	40.47	0.9	10.58	0.0	12.81	0.0	0.1	0.0
Btbd7	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.07	0.0	0.0	2.21	4.52	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.09	0.0
Ccng1	0.1	0.0	0.9	0.0	0.0	0.0	33.18	7.91	32.06	0.0	39.78	0.0	5.11	4.9	0.15	0.21	6.62	2.32	5.65	21.2	7.86	0.0	59.32	0.08	0.0	56.04	51.7	2.12	1.23	1.74	54.12	46.38	23.57	0.31	0.09	0.0	38.1	0.1	0.32	0.0
Cept1	82.13	0.04	52.64	0.0	0.0	0.0	93.7	145.75	294.91	304.11	290.77	106.98	193.5	279.02	163.16	36.32	126.0	395.14	96.06	108.09	77.57	119.4	27.46	113.07	127.09	185.07	222.61	0.0	193.46	131.81	365.25	61.02	167.72	188.57	73.77	119.71	145.7	0.63	177.29	0.0
Cir1	0.0	0.0	0.16	0.0	0.0	0.0	23.66	16.61	0.41	35.71	0.32	34.83	1.3	0.0	20.34	9.13	2.67	19.22	1.14	0.0	30.41	5.74	1.5	35.62	33.84	179.55	22.98	12.36	17.53	41.35	83.47	26.59	19.14	66.71	7.48	0.81	12.18	0.0	0.37	0.0
Ckap5	67.33	19.52	74.55	0.07	67.88	1.2	33.57	55.61	45.05	18.14	28.82	48.53	47.64	37.4	20.19	56.8	23.57	23.46	11.81	39.78	98.01	188.4	40.49	28.47	63.87	61.65	86.43	11.33	53.51	52.54	58.69	56.67	48.45	99.6	27.26	26.05	55.84	0.0	0.34	186.59
Clgn	0.0	0.0	98.15	0.0	0.0	0.0	0.0	0.0	32.92	62.45	0.0	16.08	0.0	39.67	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.38	0.0	82.62	0.0	3.96	0.0	0.0	10.65	34.4	32.14	17.09	0.0	0.0	31.98	0.0	0.0	0.0
Copg2	0.0	0.06	14.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.06	94.67	28.28	115.5	7.24	3.57	0.0	94.64	8.6	10.83	1.46	1.98	0.15	0.0	0.34	103.24	0.18	1.07	6.36	0.0	0.0	97.98	199.32	109.7	35.02	64.57	99.24	0.0	0.0	0.0
