	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_50	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27
1110020A21Rik	0.0	0.0	0.0	0.85	0.0	0.0
1200009I06Rik	0.0	0.0	0.0	1.18	0.0	0.0
1500032L24Rik	823.25	47.39	0.9	139.23	0.0	30.52
1700010B08Rik	0.0	0.0	0.0	2.41	0.0	0.0
1700019L03Rik	0.0	0.0	0.0	0.62	0.0	0.0
1700020I14Rik	0.0	49.99	0.0	73.36	353.8	64.98
1700023E05Rik	0.0	0.0	0.0	0.81	0.0	0.0
1700026D08Rik	0.0	0.0	0.0	0.54	0.0	0.0
1700028B04Rik	0.0	0.0	0.0	2.73	0.0	0.0
1700054M17Rik	0.0	0.0	0.0	0.87	0.0	0.0
1700066B19Rik	0.0	0.0	0.0	0.14	0.03	0.0
1700112E06Rik	0.0	0.0	0.0	3.16	0.0	0.0
1810019J16Rik	0.0	0.0	0.0	0.2	0.0	0.0
1810049H13Rik	0.0	0.0	0.0	1.34	0.0	0.0
2410016O06Rik	0.0	0.0	0.0	1.03	0.0	0.0
2700086A05Rik	0.0	0.0	0.0	0.43	0.0	0.0
3100003L05Rik	0.0	0.0	0.0	1.67	0.0	0.0
4930429F24Rik	0.0	0.0	0.0	0.69	0.0	0.0
4930432K21Rik	0.0	0.0	0.0	0.43	0.0	0.0
4930467E23Rik	0.0	0.0	0.0	0.27	0.0	0.0
4930511A02Rik	0.0	0.0	0.0	0.18	0.0	0.0
4930555G01Rik	0.0	0.0	0.0	0.22	0.0	0.0
4932411G14Rik	0.0	0.0	0.0	0.18	0.0	0.0
4933400C05Rik	0.0	0.0	0.0	0.32	0.0	0.0
4933401H06Rik	0.0	0.0	0.0	0.38	0.0	0.0
4933406C10Rik	0.0	0.0	0.0	0.21	0.0	0.0
4933406F09Rik	0.0	0.0	0.0	0.27	0.0	0.0
4933438B17Rik	0.0	0.0	0.0	0.05	0.76	0.18
5730420D15Rik	0.0	0.0	0.0	0.92	0.0	0.0
5730437N04Rik	0.0	0.37	0.0	80.4	230.44	127.82
9030425E11Rik	0.0	0.0	0.0	0.12	0.0	0.0
9230116N13Rik	0.0	0.0	0.0	1.02	0.0	0.0
9430032N09Rik	0.0	0.0	0.0	0.2	0.0	0.0
