	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1110012L19Rik	0.0	0.0	0.0	0.0	2.54	51.17	0.0	0.34	0.0	117.29	59.56	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	269.07	86.21	0.0	16.41	14.02
1700052N19Rik	0.0	0.0	0.0	0.0	0.0	32.72	2.06	0.0	93.03	65.51	11.5	0.0	0.0	0.24	0.0	0.0	0.0	0.32	0.0	453.14	0.0	0.0	0.0	196.97	0.0	0.0	22.47	20.67
2610017I09Rik	0.0	0.0	0.0	802.47	622.53	240.37	664.01	718.4	596.68	249.41	585.83	331.56	437.43	551.73	274.65	1.35	0.64	2.91	208.18	0.0	0.0	0.0	0.0	886.0	59.67	0.83	78.4	79.08
4833439L19Rik	0.38	0.0	1374.1	0.0	31.95	208.43	0.0	127.92	114.01	0.0	85.0	0.0	90.83	170.19	39.71	1.78	0.6	846.47	0.94	865.67	0.3	0.0	0.43	803.13	51.34	0.39	120.18	124.23
AB124611	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.78	0.15	0.0	0.69	0.47
Adamtsl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.22	0.12	0.0	10.99	0.0	20.57	0.0	19.97	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	69.92	0.0	0.0	4.25	4.61
Agap2	0.0	0.0	0.0	0.0	12.97	6.05	15.37	5.66	18.39	6.75	10.87	5.7	13.58	9.56	9.04	0.0	0.0	0.64	0.41	2.75	0.0	0.0	0.0	8.42	16.54	0.07	422.27	459.59
Arl8a	0.0	0.0	0.0	0.0	0.0	46.2	59.33	25.77	7.73	18.38	68.33	26.06	66.35	176.59	71.2	0.0	0.96	504.92	2.76	0.85	0.0	0.0	0.0	204.1	7.06	0.0	213.09	227.57
Arrb1	0.0	0.0	0.0	0.0	0.9	17.4	0.0	0.0	18.44	0.0	5.3	0.0	0.97	0.23	0.0	0.09	339.42	1.12	106.09	0.2	0.09	0.0	0.0	139.77	14.0	0.06	124.64	121.51
Atg4b	0.0	0.0	0.0	0.0	0.87	62.67	0.95	41.69	58.21	1.57	11.69	1.64	1.64	0.19	0.11	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	140.13	0.0	0.28	46.22	47.58
BC023829	0.0	0.0	0.0	0.0	0.66	0.0	0.0	62.72	0.0	0.0	31.23	0.0	0.0	16.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	337.15	12.37	1.68	37.65	38.52
Begain	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	32.54	15.76	4.58	0.0	11.56	12.08	18.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.42	2.94	0.0	103.74	126.52
Birc2	0.0	0.0	0.0	55.67	1.65	45.26	73.99	3.3	0.0	0.0	49.34	5.92	0.0	95.07	153.68	0.0	0.1	0.23	0.25	0.0	0.2	0.0	0.0	374.12	0.0	0.13	28.27	26.13
Btbd1	0.0	0.0	0.0	0.0	79.71	12.69	4.07	0.0	0.26	0.0	36.96	0.0	0.23	160.69	0.0	0.0	0.0	0.0	28.28	0.0	0.0	0.0	0.0	276.42	0.0	0.0	115.62	119.93
C630020P19Rik	0.0	0.0	0.0	0.0	0.0	0.0	26.37	0.0	0.16	0.33	14.6	0.0	5.52	0.09	0.08	0.0	0.0	0.17	0.54	1.0	0.0	0.0	0.0	69.72	25.68	0.0	1.88	1.76
Calcoco1	0.0	0.0	0.0	0.0	0.0	0.0	35.57	74.22	0.14	3.0	9.25	12.05	0.0	0.0	42.12	0.0	0.0	0.0	633.8	0.0	0.0	0.0	0.0	175.95	0.0	0.15	65.64	68.73
Camk2a	0.0	0.62	0.23	0.3	114.67	75.74	59.93	40.4	10.48	34.98	22.97	22.22	60.09	90.74	49.43	0.19	0.08	0.48	1.04	0.67	0.5	1.64	0.13	99.84	17.73	3.33	1430.39	1416.19
Ccnd3	0.0	0.0	0.0	0.0	0.0	0.18	0.0	28.96	0.0	0.0	3.08	0.0	28.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.25	0.0	0.0	20.42	20.14
Cog5	0.0	39.63	0.0	0.0	9.92	0.0	6.31	3.95	34.22	61.43	12.71	0.0	0.0	10.8	2.68	0.0	0.11	0.0	25.53	0.0	18.89	0.0	0.0	203.26	0.0	0.0	22.67	20.68
Coro1a	0.0	0.0	0.0	0.0	534.57	155.76	325.09	68.99	117.11	121.1	155.03	27.84	86.81	396.05	46.01	108.4	2348.78	0.93	0.49	0.0	14.74	50.4	116.99	1283.29	118.7	2.38	121.71	148.71
