	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_56	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_37	Rbp4_tdTpositive_cell_16	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_85	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
0610009O20Rik	0.0	9.7	0.0	36.68	1.6	0.0	34.26	37.03	40.36	6.62	0.0	0.0	135.21	0.0	0.0	12.2	18.26	24.48
2010321M09Rik	0.0	156.8	11.61	179.79	0.57	0.0	0.0	6.79	79.16	82.4	0.66	162.09	67.23	65.81	0.0	34.85	27.05	47.57
2410002F23Rik	0.39	188.44	0.0	244.77	0.0	119.52	153.08	216.21	191.39	89.66	0.0	94.35	104.98	14.87	0.0	80.3	80.45	74.19
2810046L04Rik	0.0	0.0	0.0	52.91	0.13	0.0	0.04	0.0	37.18	0.0	3.48	0.03	0.06	0.0	0.0	3.56	1.03	1.6
2900056M20Rik	35.62	23.82	57.4	224.35	247.79	0.0	123.19	146.3	0.27	104.67	0.22	84.51	5.12	0.96	0.0	119.22	74.48	86.04
4930419G24Rik	0.0	0.1	0.0	19.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.67	1.36
Actr1a	0.28	0.11	1.65	301.29	281.13	0.0	241.69	8.47	43.48	57.7	166.23	103.14	10.02	112.08	5.81	100.96	85.84	74.97
Adcy8	0.0	0.23	0.0	68.45	0.0	0.0	0.0	0.0	0.12	0.6	0.37	0.0	0.0	0.0	2.5	1.17	0.47	1.91
Aldh5a1	0.0	0.0	0.04	32.04	0.0	0.0	0.0	0.02	0.05	0.0	0.0	0.39	4.56	0.0	0.0	4.39	8.62	6.51
Atp2b3	0.0	0.14	0.0	24.36	0.12	1.01	0.06	0.08	0.0	0.0	0.0	0.02	0.19	0.0	0.0	3.51	5.48	2.84
