	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_24	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_39	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810048J11Rik	0.0	0.0	0.0	0.0	11.1	125.75	0.0	0.0	0.0	97.75	0.0	0.0	8.26	0.11	4.82	13.16	1.99	2.0	10.79	64.07	1.27	22.48	0.0	0.0	75.76	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	26.14	25.48	24.51
2010321M09Rik	0.0	0.0	0.0	0.0	0.0	277.78	60.95	0.0	0.45	0.21	0.0	0.21	0.0	19.34	0.0	1.87	80.62	4.77	10.08	71.99	69.84	65.86	0.33	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.51	17.14	16.21
2610002I17Rik	0.33	0.0	0.0	1.3	0.0	287.17	0.0	0.0	0.63	0.0	0.0	408.01	44.3	54.28	38.39	0.3	0.21	0.4	46.44	0.39	0.27	0.0	0.31	0.0	1.1	0.5	0.33	1.13	0.0	0.05	0.0	126.55	0.0	8.73	11.71	10.94
4930474G06Rik	0.27	0.14	0.01	0.14	3.36	4.49	0.71	3.0	0.52	12.0	1.78	11.6	3.8	1.55	2.8	1.62	2.31	5.43	4.61	6.56	4.06	1.77	3.38	1.01	7.87	6.32	0.0	0.25	0.8	2.12	0.14	9.66	1.29	0.8	0.58	1.15
5830433M19Rik	0.0	0.0	0.0	0.0	0.0	32.15	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.08	0.0	14.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.78	7.3	7.42
6430548M08Rik	0.0	0.0	0.0	0.0	97.95	17.95	0.0	0.0	0.46	0.0	0.0	0.21	3.62	6.97	0.23	13.09	0.23	9.23	22.67	20.13	3.35	0.55	0.09	0.0	0.26	0.21	0.0	0.0	0.0	28.78	0.19	6.28	0.0	138.81	137.15	144.03
9230009I02Rik	0.0	0.0	0.0	0.0	0.24	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.16	0.0	0.0	0.0	0.75	0.16	0.45
9430018G01Rik	0.0	0.1	0.0	0.0	0.18	2.15	0.0	0.81	0.39	0.0	0.0	0.65	0.39	0.0	0.43	0.01	2.36	0.39	11.58	2.02	0.54	0.25	1.71	0.0	0.18	0.3	0.4	0.16	0.77	0.24	0.1	0.59	0.2	0.29	0.16	0.29
Adamts19	0.0	0.0	0.0	0.0	0.0	2.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.48	0.41
Baiap2	0.0	0.2	0.0	0.0	136.3	591.69	0.0	0.0	75.88	0.0	0.0	0.87	200.98	90.37	96.15	64.49	135.55	99.68	47.41	53.85	91.46	168.77	0.0	0.0	74.69	0.0	0.0	0.63	0.0	86.75	0.57	110.1	0.0	230.8	247.09	237.92
