	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Chrna2_tdTpositive_cell_81	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_50	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_102	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_16	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_15	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110021L09Rik	18.26	3.08	3.9	4.13	1.73	3.16	3.08	5.89	47.37	0.0	2.65	37.07	3.59	1.04	2.46	3.07	2.16	1.89	8.31	0.22	6.31	6.59	3.9	6.28	13.4	3.58	5.03	1.02	0.22	1.6	0.0	3.12	5.68	2.09	19.74	3.56	2.92	1.71	0.0	6.45	6.24	21.04	22.09	23.35
2010015L04Rik	8.39	1.29	0.64	10.16	5.27	17.07	8.56	12.31	1.33	0.0	0.14	11.91	9.43	1.73	5.45	5.74	0.14	1.57	8.4	3.54	8.95	11.88	101.57	7.99	2.04	6.37	1.61	1.29	11.46	0.11	0.0	0.0	2.13	5.91	23.59	0.25	0.62	5.45	1.88	14.17	14.43	26.78	23.24	23.3
2810006K23Rik	6.03	13.28	7.61	5.95	6.39	11.32	10.12	13.92	4.85	0.0	13.97	188.37	22.15	10.66	11.29	31.39	6.26	13.71	26.53	7.03	7.41	20.05	18.79	26.1	53.58	12.78	12.02	2.26	9.76	15.38	4.93	5.78	5.85	7.38	16.67	0.88	7.6	8.45	1.31	293.46	32.16	22.2	19.64	21.4
9230116N13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.52	0.0	0.2	0.0	0.12	0.0	0.0	0.0	0.0	0.94	0.0	0.29	0.42	0.53
Acbd6	15.53	0.0	8.94	0.0	0.0	0.75	0.22	2.9	0.49	0.0	0.0	9.04	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.37	0.0	0.0	0.0	5.03	0.0	0.79	0.0	0.0	0.74	0.0	0.0	0.0	0.0	34.6	0.0	0.0	0.0	0.0	69.6	6.4	56.59	68.62	59.92
Adck5	0.08	0.0	0.0	0.0	0.0	0.18	0.0	0.0	81.06	0.0	26.11	0.0	0.0	0.0	0.0	0.0	0.0	7.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.33	0.0	0.0	0.0	0.0	0.0	0.0	4.62	0.0	0.0	0.0	0.0	347.19	7.39	11.41	14.94	14.6
Aoc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.03	0.25	0.56	0.31
Aptx	0.03	0.0	34.79	0.0	0.0	51.58	51.43	0.11	67.43	0.0	55.37	69.5	0.14	0.0	0.0	0.0	93.67	25.35	0.0	15.37	57.13	0.0	32.52	241.04	72.28	0.0	48.41	0.0	115.19	0.0	0.0	0.0	0.08	0.0	20.88	0.0	181.65	0.0	0.0	272.41	25.58	13.32	13.39	13.07
Arhgef40	0.0	0.0	0.0	0.23	0.0	15.42	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	3.21	0.0	0.77	0.0	0.91	4.36	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	63.92	0.43	9.71	10.13	10.21
Arl4c	30.05	37.77	0.0	0.0	242.47	81.22	2.9	61.86	0.0	0.0	54.23	161.58	111.58	0.09	0.0	56.4	294.4	208.02	131.87	22.94	125.88	0.17	109.6	20.31	0.0	1.05	0.19	0.0	9.25	0.0	0.0	0.0	0.0	0.0	11.29	0.0	0.1	14.73	0.0	398.05	0.0	36.08	39.32	37.31
