	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_17	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Abcb1a	0.0	410.09	407.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.04	19.43	21.98
Actr1a	106.72	304.39	595.9	83.84	29.46	17.15	6.61	7.4	0.27	0.0	0.0	0.22	74.79	0.0	1.27	168.62	172.26	171.05
Anxa3	0.26	1094.69	1842.48	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	1.9	0.0	0.0	0.0	13.23	12.93	15.07
Anxa7	59.94	281.24	413.29	6.83	97.71	0.57	62.54	20.17	0.0	0.0	0.0	0.0	59.84	0.0	0.0	69.18	68.85	63.22
Arhgap30	0.0	1.76	1.51	0.0	0.38	0.76	0.63	0.52	1.59	0.0	1.27	0.15	0.5	0.0	0.0	2.4	1.67	2.31
Arhgef12	0.0	155.9	33.86	12.73	12.39	1.07	7.01	0.0	0.07	0.0	13.8	0.0	1.65	3.34	0.0	81.47	74.79	84.17
Arl4a	0.0	1442.42	985.09	5.76	2.46	0.22	30.71	4.79	0.2	0.0	0.0	0.13	14.44	0.32	543.35	25.16	25.88	27.04
Arpc2	33.51	419.5	333.87	178.52	187.35	87.78	209.94	197.87	0.46	234.9	0.0	0.38	217.99	0.0	0.0	241.89	250.26	236.95
Atm	0.0	59.44	81.66	1.28	17.94	0.0	1.99	1.7	7.43	13.94	0.18	1.18	20.0	0.75	0.33	8.51	7.1	8.33
Ccdc141	0.0	156.83	252.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	7.78	7.48	9.07
Cd34	0.0	1370.98	0.13	60.52	144.85	45.16	62.53	0.0	0.0	0.0	0.0	0.0	23.94	0.0	0.0	67.76	69.88	65.89
Cd59a	0.0	979.46	1405.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.57	8.0	5.82
Creb3l2	0.0	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	5.84	5.34	6.09
Ddx58	1.51	134.82	25.22	0.4	0.19	0.5	0.42	6.51	2.49	3.72	0.86	0.12	0.51	0.21	1.65	3.58	2.86	3.2
Degs2	0.0	1474.0	1064.78	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	6.9	7.8	6.8
Ech1	0.37	832.41	1057.29	0.0	81.01	0.0	0.0	116.69	1258.77	0.0	0.0	0.0	96.74	23.63	0.0	60.56	59.38	60.51
Egfl7	0.0	1651.04	580.37	0.42	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.47	44.71	41.89
Egflam	0.0	174.27	115.4	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	1.97	1.95
F11r	0.51	1772.51	679.92	0.19	0.0	0.76	0.23	0.0	0.95	1.45	0.0	109.94	0.36	0.44	4.09	6.61	5.16	6.02
Fn1	0.0	422.28	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.05	18.19	18.24
Fxyd5	1070.72	2036.31	1183.23	0.0	0.0	38.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.87	23.16	19.87
Gatsl3	0.0	420.27	352.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	3.58	2.86
Gm17757	0.0	80.09	25.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.14	0.28
Gm3435	0.0	199.69	0.0	5.97	15.55	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.08	0.0	51.04	2.57	3.98	2.93
Heph	0.0	4.18	2.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	3.35	2.94
Hmcn1	0.0	19.05	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	1.22	1.26
Icam2	0.0	3291.46	1905.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91	4.31	4.36
Il15	0.0	265.3	221.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	1.33	0.97
Ip6k1	0.0	246.27	103.13	37.47	37.18	155.38	85.55	14.15	221.67	1.04	0.0	0.13	0.71	0.0	0.0	145.75	151.74	145.31
Irgm2	0.42	255.22	218.92	0.16	0.2	0.0	0.83	0.23	0.76	0.0	0.0	0.54	0.34	0.0	0.98	4.34	2.59	3.41
Lactb2	4.29	395.46	75.58	3.71	14.23	15.7	9.8	4.54	14.55	24.89	21.26	28.14	5.56	7.66	6.5	19.22	18.34	21.78
Larp4	0.0	149.05	0.05	17.14	24.81	23.56	27.12	8.6	0.0	0.0	0.22	0.0	15.33	0.0	0.0	24.54	21.04	21.72
Layn	0.0	735.13	0.0	0.0	0.0	0.0	15.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.12	3.93	5.06
Lef1	18.68	205.29	156.78	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.38	4.0
Ly6e	0.89	3550.84	5213.36	157.82	52.78	180.19	395.25	272.68	0.79	1.26	556.76	3476.94	461.69	0.0	0.66	157.25	163.58	168.45
Mir690	26828.41	2446.74	19376.41	39867.27	42000.18	37370.15	37614.4	32522.04	44948.68	42282.55	27759.51	35532.88	48007.3	26521.64	19413.83	1.35	1.29	0.95
Msi2	0.0	74.03	47.06	9.89	0.0	3.7	2.07	0.67	0.11	0.0	0.0	14.91	9.2	0.0	0.0	44.44	40.26	47.04
Msl1	171.75	193.13	0.07	20.39	2.78	0.21	38.98	3.78	0.18	0.36	0.0	16.37	27.64	0.0	0.0	91.29	90.01	88.95
Nfya	0.0	28.97	1.14	0.0	0.29	0.22	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	16.66	14.68	18.19
Npepps	0.0	262.39	0.0	3.05	16.12	1.36	25.91	32.53	0.35	0.0	0.0	0.0	33.01	0.25	3.07	98.16	102.18	101.14
