	Chrna2_tdTpositive_cell_63	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_67	Cux2_tdTpositive_cell_69	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_143	Rbp4_tdTnegative_cell_8	Scnn1a.Tg2_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1
1190007F08Rik	17.7	29.39	0.0	0.0	0.0	0.0	0.0	2.45	0.0	0.0	0.0	0.0	41.97	6.19
5730494N06Rik	29.42	201.65	0.0	0.0	11.96	1.2	6.42	120.95	0.0	0.47	0.0	0.0	0.55	39.61
9030418K01Rik	33.52	91.83	0.0	0.0	0.0	1.92	0.0	24.12	3.58	0.0	0.0	0.0	0.0	36.44
Ankrd9	1.99	4.91	0.0	0.0	0.22	0.11	0.18	24.98	0.0	0.0	0.0	0.0	0.0	8.46
Aspscr1	61.01	3.57	0.0	0.0	0.0	0.76	0.6	29.74	0.0	0.0	0.0	0.0	0.0	39.68
Atmin	21.63	89.17	0.18	0.0	0.46	3.93	6.76	9.85	3.44	0.0	0.0	0.0	0.0	47.28
BC048355	51.27	92.91	11.69	1.45	0.0	0.97	4.86	5.24	0.0	4.57	2.49	0.0	2.04	6.06
Bcl2l2	51.03	106.33	0.0	0.0	4.25	0.42	5.25	66.65	0.0	0.61	0.0	0.0	0.0	106.04
C330006K01Rik	17.88	58.68	0.75	0.31	0.28	7.81	0.44	1.73	0.0	0.18	0.09	0.26	0.0	15.66
D17Ertd648e	2.14	3.73	0.0	1.09	0.0	0.0	0.89	1.75	0.0	0.0	0.0	0.0	0.0	11.77
Fbxo30	47.7	0.65	0.15	0.27	0.78	0.33	0.41	0.28	0.0	0.4	0.33	0.0	0.0	4.97
Fras1	14.5	10.46	0.0	0.0	0.0	8.72	16.31	0.15	0.1	0.0	0.0	0.0	0.0	9.06
Glt8d1	64.73	85.39	0.95	2.08	2.94	27.83	2.04	108.02	0.0	13.22	1.63	0.22	17.34	31.52
Gtpbp3	6.14	1.56	0.17	0.51	0.3	0.53	1.02	21.22	0.73	0.98	0.55	0.0	1.16	17.5
Jdp2	11.32	1.07	0.0	0.37	0.0	0.38	0.59	10.67	0.0	0.0	0.0	0.0	15.64	54.04
Lphn1	69.64	142.11	50.37	22.15	29.11	43.77	38.93	126.42	13.27	35.29	30.03	3.52	108.15	185.96
Lrrc61	58.63	2.17	0.79	0.0	0.5	0.36	0.98	7.19	0.7	0.15	0.61	0.17	1.27	19.37
Me3	32.27	35.87	1.78	0.69	0.81	0.4	0.88	9.51	1.64	1.28	1.21	0.22	1.18	40.82
Mfn2	152.55	292.65	77.84	0.0	62.4	94.95	166.19	33.21	34.04	129.67	78.8	4.48	0.3	140.3
Mtmr12	52.81	5.39	0.0	0.0	1.07	4.63	1.2	18.78	3.91	0.0	0.0	0.0	0.0	28.16
Nrn1	3340.55	1744.46	4039.33	3038.54	4390.92	3860.05	2548.21	2328.22	2946.84	3506.02	5153.74	1611.79	4928.08	308.6
Psmd3	10.74	51.18	0.0	0.0	0.0	1.76	0.85	0.0	0.0	0.33	9.67	0.0	0.0	128.29
Sco1	22.87	20.46	4.85	4.43	4.97	6.15	6.99	11.44	3.76	4.08	5.79	1.48	5.46	6.54
Tle3	17.38	33.35	0.0	0.0	0.43	0.0	0.0	35.62	0.0	0.0	0.0	0.0	0.0	17.78
Tm9sf2	89.98	194.3	2.1	33.67	0.0	125.79	166.1	175.48	57.36	109.66	1.08	28.19	61.23	117.92
Tm9sf3	72.63	164.38	41.02	0.0	19.21	23.45	75.48	44.27	25.7	27.74	11.29	15.51	0.21	83.98
Tmem132b	35.15	138.17	0.96	0.0	10.16	20.24	16.49	37.47	4.89	0.0	6.65	0.0	0.0	63.03
Tmem55b	25.2	76.81	0.0	0.21	21.25	0.3	11.92	5.2	0.43	18.68	0.0	0.0	0.0	64.05
Ube2l6	104.06	174.17	3.37	13.1	162.6	44.43	17.93	37.89	5.6	0.0	3.57	2.56	56.64	19.32
Uck1	33.57	121.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.96
Zmiz2	61.59	129.77	87.05	12.4	0.29	54.07	1.72	86.67	0.71	6.86	0.0	0.0	54.9	156.03
