	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4933407G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.45	0.68	0.0	0.0	0.0	0.47	0.26	0.0	0.86	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	1.29	0.0	0.16	0.27	0.65	0.38
A930011O12Rik	1.59	34.61	5.47	57.98	82.08	0.31	0.0	10.57	25.04	5.25	14.21	39.66	17.66	0.78	8.8	54.81	55.12	14.92	61.38	61.68	2.84	62.49	36.92	35.86	6.84	60.69	68.0	111.97	117.1	143.1	12.22	73.61	7.9	34.53	130.41	125.17	129.06
Atp5d	30.45	35.46	99.41	116.91	173.0	1.41	56.77	22.51	50.04	64.24	100.75	63.36	50.62	154.22	85.03	93.09	62.91	11.69	50.22	78.57	17.69	216.15	34.47	23.67	71.42	64.22	83.66	150.77	69.46	328.79	38.99	249.41	347.34	119.25	268.79	314.1	289.14
Bmyc	0.0	2.16	13.67	31.77	41.93	0.0	0.0	22.69	15.32	0.0	27.91	67.52	36.57	27.67	6.79	9.71	2.28	0.0	0.0	0.0	0.66	125.74	4.47	0.32	30.61	62.24	10.36	4.56	4.71	52.46	49.12	89.6	57.15	2.91	78.33	105.81	84.23
Ccl27b	0.0	9.27	0.0	2.51	1.67	0.0	0.0	6.15	8.29	0.0	0.77	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.31	0.0	1.43	0.0	0.0	2.62	1.92	9.42	2.09	8.14	1.56	0.0	1.16	2.37	9.34	30.63	28.29	22.96
Ccnl2	0.0	0.0	0.0	1.31	0.17	0.0	70.22	2.16	0.0	28.79	0.0	12.97	10.96	0.0	0.22	10.06	27.86	0.34	0.0	0.0	5.4	15.17	3.23	0.57	27.17	0.0	47.67	0.0	56.02	65.16	23.0	65.63	40.64	30.58	67.82	67.62	63.92
Evl	0.0	20.15	0.0	25.73	44.71	0.68	39.71	0.77	5.66	0.0	2.24	19.08	15.78	59.88	32.92	13.22	0.0	0.22	12.95	0.0	10.95	58.53	38.69	31.48	5.14	17.3	14.32	22.85	0.0	52.77	0.0	59.35	56.19	54.73	111.96	118.37	113.45
Fam134a	0.12	8.75	47.5	75.05	60.29	0.49	13.75	2.81	35.9	25.07	24.97	129.27	0.75	28.78	82.88	76.3	49.88	0.0	0.0	75.63	0.0	42.82	9.24	11.97	53.94	9.54	90.35	3.93	62.74	26.49	0.34	86.18	91.45	1.1	190.64	202.99	193.58
Fam189a2	0.0	0.0	0.0	13.06	22.09	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.45	0.0	0.0	2.65	0.0	1.64	11.4	0.15	0.98	0.0	0.0	0.0	0.0	46.46	0.1	0.0	9.22	10.66	9.0
Gm12191	105.22	212.0	116.78	511.96	610.52	0.0	309.93	304.26	230.08	481.38	158.2	104.5	170.26	211.05	165.73	175.52	179.74	149.89	153.37	422.42	207.62	472.39	127.94	261.09	289.53	161.59	534.3	137.33	242.41	197.07	219.38	1112.69	223.21	214.72	382.8	378.58	365.32
Gm13306	0.0	9.27	0.0	2.51	1.67	0.0	0.0	6.15	8.29	0.0	0.77	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.31	0.0	1.43	0.0	0.0	2.62	1.92	9.42	2.09	8.14	1.56	0.0	1.16	2.37	9.34	30.63	28.29	22.96
Gm2506	0.0	9.27	0.0	2.51	1.67	0.0	0.0	6.15	8.29	0.0	0.77	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.31	0.0	1.43	0.0	0.0	2.62	1.92	9.42	2.09	8.14	1.56	0.0	1.16	2.37	9.34	30.63	28.29	22.96
