	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_24	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610011L14Rik	0.0	0.0	16.64	0.05	2.14	1.18	0.0	0.0	0.0	28.42	26.3	28.96	28.18
1190002N15Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.26	0.48	30.92	30.7	33.72
9530027J09Rik	0.0	0.91	0.0	0.0	0.17	0.58	0.0	0.09	0.0	0.0	0.64	0.41	0.79
A430092G05Rik	0.0	0.0	0.0	0.0	0.31	0.25	0.0	0.0	0.6	0.0	0.17	0.0	0.11
Amz2	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.37	22.84	40.25	39.59	38.84
Ankrd26	5.39	0.0	2.2	0.0	6.34	1.43	0.0	0.0	0.0	32.53	9.23	7.31	9.01
Atp1a3	0.0	0.0	92.32	0.0	230.43	88.03	0.0	0.0	5.1	186.04	1301.98	1411.72	1359.05
B3gat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.96	8.07	9.18
Barx2	0.0	0.0	68.64	0.0	0.0	1.82	0.0	0.0	0.0	0.0	5.11	6.27	6.13
Bdnf	0.0	0.0	0.13	0.0	0.25	0.05	0.0	0.0	1.3	0.0	17.6	15.24	14.28
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Camk1	0.0	0.0	0.0	0.0	10.54	0.0	0.0	0.0	0.0	0.34	83.62	90.44	84.66
Ccdc124	0.0	0.0	7.9	0.0	0.0	77.51	0.0	0.0	3.62	58.97	127.19	142.67	147.5
Ccl27b	0.0	0.0	9.17	0.0	17.08	20.98	0.0	27.72	0.81	11.75	30.63	28.29	22.96
Celsr2	0.0	0.0	9.22	0.03	21.02	4.4	0.0	0.08	0.1	4.34	73.45	73.3	82.99
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chpf	0.0	0.0	22.89	0.0	1.25	0.0	0.0	0.0	0.0	10.92	61.67	77.14	69.66
Cyb5d2	0.57	1.13	1.35	1.08	145.83	0.65	0.32	2.32	1.19	33.8	13.72	13.28	12.14
Dcun1d4	0.0	0.0	0.0	0.0	1.11	0.0	1.1	0.0	1.3	18.6	79.78	77.04	73.03
Dcx	0.16	0.16	0.0	0.0	3.37	0.02	0.0	0.13	0.58	0.15	16.93	15.75	19.0
Ddhd1	0.0	0.68	36.49	0.03	9.46	6.38	0.0	148.97	330.88	17.34	40.93	39.9	44.79
Dhx9	0.0	0.0	60.93	0.0	0.0	0.14	42.98	0.0	0.0	0.1	81.38	76.79	79.75
Drap1	0.0	0.0	56.44	0.0	22.55	0.73	0.0	451.07	0.0	22.8	214.05	241.21	236.87
Exd2	0.0	0.0	0.0	0.09	0.44	0.06	0.17	0.0	1.58	0.43	79.47	79.52	80.61
Fcrl5	0.0	0.0	0.0	0.66	3.25	0.15	0.0	0.0	0.0	0.0	0.2	0.19	0.12
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gimap1	0.0	0.0	0.0	9.94	30.61	32.28	0.0	103.93	52.06	2.37	10.71	9.7	13.05
Gm13306	0.0	0.0	9.17	0.0	17.08	20.98	0.0	27.72	0.81	11.75	30.63	28.29	22.96
Gm14430	1.53	0.0	0.06	0.0	5.63	7.21	0.0	0.0	0.06	0.0	7.67	5.07	7.49
Gm14434	1.53	0.0	0.06	0.0	5.63	7.21	0.0	0.0	0.06	0.0	7.67	5.07	7.49
Gm2002	0.0	0.0	0.0	0.0	0.83	0.13	0.0	0.17	0.0	0.0	1.73	1.86	1.4
Gm2506	0.0	0.0	9.17	0.0	17.08	20.98	0.0	27.72	0.81	11.75	30.63	28.29	22.96
Gm4724	1.53	0.0	0.06	0.0	5.63	7.21	0.0	0.0	0.06	0.0	7.67	5.07	7.49
Grik3	0.0	0.06	0.23	0.07	3.44	10.22	0.0	0.24	0.7	0.05	37.3	36.28	36.36
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
