	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500015A07Rik	0.0	0.0	42.03	0.0	0.0	0.0	4.7	0.0	0.0	14.64	50.5	0.0	0.0	0.0	0.0	0.0	37.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4	3.37	0.0	0.0	0.0	5.33	5.17	5.06
AI429214	32.58	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.4	0.23	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.21	0.19	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	3.3	3.29	3.74
Agps	0.0	0.0	0.23	0.11	0.0	2.03	0.35	3.88	0.0	2.51	19.08	5.72	5.27	22.74	5.26	0.0	12.23	2.6	0.16	2.04	4.84	0.05	5.33	3.3	0.44	7.33	0.42	26.65	0.0	17.77	17.06	17.29
C430002E04Rik	0.0	0.32	0.0	0.15	0.0	0.61	0.39	0.41	0.19	0.29	0.57	0.41	0.39	0.17	0.0	0.26	0.59	0.24	0.53	0.3	0.2	0.2	0.22	0.58	0.01	0.66	0.77	0.76	0.0	1.42	0.89	1.07
Ccl27b	0.0	0.0	9.27	2.09	0.0	10.4	2.51	0.6	1.67	0.76	5.68	0.0	1.65	0.0	0.0	0.3	2.37	0.0	0.0	2.94	0.0	0.0	0.74	2.17	9.34	40.26	0.0	0.0	0.6	30.63	28.29	22.96
Cecr6	0.08	0.0	0.12	0.0	0.0	0.5	0.0	0.0	0.0	0.0	5.74	0.0	0.0	0.23	0.0	0.06	0.1	0.15	0.0	0.24	0.0	0.0	0.0	1.55	0.04	3.0	0.0	0.54	0.0	48.26	48.63	46.62
Dusp19	14.18	0.0	38.03	0.0	0.0	0.0	0.0	11.17	0.0	0.0	53.06	26.67	2.95	53.75	0.0	0.0	26.64	3.98	0.0	0.0	0.0	0.0	25.21	0.0	0.0	22.54	20.32	0.0	0.0	23.2	18.78	23.96
Gm13306	0.0	0.0	9.27	2.09	0.0	10.4	2.51	0.6	1.67	0.76	5.68	0.0	1.65	0.0	0.0	0.3	2.37	0.0	0.0	2.94	0.0	0.0	0.74	2.17	9.34	40.26	0.0	0.0	0.6	30.63	28.29	22.96
Gm2506	0.0	0.0	9.27	2.09	0.0	10.4	2.51	0.6	1.67	0.76	5.68	0.0	1.65	0.0	0.0	0.3	2.37	0.0	0.0	2.94	0.0	0.0	0.74	2.17	9.34	40.26	0.0	0.0	0.6	30.63	28.29	22.96
Hist1h2bq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.13	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.18	0.19	0.0	0.15	0.0	0.38	0.28	0.38
