	Chat_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_23	Sst_tdTpositive_cell_65	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009C05Rik	0.0	0.0	0.0	0.0	0.39	0.12	0.13
1700009J07Rik	0.0	0.0	0.0	0.0	0.11	0.0	0.11
4930528F23Rik	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Adamdec1	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Apob	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Capn13	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc135	0.0	0.0	0.0	0.0	1.04	1.21	1.08
Ccr3	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Cd72	0.0	0.0	0.18	0.0	1.37	1.6	1.82
Ceacam15	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Clec12b	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cyp3a57	0.0	0.0	0.0	0.0	0.06	0.0	0.06
D330045A20Rik	0.0	0.0	0.0	0.0	0.32	0.35	0.27
Dnajc5b	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Fmo4	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Glipr1l1	0.0	0.0	0.0	0.0	0.23	0.0	0.23
Gm12633	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm1647	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gzma	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Invs	0.28	0.3	0.77	0.36	7.81	7.46	8.44
Kcne2	0.0	0.0	0.0	0.0	0.29	0.17	0.36
Kctd19	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Krt28	0.0	0.0	0.0	0.0	0.13	0.44	0.35
Larp1	0.0	0.46	2.93	0.7	53.52	50.27	54.8
Lect2	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Ltf	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Lyst	0.0	0.14	4.1	0.27	17.51	14.99	20.29
Muc4	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Olfr15	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Pcdha12	0.0	0.0	1.01	0.0	10.93	11.99	10.53
Pcnxl2	0.0	0.0	19.14	3.45	45.59	44.85	48.1
Prph	0.0	0.0	0.15	0.0	1.85	2.26	2.49
Prps1l1	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Raet1d	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Rnase13	0.0	0.0	0.0	0.0	0.17	0.0	0.17
Sct	0.0	0.0	0.0	0.0	0.21	0.0	0.21
Slfnl1	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Spnb1	0.0	0.0	3.9	0.09	53.65	51.12	57.7
Tcstv1	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tln2	0.28	1.53	7.12	8.74	35.9	34.01	36.54
Tlr13	0.0	0.14	0.51	0.23	1.77	1.39	1.9
Trim29	0.0	0.0	0.0	0.0	0.07	0.16	0.04
Usp26	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.0	0.04	0.0	0.04
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
