	Cux2_tdTpositive_cell_75	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_16	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_122	Scnn1a.Tg2_tdTpositive_cell_19	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_57	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_83	Vip_tdTpositive_cell_55
0610030E20Rik	0.57	4.79	0.0	0.81	1.86	2.12	0.74	10.06	2.06	1.61	4.8
2310003C23Rik	1.87	26.83	2.59	2.39	4.12	34.37	0.12	104.75	37.21	1.02	6.42
2310010M20Rik	19.34	77.99	2.11	7.82	13.1	36.37	2.39	42.97	26.0	20.45	36.66
5430427O19Rik	5.59	13.02	0.0	6.57	4.36	8.67	1.08	13.26	4.3	13.4	4.82
Abcc9	1.34	0.0	0.0	0.74	0.28	0.88	0.1	1.46	1.13	1.05	1.26
Ahsa2	130.49	0.0	84.98	23.67	0.0	71.82	71.25	153.67	40.34	0.0	158.82
Atad2b	0.0	0.0	0.0	38.56	0.08	4.61	0.0	32.17	0.0	9.9	72.46
Axin2	0.31	1.61	0.0	18.14	0.16	5.67	0.0	3.61	0.0	0.0	4.68
Bard1	0.0	1.5	0.05	0.0	0.29	0.42	0.04	0.52	0.46	0.3	0.65
Camsap2	0.0	53.8	0.0	4.24	79.45	46.92	0.0	48.87	0.09	0.2	0.23
Cd274	0.64	1.13	0.37	0.0	0.6	1.25	0.2	2.07	0.32	0.45	1.86
Clcn3	122.59	757.98	143.97	244.25	116.83	152.69	61.69	297.2	78.97	143.51	489.51
Crebzf	0.0	0.0	0.0	2.11	0.0	56.74	0.0	76.13	8.59	0.0	0.0
Dub1	11.1	17.55	1.79	7.39	4.27	13.41	1.99	12.52	8.67	9.81	7.14
Egfr	0.59	2.01	0.0	0.26	0.0	0.96	0.14	1.08	1.23	1.85	1.86
Elmod1	26.66	0.0	0.46	39.87	36.86	61.98	5.67	117.16	64.17	53.9	0.23
F11r	0.94	3.73	0.0	0.19	0.0	0.9	0.0	1.41	0.81	0.75	0.32
Fastkd1	1.62	12.21	0.52	2.94	2.74	38.63	0.09	71.89	3.3	0.74	3.88
Gm10636	0.0	1.95	0.0	0.38	0.3	4.6	0.58	3.68	1.79	0.68	2.44
Gm10845	183.44	380.41	99.99	47.8	147.99	165.95	48.69	271.43	165.1	93.46	368.07
Gm14430	26.51	73.95	0.0	1.95	15.54	18.0	0.0	40.04	2.35	0.0	23.93
Gm14434	26.51	73.95	0.0	1.95	15.54	18.0	0.0	40.04	2.35	0.0	23.93
Gm2002	0.2	0.0	0.0	0.0	0.0	4.52	0.12	37.52	0.41	0.1	0.0
Gm4724	26.51	73.95	0.0	1.95	15.54	18.0	0.0	40.04	2.35	0.0	23.93
Gm4791	38.44	178.76	0.0	16.95	23.82	36.23	11.83	87.77	37.75	35.84	79.9
Gm5065	1.91	5.22	0.08	0.76	0.5	2.36	0.19	2.76	1.31	1.97	1.26
Gm6307	5.49	5.27	0.0	2.25	1.93	8.32	0.68	13.09	5.96	3.16	12.33
Gm9926	0.86	0.04	0.0	0.19	0.68	1.07	0.07	1.27	0.3	0.92	1.61
Gng7	0.0	0.86	0.0	0.0	0.0	0.48	0.07	0.26	0.08	0.0	0.71
Grpr	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.23	0.09	0.0	0.98
Hdx	0.0	0.0	0.0	0.0	0.0	52.92	0.0	52.56	0.0	3.64	0.0
Hspb7	1.31	0.37	0.15	0.0	0.02	0.92	0.17	1.4	0.87	0.59	1.09
Il11ra2	0.2	0.0	0.0	0.0	0.0	4.52	0.12	37.52	0.41	0.1	0.0
Il17ra	0.0	0.78	0.0	0.0	0.0	62.2	0.17	9.94	0.5	0.42	0.97
Inha	0.0	0.0	0.0	138.2	2.86	75.01	0.0	122.75	82.18	49.4	0.42
Kcnmb1	0.47	1.17	0.0	0.34	0.0	0.61	0.11	0.55	0.32	0.25	0.28
Ms4a15	0.0	0.0	0.0	0.83	0.0	0.96	0.0	1.02	0.19	0.63	0.68
Myo1e	3.79	4.56	0.72	2.66	2.52	24.22	1.9	6.51	6.47	3.31	6.72
Nfyb	0.0	0.0	0.0	29.44	16.13	216.8	0.0	162.92	173.73	0.0	0.0
Nkain3	1.97	5.95	1.1	1.82	1.83	7.27	1.62	7.18	4.65	2.17	9.73
Nudt6	0.0	0.0	0.0	0.0	29.1	68.42	0.0	59.26	0.0	0.0	0.0
Ogfod1	30.54	0.92	0.0	1.18	8.25	91.07	42.38	89.86	39.94	0.8	175.92
Olfr536	0.34	1.67	0.0	0.42	0.18	1.56	0.0	1.88	0.29	0.65	1.12
Orc2	0.42	18.3	0.0	8.98	13.16	84.17	0.0	91.96	71.31	49.6	0.39
P4ha2	0.0	47.81	0.0	0.0	0.0	122.61	0.0	135.94	0.0	0.0	0.0
Pias2	96.91	128.0	123.28	0.14	55.91	118.76	3.0	100.12	50.05	28.33	50.53
Pml	0.0	0.0	3.3	0.0	0.13	1.13	0.0	45.46	0.55	0.0	0.0
Rbm27	0.0	3.73	11.3	1.88	3.78	57.08	17.31	63.05	0.0	9.21	121.62
Serinc1	3615.51	4359.09	2973.75	4559.03	3303.67	2525.44	2706.44	2790.47	4108.61	3750.01	4595.7
Ska1	0.05	0.0	0.0	0.0	0.0	0.33	0.0	0.44	0.0	0.0	0.23
Skint7	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.34	0.41	0.0	0.69
Slc17a8	17.77	47.81	0.06	8.74	11.78	22.98	0.87	16.38	15.18	13.13	13.41
Smek2	57.75	0.0	0.0	26.9	3.05	84.52	0.09	65.12	40.88	63.67	112.39
Stk11ip	0.0	0.05	10.21	3.9	0.0	51.56	0.0	60.69	1.7	0.0	0.0
Tatdn1	76.62	0.0	0.0	0.0	46.65	0.0	0.0	84.18	42.1	0.0	10.93
Tm9sf4	5.31	75.43	309.86	0.0	0.0	97.58	0.56	140.06	30.56	125.42	1.4
Ttyh3	2.39	12.16	0.0	0.0	0.29	14.74	15.13	8.8	1.47	0.0	23.07
Ube2c	3.31	2.02	0.33	1.57	0.7	4.87	0.26	5.19	3.48	1.72	5.97
Ube2e1	153.31	25.71	14.19	17.69	171.49	207.64	30.8	303.17	57.58	133.67	334.37
Ubp1	68.01	1.88	0.0	0.0	77.53	136.01	8.85	101.04	120.9	4.98	100.11
Wdr34	44.03	49.96	5.26	44.18	13.88	52.41	19.74	72.7	38.37	76.4	278.38
Xist	0.26	0.89	0.02	0.31	0.4	0.57	0.02	0.49	0.37	0.42	0.8
Zfp516	0.07	0.27	0.0	0.0	0.01	0.15	0.03	0.22	0.1	0.13	27.64
Znrf3	0.11	1.09	0.0	0.0	5.58	55.2	4.17	72.63	0.32	74.23	61.53
c11_tRNA-Ala-GCY_	0.0	130.61	0.0	50.97	0.0	166.99	0.0	62.74	0.0	56.7	69.92
