	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_73	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_11	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70
AI597479	0.39	0.0	0.0	40.08	36.88	44.85	0.0	0.0	101.78	0.0	0.0	172.83	157.38	1.48	64.07	52.87	0.0	0.0	0.0	336.29	5.4	0.0	10.47	0.0
Akap11	35.6	11.34	0.0	27.97	82.77	12.51	0.59	16.25	67.19	0.32	0.55	51.17	90.2	10.54	6.47	17.24	2.36	37.74	0.32	260.92	2.92	21.53	42.62	0.0
Arfgap2	5.6	43.75	0.0	35.48	62.74	49.04	0.0	94.27	0.2	0.0	0.0	8.47	283.39	65.3	48.89	48.28	0.0	0.0	0.0	326.04	21.15	0.0	98.21	0.0
Ciapin1	71.57	32.37	0.0	85.18	154.38	50.8	0.0	128.89	36.15	34.68	0.23	115.81	76.39	87.99	21.54	55.14	0.0	0.0	0.0	135.72	65.29	41.4	177.25	0.0
Cnr1	10009.06	14271.7	0.0	18446.25	33283.94	19184.04	0.5	19801.43	16437.47	6746.03	385.27	19681.78	1118.7	12520.63	22064.64	33041.05	0.0	194.72	0.0	4501.41	14288.55	25768.68	23267.78	1764.01
Ddx24	113.68	197.18	0.0	407.17	414.37	372.23	0.0	93.58	283.86	40.71	53.82	230.11	459.78	388.96	307.96	227.73	118.74	19.94	0.0	742.37	206.93	228.43	292.09	57.18
Etl4	33.3	179.79	0.0	182.97	181.84	127.46	0.0	114.14	175.02	0.05	0.0	103.11	5.0	156.83	175.8	151.7	0.0	0.0	0.0	146.53	2.15	151.87	117.26	0.0
Galnt14	45.44	61.3	0.0	109.87	146.38	230.54	0.0	313.57	193.31	0.0	0.0	229.67	582.6	82.32	399.14	201.08	0.0	0.0	0.0	376.54	155.57	317.09	301.53	0.0
Gm14325	57.32	1.39	0.0	40.28	27.55	130.15	0.95	10.77	70.43	0.25	11.58	27.61	88.28	14.21	15.07	25.64	0.0	0.0	0.93	94.07	0.36	18.25	17.99	17.92
Gm14430	1.01	38.86	0.0	11.32	15.9	5.49	0.0	11.55	2.02	0.0	0.0	56.93	97.85	9.16	11.59	0.17	0.0	0.0	0.0	39.65	0.0	22.08	3.76	2.33
Gm14434	1.01	38.86	0.0	11.32	15.9	5.49	0.0	11.55	2.02	0.0	0.0	56.93	97.85	9.16	11.59	0.17	0.0	0.0	0.0	39.65	0.0	22.08	3.76	2.33
Gm4724	1.01	38.86	0.0	11.32	15.9	5.49	0.0	11.55	2.02	0.0	0.0	56.93	97.85	9.16	11.59	0.17	0.0	0.0	0.0	39.65	0.0	22.08	3.76	2.33
Gpatch4	0.0	94.74	0.0	0.7	140.62	24.7	0.0	0.0	52.66	0.0	0.0	205.71	392.1	0.0	73.82	97.16	0.0	0.0	0.0	383.55	0.0	0.0	56.0	0.0
Iqcc	7.19	137.68	0.0	0.75	41.89	15.57	0.23	81.72	85.05	0.0	0.0	7.66	11.44	54.82	3.0	10.63	0.0	0.0	0.0	15.03	11.06	5.71	97.61	0.0
Lass4	185.46	93.15	0.0	6.54	42.59	46.69	0.17	167.06	82.14	0.34	0.0	65.21	179.21	54.61	111.01	75.63	0.0	0.11	0.0	274.18	160.61	22.7	43.19	0.0
Luzp1	0.0	0.0	0.0	0.05	14.14	0.15	0.0	0.0	0.61	0.0	0.0	0.0	49.11	5.39	1.26	15.2	0.0	0.0	0.0	67.57	13.23	0.0	14.35	0.0
Myst4	0.0	13.43	0.0	0.1	0.77	0.03	0.0	1.7	4.5	2.09	0.0	0.06	50.34	11.57	0.34	2.57	0.0	0.0	0.0	95.96	0.0	0.0	11.65	0.0
Pacsin1	1.64	21.19	0.0	11.79	2.62	0.05	0.0	0.36	0.97	0.15	0.0	2.34	66.76	61.32	10.53	35.68	0.0	0.0	0.0	22.91	38.63	1.65	212.35	0.0
Plekha1	0.14	0.11	0.0	68.9	13.86	28.93	0.0	56.64	74.19	0.0	0.0	0.0	206.86	14.97	14.29	45.18	0.0	0.0	0.0	203.27	0.0	60.47	89.63	0.0
Rab8b	6.44	61.75	0.72	0.88	19.09	37.21	0.0	121.72	0.94	0.81	1.28	3.48	180.78	25.23	50.94	17.13	0.0	0.07	0.28	292.21	1.36	0.7	0.08	2.94
Shisa5	0.0	437.28	0.0	97.79	66.22	258.59	0.0	31.24	224.34	0.0	0.0	229.87	417.02	188.29	66.73	128.87	24.6	0.0	0.0	269.65	198.91	47.25	114.46	0.0
Shisa9	4.08	51.69	0.0	8.8	62.75	57.1	0.0	31.12	175.46	0.0	0.0	0.09	102.65	30.86	114.54	68.11	0.0	0.0	0.0	122.07	6.76	35.19	35.53	0.0
Stoml2	52.68	160.83	0.0	231.14	28.58	81.75	0.0	73.6	39.36	0.0	0.0	113.92	179.73	64.36	81.95	130.38	0.0	0.0	12.36	204.16	69.15	0.32	109.75	0.0
Tax1bp1	123.18	152.9	0.14	174.27	282.27	151.97	0.15	93.39	403.73	0.0	90.6	261.25	289.84	170.98	328.99	114.94	0.0	1.43	35.24	371.9	185.92	171.86	161.89	46.0
Ube2n	297.91	424.09	0.0	185.6	538.95	352.96	0.0	189.26	528.44	192.01	13.47	414.02	690.17	300.74	434.82	239.57	0.0	0.07	179.01	543.94	338.35	243.38	306.42	165.3
