	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_13	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700030C10Rik	0.0	65.25	0.8	2.35	0.0	0.0	0.0	0.17	0.0	0.0	0.1	0.0	0.0	0.28	0.39	0.39	1.87	0.0	0.0	3.07	0.0	0.0	0.28	0.0	0.0	0.16	0.0	0.0	1.39	0.0	0.31	0.0	0.0	0.0	0.34	1.97	0.05	1.0	0.82	2.33	1.99	1.81
1700045I19Rik	0.0	63.57	0.0	0.0	0.0	0.0	0.0	21.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.51	1.03	0.96
2010107G12Rik	0.0	34.46	0.63	0.0	0.0	0.26	0.0	0.0	0.0	0.1	0.08	0.0	0.0	0.0	0.07	0.1	0.22	0.0	0.12	0.0	0.11	0.0	0.0	0.12	0.0	0.0	0.0	0.13	20.64	22.31	4.72	0.0	0.0	0.3	0.0	0.25	0.0	0.0	0.0	0.49	0.61	0.28
2210012G02Rik	6.79	55.36	0.89	9.37	2.31	19.33	0.0	52.54	9.07	0.03	0.21	0.0	6.18	11.23	8.2	7.03	0.15	2.18	0.47	9.53	6.77	17.16	21.19	0.32	18.22	10.74	4.85	0.09	0.0	3.2	16.06	0.16	20.39	9.36	8.08	0.22	0.0	13.72	12.29	8.29	7.97	8.43
2610203C22Rik	0.0	72.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.29	1.69	1.52	1.09
2810001G20Rik	2.97	127.11	91.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.89	0.0	77.1	0.0	0.0	64.6	48.55	0.0	14.73	2.25	24.8	50.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	9.91	0.0	46.57	0.0	0.0	0.0	7.97	23.17	14.51	18.7	22.0	21.17
3110021A11Rik	1.63	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.05	0.89
4930539E08Rik	3.3	41.46	3.02	1.21	1.73	2.73	0.0	4.7	9.34	3.65	1.8	1.79	2.57	1.95	1.81	4.12	4.04	3.18	2.03	2.9	2.41	2.41	2.87	3.25	3.73	1.13	2.94	1.6	1.8	1.51	5.49	2.05	2.11	2.76	1.65	3.85	1.37	4.8	4.82	9.63	8.55	9.86
4933439K11Rik	0.0	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.54	0.51	0.78
6330406I15Rik	7.06	63.51	6.16	3.49	49.38	15.31	0.36	8.86	15.07	7.1	7.87	19.77	17.78	43.13	15.51	5.43	8.51	6.26	8.62	7.1	6.24	5.71	5.7	9.69	7.24	6.93	6.54	11.94	7.24	4.46	26.39	0.0	11.14	13.44	4.32	11.81	2.98	10.81	12.78	14.73	15.47	17.18
