	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_8	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_50	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_67	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
5430437J10Rik	1.67	0.0	0.0	1.13	0.0	0.32	0.0	0.47	0.0	0.0	0.0	0.0	0.46	0.78	0.34	0.0	0.58	0.0	0.0	0.51	0.0	2.41	3.37	0.0	0.0	1.36	0.0	0.89	0.2	0.0	0.1
Acot11	0.21	0.54	0.21	0.06	0.07	0.04	0.19	1.28	0.23	0.0	0.0	0.26	0.33	0.23	0.22	0.05	0.11	0.21	0.32	0.5	0.41	0.64	1.23	0.73	0.0	0.62	0.07	0.0	18.55	16.97	18.44
Adarb1	6.34	0.5	1.58	2.54	3.53	10.44	0.65	1.4	4.78	0.0	0.19	0.35	30.02	34.38	1.27	26.28	1.68	0.79	0.98	2.85	38.25	69.55	29.74	2.72	0.14	17.09	0.0	0.86	89.82	88.96	96.44
Angptl7	1.28	2.04	1.29	1.68	0.79	1.1	2.94	1.91	3.24	0.0	0.0	1.22	0.48	2.87	1.46	1.24	1.83	0.37	0.7	2.11	3.15	8.41	5.41	1.79	0.62	4.14	0.03	1.16	1.96	1.09	1.64
Ankrd34b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.15	0.0	0.0	0.0	47.6	35.51	6.01	0.0	0.0	0.0	0.0	15.24	16.3	15.63
Asap1	0.35	0.0	45.43	24.65	65.18	17.62	0.1	7.72	0.0	0.0	8.85	0.0	0.38	53.14	112.93	12.69	23.13	134.5	0.09	77.82	13.56	339.37	53.17	37.99	0.0	0.0	0.0	0.11	88.98	80.34	86.8
B9d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.56	0.0	0.0	0.0	0.0	200.48	0.0	0.0	0.0	0.48	0.0	0.0	169.31	374.86	179.17	69.27	0.0	0.0	0.0	0.0	17.26	18.66	18.67
Birc6	26.46	13.4	55.15	5.83	11.05	9.76	6.34	21.11	24.99	0.0	2.48	78.4	60.99	44.24	13.32	7.48	16.32	12.56	54.74	40.86	40.36	139.25	5.26	63.81	0.73	24.74	12.89	11.98	32.65	28.87	33.37
Bri3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.7	0.0	4.09	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.23	172.71	49.18	2.57	0.0	0.0	0.0	0.0	41.39	53.52	47.46
Btnl9	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.13	0.0	0.0	0.18	0.0	0.0	0.08	0.0	0.0	0.03	0.0	0.48	0.66	0.09	0.0	0.16	0.0	0.0	0.12	0.11	0.04
C030039L03Rik	0.28	0.17	24.94	1.12	0.08	0.46	0.57	0.65	127.59	0.0	0.0	0.41	1.88	0.6	0.46	0.71	0.6	0.3	0.13	0.57	1.58	194.95	29.95	5.77	0.0	153.53	0.1	2.01	9.48	9.42	9.42
C130083M11Rik	2.21	2.53	1.83	6.26	0.0	1.72	0.48	2.91	1.6	0.0	0.9	1.28	0.78	4.25	1.76	3.06	2.14	0.18	5.07	6.17	6.44	9.1	6.88	4.32	0.0	3.64	0.0	1.27	3.38	3.61	4.76
Cdc40	70.42	0.0	0.0	0.0	0.0	0.0	0.0	158.07	0.0	0.0	0.0	41.45	0.0	0.0	102.41	35.76	1.45	0.0	0.63	18.47	0.0	264.75	33.45	35.1	0.0	30.23	0.0	0.0	38.12	37.83	36.56
Cdc7	0.11	81.02	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.3	320.34	40.26	0.0	155.19	0.0	11.1	12.79	11.83	13.24
Chfr	0.0	0.0	44.95	0.0	0.0	0.0	0.0	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.58	0.3	169.53	0.89	9.62	0.0	0.0	0.0	4.27	30.94	29.98	30.43
Csf3r	2.26	1.68	2.07	0.76	0.58	1.08	0.44	1.79	1.35	0.0	0.0	1.07	2.24	2.25	1.64	1.52	0.93	1.43	0.43	1.46	1.88	2.63	7.09	1.47	0.1	2.85	0.41	2.34	4.21	3.81	5.47
D330012F22Rik	0.87	0.42	0.45	1.25	0.49	0.26	0.78	0.17	0.58	0.0	0.0	0.13	1.79	1.16	0.7	0.5	0.5	0.55	0.75	0.97	0.92	2.5	238.87	6.56	0.0	2.08	0.0	0.37	5.35	5.2	6.08
Dnttip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	67.11	0.0	7.69	0.0	61.24	0.0	0.0	38.55	38.59	37.63
Ece2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	80.77	0.0	0.0	113.89	0.0	10.12	0.0	0.0	0.0	0.0	20.48	24.05	25.74
Ecm2	0.16	0.23	0.18	0.19	0.23	0.24	0.09	0.35	0.43	0.0	0.09	0.21	1.37	0.39	0.21	0.12	0.36	0.0	0.23	1.29	0.37	1.04	3.01	0.56	0.0	0.6	0.0	0.27	4.56	4.02	5.06
Elmo2	6.2	2.58	8.7	70.67	0.26	8.46	3.88	14.04	2.79	3.05	0.0	2.2	12.62	5.67	0.94	16.26	4.09	11.27	26.16	17.21	8.44	222.55	107.6	29.72	0.11	82.1	0.08	2.15	102.93	103.32	108.88
