	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310044H10Rik	0.66	0.0	3.49	0.3	219.19	78.17	18.34	15.11	29.19	56.23	48.3	2.65	6.24	3.03	6.98	8.9	1.95	2.07	0.58	0.0	8.91	215.98	240.68	232.45
8430431K14Rik	0.0	0.0	0.0	0.19	0.54	0.24	0.0	0.0	0.4	3.42	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	7.53	0.49	0.29	0.21
A630072M18Rik	1.28	0.17	0.42	1.44	3.93	2.43	0.2	2.98	2.27	1.76	1.44	0.39	0.33	0.62	0.89	0.16	0.63	0.61	0.0	0.83	1.22	4.79	4.03	4.74
Ak8	0.0	0.0	0.0	0.0	0.32	0.38	0.0	0.0	2.85	10.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	2.63	2.29
Anapc4	0.23	0.0	0.0	0.0	440.01	90.66	0.0	3.94	32.92	3.6	2.47	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	56.38	45.73	45.4	46.44
Atp5a1	221.13	0.24	0.0	0.0	1219.45	776.49	198.08	49.33	460.42	436.7	506.15	2.45	70.55	117.44	0.28	0.25	0.0	368.98	100.53	613.48	1017.33	790.7	845.35	780.37
Cap2	0.0	0.0	0.0	0.0	0.54	1.26	0.11	0.07	67.16	131.33	86.11	0.19	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.34	109.42	177.73	166.37	172.65
Copa	0.07	177.63	0.0	0.0	144.06	202.71	0.09	0.0	31.25	1.7	40.37	0.41	0.0	0.18	0.0	0.0	0.11	0.0	0.0	190.35	57.57	131.89	134.61	133.73
Ctnna2	0.0	0.0	0.0	0.0	0.12	92.82	0.0	0.1	15.93	5.37	0.47	0.06	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.39	7.9	89.21	93.31	92.12
Cytip	0.0	0.11	0.0	0.0	0.17	0.23	0.0	0.07	0.0	0.12	0.37	0.0	0.0	0.0	0.09	0.0	0.0	0.07	0.0	0.11	0.16	0.05	0.07	0.1
