	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_74	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16
AK010878	47.53	3.15	17.29	87.9	142.71	130.01	40.44	48.45	12.21	156.26	64.42	176.93	237.2	51.79	50.35	21.29	16.67	116.05	5.37	138.06	75.37	53.09	6.3	24.62
Afg3l1	0.0	0.11	0.12	0.23	0.0	0.0	15.43	0.25	2.48	1.66	0.0	3.83	0.34	0.16	0.2	0.18	0.13	0.05	0.22	28.27	0.29	2.3	0.41	0.27
Arl1	202.77	0.0	0.0	114.11	109.06	172.33	17.03	98.95	123.11	401.6	68.55	205.59	128.75	229.91	129.93	152.83	164.78	169.17	125.94	375.95	154.0	82.36	0.0	0.0
E4f1	0.0	0.0	0.0	6.54	0.0	0.0	1.56	5.91	13.9	0.0	0.0	0.28	1.9	0.22	0.16	0.32	0.63	20.2	0.0	73.25	15.18	0.12	0.0	0.0
Efha2	148.33	0.0	334.8	524.55	264.63	306.6	393.93	518.07	589.0	345.78	241.08	338.27	584.42	440.2	391.73	372.21	373.04	534.2	431.21	638.93	562.31	530.89	0.0	0.0
Entpd4	0.0	0.0	0.0	6.38	0.0	23.34	27.6	19.13	57.33	54.15	21.18	61.83	73.97	66.68	19.42	8.12	24.77	67.52	29.38	117.09	92.85	54.61	0.0	0.0
Glud1	0.93	0.0	0.0	16.82	6.76	0.3	44.53	106.89	0.62	72.34	0.0	68.38	48.33	67.56	34.6	31.34	24.84	0.0	27.96	154.75	64.48	108.12	0.0	0.0
Herc3	0.0	0.0	0.0	17.14	0.0	0.1	12.74	4.09	21.77	60.46	0.0	29.61	32.15	30.04	0.0	18.52	0.57	0.0	22.72	96.25	30.6	9.58	0.0	0.0
Ipo13	0.07	0.0	0.0	0.35	0.0	2.25	12.97	0.15	32.41	35.29	0.0	16.95	26.47	26.19	23.79	6.44	0.0	35.83	0.0	64.58	41.17	24.92	0.0	0.0
Itgb1bp1	0.0	0.0	10.67	175.4	0.0	0.0	46.63	31.07	81.12	0.0	0.0	191.04	24.98	25.02	0.0	2.06	8.72	75.89	0.0	133.18	1.37	0.0	0.0	0.77
Ldhb	8970.97	5274.92	8204.16	8752.31	10118.08	10894.4	8525.9	9343.6	10165.1	9166.61	8469.38	11261.44	10004.69	13571.31	12546.17	9106.97	11010.48	10182.84	7185.39	5877.43	8111.86	11746.38	3251.53	2070.08
Msl3	0.0	0.0	0.0	0.73	0.0	1.65	0.0	24.43	69.7	77.48	37.18	0.16	0.0	17.68	0.0	4.86	60.0	30.9	61.1	113.05	74.65	0.0	0.0	0.0
Pafah1b2	0.06	0.22	0.0	44.46	115.28	92.9	44.41	33.53	126.87	70.76	13.68	58.1	151.65	99.92	52.49	37.43	25.5	117.77	99.85	166.52	177.93	99.05	0.0	0.0
Pgm2l1	59.35	0.0	0.0	52.17	19.34	31.92	37.44	71.59	7.72	79.01	32.15	55.35	13.37	38.06	30.64	45.78	83.05	31.42	15.91	114.26	89.37	31.75	0.02	0.0
Rap2b	0.06	0.0	0.0	1.69	0.59	0.0	3.23	5.26	8.45	8.57	0.0	0.09	2.25	2.69	0.0	2.83	7.78	1.92	1.4	11.27	2.75	2.2	0.0	0.0
Rims2	0.0	0.0	0.54	13.47	0.0	0.0	11.98	15.02	6.76	46.98	27.56	14.17	16.64	18.57	8.81	14.23	2.73	32.19	11.62	44.92	45.31	19.06	0.0	0.0
Sbno1	0.0	11.07	0.0	12.63	28.72	22.57	44.11	40.05	63.23	57.98	1.27	52.18	53.25	15.64	30.07	35.56	40.35	51.01	18.22	83.07	61.58	27.4	0.0	1.66
Snrnp27	104.77	0.0	0.0	121.32	58.86	114.77	195.54	148.89	125.69	235.83	0.0	240.92	152.53	160.74	128.87	85.24	102.34	119.33	56.39	458.72	103.98	129.61	0.0	86.6
Tspyl1	155.65	1.05	221.08	352.34	456.22	304.45	440.68	467.44	433.88	496.5	270.45	186.04	429.61	341.19	509.26	216.55	403.54	336.91	279.02	919.81	342.44	334.54	1.68	0.45
Usp34	2.99	0.0	0.08	21.26	3.01	41.49	17.42	0.37	10.34	11.88	1.72	17.02	10.63	4.75	2.67	7.64	7.16	14.19	6.08	23.47	6.76	0.38	0.04	0.0
Zbtb38	0.0	0.0	0.0	0.31	9.12	0.0	29.57	26.33	14.81	33.07	0.0	7.38	46.33	13.28	11.1	18.08	20.68	5.92	0.0	104.39	25.42	29.91	0.0	0.0
