	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_85	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_66
0610011F06Rik	0.0	293.05	0.0	88.74	0.0	0.0	96.54	0.0	130.07	187.93	24.66	1.69	58.97	0.0	51.82	48.28	85.57	0.0	100.73	5.84	104.65	112.4	109.17	47.62	73.66	125.0	213.68	7.07	46.51	34.81	48.1	0.52	83.21	1.08	0.0	0.0	357.57
1700025G04Rik	0.0	8.19	0.0	0.0	0.0	0.0	0.14	0.0	5.12	0.08	27.76	1.05	6.81	1.21	1.81	16.13	2.21	0.17	0.0	5.33	4.47	4.19	20.1	0.0	3.3	9.06	0.04	0.0	20.06	12.32	2.71	0.0	9.34	0.0	0.0	0.0	2.53
1700113A16Rik	0.0	67.71	89.48	0.0	0.0	0.0	0.0	27.11	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	23.22	2.16	9.0	4.76	5.07	5.13	33.94	21.32	98.77	26.76	18.5	20.3	0.0	42.08	35.96	0.0	0.0	0.0	52.81
Acbd5	0.0	139.42	0.0	40.9	0.0	18.81	64.79	20.34	24.0	35.38	29.85	63.52	36.35	0.0	4.85	77.49	93.8	0.0	44.04	19.76	25.77	5.54	117.22	1.34	50.44	117.71	45.41	63.53	27.92	87.33	10.94	162.74	49.39	27.45	0.0	0.0	61.4
Acd	0.0	333.13	105.65	0.0	0.0	0.0	113.9	0.0	38.32	23.15	0.57	30.67	0.98	106.86	15.59	10.11	62.46	1.28	198.9	55.26	138.09	76.25	74.46	49.07	0.0	27.21	142.1	45.35	65.51	33.97	68.16	44.15	54.12	0.0	0.0	1.3	286.15
Ankrd55	0.0	149.37	0.09	0.0	0.0	0.0	108.36	0.09	67.19	25.2	43.98	50.39	0.0	0.0	0.54	43.03	4.67	0.0	33.95	9.61	94.91	1.03	31.46	51.52	74.37	77.84	70.66	2.23	3.26	86.81	13.85	6.01	22.51	0.0	0.0	0.0	272.9
Ap4s1	0.0	59.38	0.0	0.0	0.0	0.0	10.4	0.0	27.48	19.28	19.07	34.32	62.51	0.0	0.0	5.41	12.6	20.07	29.42	15.15	0.0	0.46	67.44	0.0	0.0	18.69	0.0	0.0	36.97	0.0	33.69	68.64	0.0	0.0	0.0	0.0	37.18
Apoa1bp	478.6	511.13	0.28	0.0	0.0	0.0	187.04	0.29	3.86	0.0	138.85	80.22	149.37	0.0	130.46	115.63	28.92	0.0	27.28	86.79	81.25	99.93	183.06	226.64	60.03	288.39	18.05	179.12	0.0	76.97	48.88	78.59	224.04	824.87	0.0	0.0	50.83
Arhgap44	0.0	330.15	40.2	0.0	0.0	0.0	268.77	215.22	105.85	172.35	253.4	410.61	233.4	272.06	224.78	229.92	262.0	73.7	242.31	309.57	214.22	229.41	195.93	274.51	276.41	238.06	188.69	267.12	198.04	246.11	299.56	235.55	315.32	0.31	0.0	0.0	261.96
Atp13a2	0.0	10.04	51.74	0.0	0.0	0.08	15.34	12.2	1.0	5.41	5.87	17.31	6.68	0.09	29.2	7.18	0.22	0.0	8.28	9.66	11.05	22.51	30.57	15.82	4.31	28.5	39.61	0.0	12.04	10.34	19.55	6.31	3.14	5.72	36.04	0.0	8.95
